cohort_id,source_id,lane,payload
MA-CO01,MA-S01,activation,"{""accession"":""GSE116698"",""age"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""Negatively isolated CD4+CD45RO− naive T cells"",""cohort_id"":""MA-CO01"",""dataset_id"":""MA-D01"",""disease"":""healthy"",""donor_count"":""Figures 5 and 6: total 3 donors across 1–3 independent experiments"",""independence_status"":""unresolved"",""intervention"":""anti-CD3 beads with CD28 or IgG; A-FOS versus GFP electroporation"",""lane"":""activation"",""notes"":""Deidentified blood filters, Hoxworth Blood Center. Same paper does not identify exact donor overlap across nuclear protein, RNA, ATAC and ChIP aliquots."",""pack_path"":""research/mechanisms_activation/pack.json"",""parent_cohort"":""unavailable"",""participants"":""Primary human blood donors"",""related_publications"":[],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MA-S01"",""tissue"":""peripheral blood""}"
MA-CO02,MA-S02,activation,"{""accession"":""unavailable"",""age"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""Purified human CD4+ cells; FOXP3 protein readout gated CD4+CD25+"",""cohort_id"":""MA-CO02"",""dataset_id"":""MA-D02"",""disease"":""healthy"",""donor_count"":""Fig1 n=3; Fig2E control n=4, STAT5A n=2, STAT5B n=6"",""independence_status"":""unresolved"",""intervention"":""STAT5A/B siRNA versus scrambled siRNA"",""lane"":""activation"",""notes"":""Healthy knockdown cohort separate from patient functional observations; RNA and protein aliquot/donor matching unavailable."",""pack_path"":""research/mechanisms_activation/pack.json"",""parent_cohort"":""unavailable"",""participants"":""Primary human blood donors"",""related_publications"":[],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MA-S02"",""tissue"":""peripheral blood""}"
MA-CO03,MA-S02,activation,"{""accession"":""unavailable"",""age"":""Patient cohort 6–31 years; exact Fig3 age distribution unavailable"",""ancestry"":""unavailable"",""cell_type"":""FACS-sorted CD4+CD25hiCD127low/− Tregs and CD4+CD25− responders"",""cohort_id"":""MA-CO03"",""dataset_id"":""MA-D02"",""disease"":""STAT5B deficiency with heterogeneous clinical manifestations"",""donor_count"":""Fig3 four homozygous-deficient patients (#1,2,5,6), one heterozygote, one healthy control"",""independence_status"":""unresolved"",""intervention"":""Natural STAT5B deficiency; suppression correlation"",""lane"":""activation"",""notes"":""Parent paper describes six deficient patients; #3/#4 are siblings. Earlier patient reports are cited and may overlap; do not count publications as replication. Fig3 correlation does not test FOXP3 mediation."",""pack_path"":""research/mechanisms_activation/pack.json"",""parent_cohort"":""unavailable"",""participants"":""Primary human blood donors"",""related_publications"":[],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MA-S02"",""tissue"":""peripheral blood""}"
MA-CO04,MA-S03,activation,"{""accession"":""unavailable"",""age"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""Sorted CD4+CD25hiCD127low Tregs (>97% purity), expanded"",""cohort_id"":""MA-CO04"",""dataset_id"":""MA-D03"",""disease"":""healthy"",""donor_count"":""4 donors"",""independence_status"":""unresolved"",""intervention"":""Pooled CRISPR RNP screen; cytokine treatments"",""lane"":""activation"",""notes"":""Pooled screen donors explicitly distinct from two additional arrayed-screen donors. Guide-level enrichments are not independent biological replicates."",""pack_path"":""research/mechanisms_activation/pack.json"",""parent_cohort"":""unavailable"",""participants"":""Primary human blood donors"",""related_publications"":[],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MA-S03"",""tissue"":""peripheral blood""}"
MA-CO05,MA-S03,activation,"{""accession"":""unavailable"",""age"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""Sorted CD4+CD25hiCD127low Tregs, expanded"",""cohort_id"":""MA-CO05"",""dataset_id"":""MA-D03"",""disease"":""healthy"",""donor_count"":""2 additional donors"",""independence_status"":""unresolved"",""intervention"":""Arrayed CRISPR with 3 gRNAs/TF; IL12 or no added IL12"",""lane"":""activation"",""notes"":""Explicitly additional to pooled-screen donors; overlap with scRNA-seq donor pair unavailable. Several phenotypes, including HIVEP2 after IL12, markedly differed by donor."",""pack_path"":""research/mechanisms_activation/pack.json"",""parent_cohort"":""unavailable"",""participants"":""Primary human blood donors"",""related_publications"":[],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MA-S03"",""tissue"":""peripheral blood""}"
MA-CO06,MA-S03,activation,"{""accession"":""unavailable"",""age"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""Sorted Tregs; activated 48 h before editing for scRNA-seq"",""cohort_id"":""MA-CO06"",""dataset_id"":""MA-D03"",""disease"":""healthy"",""donor_count"":""2 donors; 54,424 single-cell transcriptomes across conditions"",""independence_status"":""unresolved"",""intervention"":""Selected TF knockout and IL12 condition; PMA/ionomycin restimulation"",""lane"":""activation"",""notes"":""Donors pooled 1:1 and computationally demultiplexed; cells are not donors. Preparation differs from prolonged expansion for arrayed flow. Exact overlap with arrayed donors unavailable."",""pack_path"":""research/mechanisms_activation/pack.json"",""parent_cohort"":""unavailable"",""participants"":""Primary human blood donors"",""related_publications"":[],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MA-S03"",""tissue"":""peripheral blood""}"
MA-CO07,MA-S04,activation,"{""accession"":""unavailable"",""age"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""PI−CD4+CD25+CD127− sorted Tregs; expanded 7 days before editing"",""cohort_id"":""MA-CO07"",""dataset_id"":""MA-D04"",""disease"":""healthy"",""donor_count"":""Fig4B n=11; pSTAT5 n=3; suppression n=3–6; FOXP3 mock n=3, CD25+ and KO n=6"",""independence_status"":""unresolved"",""intervention"":""IL2RA CRISPR RNP; CD25-negative sorting"",""lane"":""activation"",""notes"":""Buffy coats from healthy donors. 4-day post-edit sorting; pSTAT5 and functional assay donor overlap unavailable. IL2RA editing efficiency/zygosity heterogeneous; sequencing KO score 70% in sorted cells."",""pack_path"":""research/mechanisms_activation/pack.json"",""parent_cohort"":""unavailable"",""participants"":""Primary human blood donors"",""related_publications"":[],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MA-S04"",""tissue"":""peripheral blood""}"
MA-CO08,MA-S05,activation,"{""accession"":""unavailable"",""age"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""FACS-sorted CD4+CD25bright or CD4+CD25− T cells (>95% purity)"",""cohort_id"":""MA-CO08"",""dataset_id"":""MA-D05"",""disease"":""healthy"",""donor_count"":""unavailable"",""independence_status"":""unresolved"",""intervention"":""IL2 with/without anti-CD3"",""lane"":""activation"",""notes"":""Healthy in vitro donors separate from 21 clinical IL2 recipients and 293 reporter cells. Within Figure1B, CD25-positive/negative cells explicitly same individual; RNA/protein donor matching unavailable."",""pack_path"":""research/mechanisms_activation/pack.json"",""parent_cohort"":""unavailable"",""participants"":""Primary human blood donors"",""related_publications"":[],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MA-S05"",""tissue"":""peripheral blood""}"
MA-CO09,MA-S06,activation,"{""accession"":""PRJDB16517"",""age"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""Primary human CD4+ T cells polarized to iTregs"",""cohort_id"":""MA-CO09"",""dataset_id"":""MA-D06"",""disease"":""healthy"",""donor_count"":""Fig4e n=4; Fig3j n=3; full cohort linkage unavailable"",""independence_status"":""unresolved"",""intervention"":""RBPJ and HDAC3 genetic perturbation"",""lane"":""activation"",""notes"":""Main wet-lab Methods inaccessible. Figure captions and supplementary analytical Methods accessible. Mouse experiments kept outside human assertions."",""pack_path"":""research/mechanisms_activation/pack.json"",""parent_cohort"":""unavailable"",""participants"":""Primary human blood donors"",""related_publications"":[],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MA-S06"",""tissue"":""peripheral blood""}"
MA-CO10,MA-S07,activation,"{""accession"":""unavailable"",""age"":""unavailable"",""ancestry"":""unavailable"",""cell_type"":""Unfractionated PBMCs; CD4+ and CD8+ gates"",""cohort_id"":""MA-CO10"",""dataset_id"":""MA-D07"",""disease"":""healthy"",""donor_count"":""Baseline n=19; Fig1D CD4 n=16/CD8 n=17; Figs3/4 n=4; restimulation n=5"",""independence_status"":""unresolved"",""intervention"":""Soluble anti-CD3; IL2/CD25 blocking antibodies and IL2 competition"",""lane"":""activation"",""notes"":""Normal volunteers. Assay-specific counts are experiments unless specified as individuals; exact donor overlap across figures unavailable. Monocytes retained; not a purified Treg culture."",""pack_path"":""research/mechanisms_activation/pack.json"",""parent_cohort"":""unavailable"",""participants"":""Primary human blood donors"",""related_publications"":[],""sample_count"":""unavailable"",""species"":""Homo sapiens"",""study_id"":""MA-S07"",""tissue"":""peripheral blood""}"
