context_id,species,ancestry,age,sex,tissue,disease,disease_severity,treatment_status,cell_type,cell_state,developmental_state,stimulation,dose,duration,assay,genomic_background,time_point
CCONTEXT_0a2b13fcdea6eab2b0a1,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,PI−CD4+CD25+CD127− sorted Tregs; expanded 7 days before editing,Expanded7 days; edited; living CD25− sorted4 days after editing,unavailable,IL2RA CRISPR versus mock/CD25-positive controls,Treg:PBMC1:2; inspector beads:cell1:1,4 days suppression coculture,CFSE dilution in viable responder CD4/CD8 populations,CRISPR IL2RA indels; sorted CD25-negative,4-day responder assay
CCONTEXT_0f4bdf131df325b2755b,Homo sapiens target; Mus musculus recipient,unavailable,unavailable,unavailable,human metastatic tumors; mouse spleen,unavailable,unavailable,unavailable,human melanoma or H82 target; BALB/c vaccinia-specific CD8 T-cell recipient,unavailable,unavailable,unavailable,unavailable,unavailable,6-hour 51Cr release,unavailable,unavailable
CCONTEXT_10b7956dc3216d9bbe36,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Unfractionated PBMCs; CD4+ and CD8+ gates,Normal-donor unfractionated PBMCs; CD4/CD8 flow gates,unavailable,Anti-CD3 in PBMC cultures at3×10^6 cells/mL,IL2 up to10 nM; Fig3B antiCD251 µg/mL; Fig4 combined antibodies1 versus10 µg/mL,24 h,FOXP3 intracellular/nuclear flow; FACSCalibur,unavailable,24 h
CCONTEXT_115a45c09ee78324e5d8,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,HA-L EBV-transformed B-cell target; autologous expanded CD8 alpha-beta T cells,unavailable,unavailable,unavailable,unavailable,unavailable,genomic PCR and RT-PCR sequencing,Homozygous TAP2 intron IX splice-acceptor change; modern genome coordinate unavailable,unavailable
CCONTEXT_203b1b281f964403e999,Homo sapiens,unavailable,30,female,peripheral blood,unavailable,unavailable,unavailable,primary PBMCs,unavailable,unavailable,unavailable,unavailable,unavailable,W6/32 and B1G6 flow cytometry,unavailable,unavailable
CCONTEXT_21c56048c50c90fc5ca4,Homo sapiens target; Mus musculus recipient,unavailable,unavailable,unavailable,melanoma cell culture,unavailable,unavailable,unavailable,WM793 and WM278 melanoma clones; mouse T-hybridoma expressing human Vα3S1/Vβ13S1 TCR,unavailable,unavailable,unavailable,unavailable,unavailable,DT-9/W6-32 flow; total HLA-C immunoblot,unavailable,unavailable
CCONTEXT_240493d0a8ed73a13fd7,Homo sapiens,unavailable,26,female (target),subcutaneous melanoma deposit; donor TIL tissue unavailable,unavailable,unavailable,unavailable,1074mel target plus expanded human HLA-A2.1-restricted anti-melanoma CD8 T-cell effectors,unavailable,unavailable,unavailable,unavailable,unavailable,HB159 immunoblot,HLA-A2.1-positive; functional B2M deficient,unavailable
CCONTEXT_274f4d2d04796dcab991,Homo sapiens,unavailable,unavailable,unavailable,MEL9 tumor and peripheral blood; Jurkat culture,unavailable,unavailable,unavailable,BCL6/BCL-xL/CD40L-immortalized autologous human B cells; engineered human Jurkat reporter,unavailable,unavailable,unavailable,unavailable,20–24 h coculture at 1:1 reporter/APC,CD69 flow cytometry; qualitative figure comparison,unavailable,unavailable
CCONTEXT_324e7c3ce8ff6cd7560d,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,FACS-sorted CD4+CD25bright or CD4+CD25− T cells (>95% purity),Freshly sorted healthy-donor CD25bright T cells,unavailable,Recombinant human IL2,100 U/mL,18 h,FOXP3 Western blot clone236/E7; tubulin loading control,unavailable,18 h
CCONTEXT_32e40f6f679f8e169714,Homo sapiens,"European, from explicitly reused Fairfax cohort",unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD14+ monocyte,unavailable,unavailable,LPS,20 ng/mL,RNA2 h and24 h; supernatant24 h,pre-existing microarray + ELISA,unavailable,2-h/24-h RNA versus24-h supernatant
CCONTEXT_38bb77a8ee5683d02aa9,Homo sapiens,unavailable,unavailable,unavailable,MEL9 tumor and peripheral blood; Jurkat culture,unavailable,unavailable,unavailable,BCL6/BCL-xL/CD40L-immortalized autologous human B cells; engineered human Jurkat reporter,unavailable,unavailable,unavailable,120 micrograms/mL,20–24 h coculture,CD69 flow cytometry,unavailable,unavailable
CCONTEXT_38c4981b9fe30609fd1c,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,Unfractionated PBMCs; CD4+ and CD8+ gates,Mixed activated PBMCs; CD4 gate,unavailable,24h antiCD3+IL2 followed by6h antiCD3/antiCD28 with brefeldin A,Initial IL210 nM; antiCD2810 µg/mL,24h preactivation plus6h restimulation,Intracellular IL2/FOXP3 flow,unavailable,After6h restimulation
