entity_id,name,entity_type,layer,species,mapping_status
CENTITY_02eb5230be1385dcdbeb,iTreg suppression of responder proliferation,cellular_function,F,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_050417f5cd440b7a193c,cell-surface HLA-DR,measured_readout,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_074828d17052a8fe87b1,CD81 transcript,RNA,T,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_074d95f6edafd40b73e0,suppression of responder proliferation,cellular_function,F,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_08b37440634eb8f03e46,IL12-induced intracellular IFNG protein,protein,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_0ebc68c14c42f930466e,bulk autologous PBMC proliferation,measured_readout,F,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_0f3634a190e187f902b8,IL12,protein,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_1086367c63b58bde0a61,trichostatin A during LPS maturation,experimental_intervention,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_146ed1b09ef6a2262251,IL7R exon6 inclusion,splice_event,T,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_14f266aedabf7c6a6696,IL6,secreted_protein,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_14f6736159458ef33552,RBPJ overexpression with HDAC3 deletion,combined_gene_perturbation,G,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_17ed0f44568a8f5e5f22,KCNN4 enhancer CRISPR deletion,regulatory_element_perturbation,G,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_1a994417e6e89d124a15,supernatant IL7R,soluble_protein,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_1b55133a24cfe76e7c0b,1074mel lysis by HLA-A2.1-restricted human antimelanoma CD8 T cells,measured_readout,F,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_1b7fbe7a93f51b2de3db,CD28 costimulation omission,experimental_condition,C,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_1c04cc6dca43d8b1b9d9,IL2-stimulated STAT5 phosphorylation,protein_modification,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_1f2800b2df926c5d94e2,intracellular IFNG protein,protein,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_201c8f288e154efcca2f,FOXP3-positive Treg fraction across STAT5B genotypes,protein_expression_stratum,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_205ea8db552f3511e39d,bulk psoriasis PBMC proliferation,measured_readout,F,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_206e8d6844eb1cff184f,RBPJ CRISPR knockout,experimental_gene_perturbation,G,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_247249f3a7b771635395,B2M replacement plus mouse H-2Kd vaccinia in human targets,experimental_intervention,G,Homo sapiens target; Mus musculus recipient,local_exact_form; external_mapping_unavailable
CENTITY_2a3700c179bb8146591e,surface folded HLA class I,measured_readout,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_2ab22d8aebbdef936194,DDX39B transcript,RNA,T,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_2af58d529079fa8d2b70,psoriasis versus healthy donor PBMC context,disease_context,C,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_2d8432a588914ff26bec,A-FOS dominant-negative protein,protein,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_2dd3b34252e1bbd8f789,TNF-sensitive WEHI164 cytotoxic bioactivity of patient-2 CTL supernatant,measured_readout,F,nonhuman primate COS target (species unavailable in article); Homo sapiens recipient,local_exact_form; external_mapping_unavailable
CENTITY_2e1f883ba1792e6463aa,nuclear FOS/JUNB protein,protein_localization,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_2e7a2f06dc6fafa3fe01,CD3/CD28 restimulation,receptor_perturbation,C,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_2ec40ba5d909f3c98ffc,MEL9 TCR22 Jurkat CD69 activation,measured_readout,F,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_3279f7d0ac6a6a8ca843,B2M knockout in matched-TMG MEL9 B cells,experimental_intervention,G,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_39c5a5893383a38eeda2,FOXP3 intracellular protein,protein,P,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_39ea9e4335d826b065c1,TAP2-deficient patient-2 PBMCs,genetic_context,G,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_3aad83e6dc28ac157241,lysis by patient-2 expanded CD8 alpha-beta T cells,measured_readout,F,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_3bdda56584e0254da047,DDX39B-targeting siRNA DDX_4,siRNA,T,Homo sapiens,local_exact_form; external_mapping_unavailable
CENTITY_3cbac6b5f947272e371c,IL12-context FOXP3-regulated RNA program,transcriptional_program,T,Homo sapiens,local_exact_form; external_mapping_unavailable
