inventory_id,uniprot_accession,gene_symbol,resource_annotation_status,inventory_status,source_url,payload
CYT_A0A024R937,A0A024R937,TNLG2B,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A024R937,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A024R937_HUMAN"",""gene_aliases"":""TNLG2B"",""gene_symbol"":""TNLG2B"",""go_ids"":""GO:0005125; GO:0005164; GO:0006955; GO:0016020"",""inventory_id"":""CYT_A0A024R937"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0202; KW-1015; KW-0325; KW-0472; KW-0735; KW-0812; KW-1133"",""protein_names"":""Tumor necrosis factor ligand superfamily member 4 (OX40 ligand)"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A024R937"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A024R937""}"
CYT_A0A075B7C5,A0A075B7C5,CCL5,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A075B7C5,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A075B7C5_HUMAN"",""gene_aliases"":""CCL5"",""gene_symbol"":""CCL5"",""go_ids"":""GO:0005576; GO:0006955; GO:0008009"",""inventory_id"":""CYT_A0A075B7C5"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0202; KW-1267; KW-1185; KW-0732"",""protein_names"":""C-C motif chemokine ligand 5"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A075B7C5"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A075B7C5""}"
CYT_A0A077CY02,A0A077CY02,BMP7,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A077CY02,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A077CY02_HUMAN"",""gene_aliases"":""BMP7"",""gene_symbol"":""BMP7"",""go_ids"":""GO:0005576; GO:0008083; GO:0009888; GO:0030509; GO:0042127; GO:0048468; GO:0051094; GO:0060391; GO:0070700"",""inventory_id"":""CYT_A0A077CY02"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0891; KW-0202; KW-1015; KW-0325; KW-0339; KW-0892; KW-0964; KW-0732"",""protein_names"":""Bone morphogenetic protein 7"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A077CY02"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A077CY02""}"
CYT_A0A087WUE5,A0A087WUE5,CCL16,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A087WUE5,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A087WUE5_HUMAN"",""gene_aliases"":""CCL16"",""gene_symbol"":""CCL16"",""go_ids"":""GO:0005576; GO:0006955; GO:0008009"",""inventory_id"":""CYT_A0A087WUE5"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0145; KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732"",""protein_names"":""C-C motif chemokine"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A087WUE5"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A087WUE5""}"
CYT_A0A087WWS6,A0A087WWS6,IFNA13,reviewed,resource_annotated_candidate,https://www.uniprot.org/uniprotkb/A0A087WWS6,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""IFNAD_HUMAN"",""gene_aliases"":""IFNA13"",""gene_symbol"":""IFNA13"",""go_ids"":""GO:0005126; GO:0005576; GO:0006952"",""inventory_id"":""CYT_A0A087WWS6"",""inventory_status"":""resource_annotated_candidate"",""keyword_ids"":""KW-0051; KW-0202; KW-1015; KW-1185; KW-0964; KW-0732"",""protein_names"":""Interferon alpha-13"",""query_id"":""CYTINV_REVIEWED"",""resource_annotation_status"":""reviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_reviewed.tsv"",""snapshot_sha256"":""27e647ab7eec68643294c2c8815bf8109612fb0196fd4861053951913a888d6c"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A087WWS6"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A087WWS6""}"
CYT_A0A087WWX8,A0A087WWX8,IL4,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A087WWX8,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A087WWX8_HUMAN"",""gene_aliases"":""IL4"",""gene_symbol"":""IL4"",""go_ids"":"""",""inventory_id"":""CYT_A0A087WWX8"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0075; KW-0202; KW-1015; KW-0325; KW-0339; KW-1185; KW-0964; KW-0732"",""protein_names"":""Interleukin-4 (B-cell stimulatory factor 1) (Lymphocyte stimulatory factor 1)"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A087WWX8"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A087WWX8""}"
CYT_A0A087X089,A0A087X089,CCL14,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A087X089,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A087X089_HUMAN"",""gene_aliases"":""CCL14"",""gene_symbol"":""CCL14"",""go_ids"":""GO:0005576; GO:0006955; GO:0008009"",""inventory_id"":""CYT_A0A087X089"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0145; KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732"",""protein_names"":""C-C motif chemokine"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A087X089"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A087X089""}"
CYT_A0A087X1J9,A0A087X1J9,CCL15,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A087X1J9,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A087X1J9_HUMAN"",""gene_aliases"":""CCL15"",""gene_symbol"":""CCL15"",""go_ids"":""GO:0005576; GO:0006955; GO:0008009"",""inventory_id"":""CYT_A0A087X1J9"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732"",""protein_names"":""C-C motif chemokine ligand 15"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A087X1J9"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A087X1J9""}"
CYT_A0A096LNH9,A0A096LNH9,GDF9,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A096LNH9,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A096LNH9_HUMAN"",""gene_aliases"":""GDF9"",""gene_symbol"":""GDF9"",""go_ids"":"""",""inventory_id"":""CYT_A0A096LNH9"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0597; KW-1267; KW-1185; KW-0964; KW-0732"",""protein_names"":""Growth/differentiation factor 9"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A096LNH9"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A096LNH9""}"
CYT_A0A0A0MQU8,A0A0A0MQU8,IFNA6,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A0A0MQU8,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A0A0MQU8_HUMAN"",""gene_aliases"":""IFNA6"",""gene_symbol"":""IFNA6"",""go_ids"":""GO:0005126; GO:0005576; GO:0006952"",""inventory_id"":""CYT_A0A0A0MQU8"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0051; KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732"",""protein_names"":""Interferon alpha 6"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A0A0MQU8"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A0A0MQU8""}"
CYT_A0A0A0MRX5,A0A0A0MRX5,TNFSF13,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A0A0MRX5,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A0A0MRX5_HUMAN"",""gene_aliases"":""TNFSF13"",""gene_symbol"":""TNFSF13"",""go_ids"":"""",""inventory_id"":""CYT_A0A0A0MRX5"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0165; KW-0202; KW-1015; KW-0325; KW-0391; KW-0472; KW-1267; KW-1185; KW-0964; KW-0812; KW-1133"",""protein_names"":""Tumor necrosis factor ligand superfamily member 13 (A proliferation-inducing ligand)"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A0A0MRX5"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A0A0MRX5""}"
CYT_A0A0A0MTG5,A0A0A0MTG5,IL7,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A0A0MTG5,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A0A0MTG5_HUMAN"",""gene_aliases"":""IL7"",""gene_symbol"":""IL7"",""go_ids"":""GO:0005125; GO:0005139; GO:0005576; GO:0006955; GO:0008083"",""inventory_id"":""CYT_A0A0A0MTG5"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0202; KW-1015; KW-0325; KW-0339; KW-1267; KW-1185; KW-0964; KW-0732"",""protein_names"":""Interleukin-7 (IL-7)"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A0A0MTG5"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A0A0MTG5""}"
CYT_A0A0A6YY99,A0A0A6YY99,TNFSF12-TNFSF13,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A0A6YY99,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A0A6YY99_HUMAN"",""gene_aliases"":""TNFSF12-TNFSF13"",""gene_symbol"":""TNFSF12-TNFSF13"",""go_ids"":""GO:0005164; GO:0005576; GO:0006955; GO:0007154; GO:0008284; GO:0016020; GO:0023052; GO:0048298"",""inventory_id"":""CYT_A0A0A6YY99"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0165; KW-0202; KW-1015; KW-0325; KW-0391; KW-1267; KW-1185; KW-0964"",""protein_names"":""Tumor necrosis factor ligand superfamily member 13 (A proliferation-inducing ligand)"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A0A6YY99"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A0A6YY99""}"
CYT_A0A0B4J1W8,A0A0B4J1W8,ALKAL2,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A0B4J1W8,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A0B4J1W8_HUMAN"",""gene_aliases"":""ALKAL2"",""gene_symbol"":""ALKAL2"",""go_ids"":""GO:0005576; GO:0005886; GO:0030298; GO:0030971"",""inventory_id"":""CYT_A0A0B4J1W8"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-1003; KW-0202; KW-1015; KW-0472; KW-1267; KW-1185; KW-0964; KW-0732"",""protein_names"":""ALK and LTK ligand 2"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A0B4J1W8"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A0B4J1W8""}"
CYT_A0A0B4J2E2,A0A0B4J2E2,CCL15-CCL14,unreviewed,unreviewed_discovery_candidate,https://www.uniprot.org/uniprotkb/A0A0B4J2E2,"{""biological_evidence_status"":""inventory_only_no_assertion_or_prior"",""entry_name"":""A0A0B4J2E2_HUMAN"",""gene_aliases"":""CCL15-CCL14"",""gene_symbol"":""CCL15-CCL14"",""go_ids"":""GO:0005576; GO:0006955; GO:0008009"",""inventory_id"":""CYT_A0A0B4J2E2"",""inventory_status"":""unreviewed_discovery_candidate"",""keyword_ids"":""KW-0145; KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732"",""protein_names"":""C-C motif chemokine"",""query_id"":""CYTINV_UNREVIEWED"",""resource_annotation_status"":""unreviewed"",""snapshot_path"":""research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv"",""snapshot_sha256"":""51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852"",""source_url"":""https://www.uniprot.org/uniprotkb/A0A0B4J2E2"",""species"":""Homo sapiens"",""taxon_id"":9606,""uniprot_accession"":""A0A0B4J2E2""}"
