state_id,cell_id,name,ontology_id
STATE_04cdfa944b807fa7,CELL_5153e6f94e2eb08b,CD56brightCD16-negative enriched response,unavailable
STATE_05e1b935bceafdb2,CELL_e2a35baf501a1a42,baseline purified cells,unavailable
STATE_0d81cb988ee33877,CELL_b65286fb46640d60,unavailable,unavailable
STATE_1e2848ac679fd467,CELL_60c5022e92416d77,unavailable,unavailable
STATE_2afe4cbc2ae409c6,CELL_4c8abe85a0b3944e,unavailable,unavailable
STATE_36eedd529e68752f,CELL_10cd91d4ac4e7453,day3 after PHA stimulation,unavailable
STATE_390ce549151def6f,CELL_8ee0e35ba872e8f5,ex vivo,unavailable
STATE_3f12e48552c5aed8,CELL_f3aa6bef0bc607b3,unavailable,unavailable
STATE_43befdd31c142fc6,CELL_713fd1fe83bfdd96,resting NK cells before coculture,unavailable
STATE_51e6439772860c54,CELL_4225ef4835590a73,fibrin-associated,unavailable
STATE_522bb74a4e4c0ccb,CELL_9f413d36c3312776,resting before coculture,unavailable
STATE_54495c940ceef6bb,CELL_8ee0e35ba872e8f5,unavailable,unavailable
STATE_582280930ab4dcfc,CELL_263efe2e97c4ac93,unavailable,unavailable
STATE_6bb9d4825ebff433,CELL_d8aa1f7a23340391,K4D8 and K3F12 clones under tested activation modes,unavailable
STATE_6d17e09f658e686a,CELL_2763701275533c6c,initially naive; co-stimulated,unavailable
STATE_737dac80c90a0748,CELL_ec833b19d159ba68,unavailable,unavailable
STATE_777bda20460670a3,CELL_cc227c24c88c955a,IL3RA-positive,unavailable
STATE_814b1326e233585f,CELL_e7c39386ca756ebc,unavailable,unavailable
STATE_8ac20320e90bc0ad,CELL_825c73fa5a2b3538,unavailable,unavailable
STATE_908792567c8c0cd7,CELL_bd5a5b981941ec25,baseline purified cells,unavailable
STATE_9218b10e48b9be20,CELL_d62dd162e7b57bd7,unavailable,unavailable
STATE_a1ed72463a39c0aa,CELL_5fcc318b6fd68242,unavailable,unavailable
STATE_ab713701df4c2ae2,CELL_881e0fe1b618ceea,NK-c,unavailable
STATE_abaebd07c3180739,CELL_ea43f9ffaa67683f,unavailable,unavailable
STATE_afc8514e50b692f2,CELL_04b97d7dad482b2a,ex vivo,unavailable
STATE_b65928aa5fe26249,CELL_9d811d513346d227,unavailable,unavailable
STATE_bb6e5e846a1e3e22,CELL_881e0fe1b618ceea,CD56-bright versus CD56-dim,unavailable
STATE_c304c63d52d2d84b,CELL_1a9f9446462ddc1d,unavailable,unavailable
STATE_c5e6575aae2ba4cb,CELL_e3d7b3058e421223,unavailable,unavailable
STATE_c975a058bd52b1eb,CELL_e2dc5ef3f3f85765,unavailable,unavailable
STATE_cb016bc6abdfd8dc,CELL_ea7840f5f64fd135,7-day differentiated DC; mRNA electroporated,unavailable
STATE_cb208714d5c42209,CELL_d8aa1f7a23340391,mitogen activated,unavailable
STATE_cc84fd2a2557cd93,CELL_c808c967a4586a17,unavailable,unavailable
STATE_d099edb540bec157,CELL_1825c36445989253,immature,unavailable
STATE_d7fcedba016a98e2,CELL_f44fb86bdb4f0471,unavailable,unavailable
STATE_d8d265207be5792e,CELL_bf39fd85713e205e,unavailable,unavailable
STATE_dee7ed9f2c82b77c,CELL_d855fecfe0ab0513,LPS activated,unavailable
STATE_fac52b9b68c1d9f1,CELL_a3943b9542c52f06,anti-CD3/anti-CD28 preactivated,unavailable
STATE_fcc5cce2d6c8d390,CELL_4225ef4835590a73,unavailable,unavailable
