cohort_id,dataset_id,accession,study_id,participants,ancestry,species,tissue,cell_type,disease,intervention,sample_count,donor_count,parent_cohort,related_publications,independence_status,notes
C-CO01,C-D01,GSE202186,C-S01,female C57BL/6 mice,unavailable,Mus musculus,skin-draining inguinal lymph node,multiple immune cell types,healthy,86 recombinant cytokines; PBS controls,3 mice per cytokine; 14 PBS mice,3 independent mice per cytokine,unavailable,"[""C-S01""]",unresolved,"Biological replicates are mice, not 386,703 sequenced cells. HCD reanalysis is not replication."
C-CO02,C-D02,unavailable,C-S02,12,unavailable,Homo sapiens,peripheral blood,PBMC,healthy,"90 individual cytokines or PBS, 24 hours","9,697,974 QC-passing cells; cells are not independent donors",12,unavailable,"[""C-S02"",""C-S09""]",resolved,"C-S02/C-S09 are duplicate preprints for one experiment. Donor identifiers D1–D12; 6 males and 6 females, ages 34–75. Resolution limited to this known duplicate pair."
C-CO03,C-D03,unavailable,C-S03,A549 cell line,unavailable,Homo sapiens,lung,A549 lung epithelial carcinoma cells,lung cancer cell line,"IL1B and BMP6, alone or combined",3 independent experiments for soluble protein ELISA,unavailable,unavailable,"[""C-S03""]",unresolved,Cohort for original validation only; not CytoSig's reused repository studies. No human donor replication.
C-CO04,C-D04,unavailable,C-S04,unavailable,unavailable,Homo sapiens,peripheral blood,elutriated monocytes,unavailable,"LPS, IL10, IL4, or IL10 neutralization",unavailable,unavailable,unavailable,"[""C-S04""]",unresolved,Table1 and Fig6/Fig7 are distinct readouts of one publication; donor count and cross-publication overlap unavailable. Seven-hour and 24-hour RNA results are separate time contexts.
C-CO05,C-D05,unavailable,C-S05,unavailable,unavailable,Homo sapiens,peripheral blood,monocytes,unavailable,adenoviral STAT3 or inactive STAT3; LPS and IL10,unavailable,unavailable,unavailable,"[""C-S05""]",unresolved,Abstract-limited extraction. Donor independence cannot be resolved.
C-CO06,C-D06,unavailable,C-S06,anonymous blood donors,unavailable,Homo sapiens,peripheral blood,monocyte-derived mature DC; autologous NK cells,healthy,IL15 and/or IL15RA mRNA electroporation; coculture,unavailable,Fig1A:3; Fig1B:6; unique total unavailable,unavailable,"[""C-S06""]",unresolved,Antwerp Red Cross blood samples; within-study donor overlap across figures unavailable.
C-CO07,C-D07,unavailable,C-S07,unavailable,unavailable,Homo sapiens,"lymph node, spleen and peripheral blood",DC; CD56brightCD16-negative NK cells,unavailable,DC maturation and cytokine neutralization,unavailable,unavailable,unavailable,"[""C-S07""]",unresolved,Anatomical donor matching described in Fig4 excerpt; individual identities/counts unresolved. Do not count each tissue as independent without confirmation.
C-CO08,C-D08,unavailable,C-S08,patients P1 and P3,unavailable,Homo sapiens,peripheral blood,expanded mycobacterium-reactive CD4 Th1 T-cell clones,IL12RB1 deficiency with mycobacterial/Salmonella infections,IL12 plus mitogenic or antigen stimulation,unavailable,2,C-CO09,"[""C-S08""]",unresolved,"10 tested clones derive from 2 patients, not 10 independent people. P1/P3 are a verified participant subset of C-CO09; parent link represents participant overlap, not derivation of clones from the assayed blasts. P1/P3 also overlap prior studies cited as reference9; additional reuse remains unresolved."
C-CO09,C-D09,unavailable,C-S08,"P1, P3, P4, P17 and healthy controls",unavailable,Homo sapiens,peripheral blood,PHA-activated T-cell blasts,IL12RB1 deficiency or healthy controls,IL12; IFNA positive control,unavailable,4 patients; 2 controls in STAT4 assay,unavailable,"[""C-S08""]",unresolved,Expanded participant set contains P1/P3 from C-CO08. The child cohort link records this known overlap; different assay/cell-preparation contexts remain distinct and are not independent donor replication. Sample-level matching and additional historical reuse remain unresolved.
C-CO10,C-D10,unavailable,C-S06,3 AML patients in remission,unavailable,Homo sapiens,peripheral blood,monocyte-derived DC and autologous NK cells,acute myeloid leukemia in remission,IL15/IL15RA mRNA DC engineering,unavailable,3,unavailable,"[""C-S06""]",unresolved,Fig5 validation registered but not extracted as a duplicate healthy-donor assertion; prior stem-cell transplantation excluded.
GCO01,GDS01,EGAS00000000109 (genotypes); expression ArrayExpress accession unavailable in inspected main text,G01,432,European,Homo sapiens,peripheral blood,CD14+ monocyte,healthy,"LPS 20 ng/mL, 2 or 24 h; IFNG 20 ng/mL, 24 h; unstimulated",414 unstimulated; 367 IFNG; 322 24-h LPS; 261 2-h LPS; 228 donors shared across all four states,432,unavailable,"[""G01"",""G10""]",unresolved,Fairfax Oxford monocyte cohort. Al-Mossawi soluble IL7R arm explicitly reuses 161 samples. Contexts and assays within this cohort are not independent donor replications; exact donor identifiers not inspected.
GCO02,GDS02,unavailable,G02,178,European American/Caucasian analysis restriction (author labels),Homo sapiens,peripheral blood,CD4+ T cell,healthy,anti-CD3/CD28 stimulation,unavailable,178,unavailable,"[""G02""]",unresolved,"Reanalysis of ImmVar T-cell expression data, not a newly recruited 178-person cohort. Potential donor overlap with ImmVar/PhenoGenetic Lee G09 unresolved."
GCO03,GDS03,unavailable,G02,Jurkat cell line,unavailable,Homo sapiens,cell culture,Jurkat T cell line,unavailable,CaRE4 allele reporter; anti-CD3/CD28; 20 h,at least two independent experiments reported,unavailable,unavailable,"[""G02""]",unresolved,"Engineered reporter system, not independent human donors or native allele replacement."
