original_label,entity_id,mapping_status,related_assertion_count,reviewed_protein_assertion_count,coverage_status
Eotaxin,ENT_5209a3a1a6e87309,biological_identity_verified_assay_platform_unavailable,2,2,partial_pilot_evidence
Eotaxin-3,ENT_097dd9d5babcd718,biological_identity_verified_assay_platform_unavailable,3,3,partial_pilot_evidence
GM-CSF,ENT_ecd6a047adc987fc,biological_identity_verified_assay_platform_unavailable,2,2,partial_pilot_evidence
IFN-γ,ENT_2a4303e030327ad6,biological_identity_verified_assay_platform_unavailable,4,4,partial_pilot_evidence
IL-10,ENT_b9593c04ef3c4ada,biological_identity_verified_assay_platform_unavailable,5,5,partial_pilot_evidence
IL-12,ENT_a8dc18fdf070cbce,unresolved_assay_identity,0,0,not_yet_extracted
IL-12p70,ENT_fc4758f5b656a1c2,complex_identity_assay_platform_unavailable,1,1,partial_pilot_evidence
IL-13,ENT_b68a57fbf39e14f2,biological_identity_verified_assay_platform_unavailable,4,4,partial_pilot_evidence
IL-15,ENT_c80734d70dcceaa3,biological_identity_verified_assay_platform_unavailable,4,4,partial_pilot_evidence
IL-16,ENT_53062f1eaca66062,biological_identity_verified_assay_platform_unavailable,1,1,partial_pilot_evidence
IL-17A,ENT_1c7bf29d33b68948,biological_identity_verified_assay_platform_unavailable,2,2,partial_pilot_evidence
IL-1α,ENT_11fce20812601278,biological_identity_verified_assay_platform_unavailable,3,3,partial_pilot_evidence
IL-1β,ENT_26871fd42dfc89a8,biological_identity_verified_assay_platform_unavailable,3,3,partial_pilot_evidence
IL-2,ENT_5fe34bc58d70f972,biological_identity_verified_assay_platform_unavailable,3,3,partial_pilot_evidence
IL-4,ENT_bfc8af10c594f005,biological_identity_verified_assay_platform_unavailable,4,4,partial_pilot_evidence
IL-5,ENT_db48e2e9ec12e60c,biological_identity_verified_assay_platform_unavailable,1,1,partial_pilot_evidence
IL-6,ENT_e7ad5f0c0bdbc662,biological_identity_verified_assay_platform_unavailable,8,8,partial_pilot_evidence
IL-7,ENT_ff24e6b81557dfad,biological_identity_verified_assay_platform_unavailable,1,1,partial_pilot_evidence
IL-8,ENT_aac20750d95ddc6f,biological_identity_verified_assay_platform_unavailable,4,4,partial_pilot_evidence
IL-8 high range,ENT_aac20750d95ddc6f,biological_identity_verified_assay_platform_unavailable,4,4,partial_pilot_evidence
IP-10,ENT_09a97505ae6a769e,biological_identity_verified_assay_platform_unavailable,4,4,partial_pilot_evidence
MCP-1,ENT_8f1940684a7a953a,biological_identity_verified_assay_platform_unavailable,1,1,partial_pilot_evidence
MCP-4,ENT_0d8bbf3db272192e,biological_identity_verified_assay_platform_unavailable,2,2,partial_pilot_evidence
MDC,ENT_f38409a9b4ecd1e1,biological_identity_verified_assay_platform_unavailable,5,5,partial_pilot_evidence
MIP-1α,ENT_4ec703fd743c5e9b,biological_identity_verified_assay_platform_unavailable,4,1,partial_pilot_evidence
MIP-1β,ENT_f876c10c810517b8,biological_identity_verified_assay_platform_unavailable,4,1,partial_pilot_evidence
TARC,ENT_a843df3b115de664,biological_identity_verified_assay_platform_unavailable,2,2,partial_pilot_evidence
TNF-α,ENT_63481bb4a04e1735,biological_identity_verified_assay_platform_unavailable,3,2,partial_pilot_evidence
TNF-β,ENT_9a78f9a737146989,biological_identity_verified_assay_platform_unavailable,2,2,partial_pilot_evidence
VEGF,ENT_e5598617b8bc893c,unresolved_assay_identity,0,0,not_yet_extracted
