context_id,species,ancestry,age,sex,tissue,disease,disease_severity,treatment_status,cell_type,cell_state,developmental_state,stimulation,dose,duration,assay,genomic_background,time_point
CTX_00524ee757c3594a,Homo sapiens,"295 Caucasians, 122 African-Americans, 117 East Asians (original study labels)",unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,monocyte-derived dendritic cell,unavailable,unavailable,influenza infection,unavailable,10 h infection time used in study response design,NanoString expression/differential-expression QTL mapping,unavailable,unavailable
CTX_06143ac118d95f65,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,monocyte,primary monocytes after overnight M-CSF conditioning,unavailable,LPS; adenoviral STAT3 overexpression,LPS 500 ng/mL; vector intervention documented in primary methods,2 and 24 hours after LPS,culture-supernatant TNF ELISA (BD OptEIA) with DELFIA readout; triplicate measurements,unavailable,2 and 24 hours after LPS
CTX_0972aa9f934bb892,Homo sapiens,unavailable,unavailable,unavailable,bone marrow,healthy,unavailable,unavailable,T lymphocyte,unavailable,unavailable,IL7,unavailable,unavailable,CyTOF phospho-antibody readout,unavailable,unavailable
CTX_0ae312d5662b0f3b,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,mild allergic asthma,mild,No respiratory infection for≥1month; asthma donors used beta2 agonists on demand only,eosinophil,"Blood eosinophils purified by CD16 negative selection, >98.5%purity; IL5-primed and IL5 maintained throughout migration",unavailable,CCL26 with antiCCR3 clone61828/7B11 and continuous IL5,CCL26 100 nM; IL5 10 ng/mL; antibody when used10 μg/mL in both chambers,Figure5 antibody added10min before ligand;late blockade interval9–18h,"24-well BioCoat Matrigel invasion chamber,8 μm pores;500 μL of1million cells/mL inRPMI10%FBS;Scepter counts; vehicle-subtracted percent net migration; technical duplicates",unavailable,9–18h in Figure5;12–18h second phase resolved separately by Figure2C
CTX_13816c07bf3a37fe,Homo sapiens,unavailable,20–45 years,unavailable,peripheral blood,healthy,unavailable,unavailable,CD4+ cells gated within unfractionated PBMCs,1-h rest in RPMI complete medium before stimulation,unavailable,IL2,IL2 dose-response series; exact axis range not transcribed,15 min,pSTAT5 phospho-flow cytometry with surface CD25 and intracellular Foxp3 gating; BD LSRFortessa or LSR II,unavailable,15 min
CTX_1759394c68c064de,Homo sapiens,unavailable,unavailable,unavailable,skin dermis,unavailable,unavailable,unavailable,normal human dermal fibroblast,unavailable,unavailable,recombinant IL1A,increasing response over10^-5–10^-1ng/mL;plateau from10^-1ng/mL,24h perFigure3,conditioned-medium CXCL8 ELISA,unavailable,24h
CTX_1891c32fe94ea351,Homo sapiens,unavailable,34–75 years,6 male; 6 female donors,peripheral blood,healthy,unavailable,in-vitro cytokine exposure,B cell (naive and intermediate pooled),unavailable,unavailable,IL4,unavailable,24 hours,Parse GigaLab scRNA-seq; donor-level pseudobulk consensus,unavailable,24 hours
CTX_18d2ba6c1ac37ada,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,elutriated monocyte,LPS activated,unavailable,LPS,LPS 1 µg/mL; IL10 100 U/mL,24 hours,Northern blot; RT-PCR followed by Southern blot confirmation,unavailable,24 hours
CTX_1b5c3d1313ec7ad8,Homo sapiens,unavailable,P1:27 years; P3:4 years,female,peripheral blood,IL12RB1 deficiency,unavailable,unavailable,expanded mycobacterium-specific CD4 Th1 T-cell clone,mitogen activated,unavailable,anti-CD2 plus anti-CD28 with or without IL12,IL12 5 U/mL or 2.5 ng/mL,72 hours,supernatant IFNG ELISA,biallelic IL12RB1 loss-of-function; P1/P3,72 hours
CTX_1cbb27b145933c62,Homo sapiens,unavailable,unavailable,unavailable,umbilical vein; peripheral blood for neutrophil adhesion readout,unavailable,unavailable,unavailable,primary HUVEC monolayers; freshly isolated human neutrophils for adhesion endpoint,"primary cultures, tightly confluent for 24 h",unavailable,IL6 plus soluble IL6R applied to HUVEC,IL6 100 ng/mL; soluble IL6R concentration unavailable pending PDF micro-unit verification,4 h HUVEC activation; 5 min adhesion,111In-labeled neutrophil adhesion to HUVEC monolayers,unavailable,4 h HUVEC activation; 5 min adhesion
