alias_id,entity_id,original_label,assay_channel,resolution_status,source_id
ASSAY_01,ENT_ecd6a047adc987fc,GM-CSF,GM-CSF,biological_identity_verified_assay_platform_unavailable,UP_P04141
ASSAY_02,ENT_a8dc18fdf070cbce,IL-12,IL-12,unresolved_assay_identity,SPEC_README
ASSAY_03,ENT_c80734d70dcceaa3,IL-15,IL-15,biological_identity_verified_assay_platform_unavailable,UP_P40933
ASSAY_04,ENT_53062f1eaca66062,IL-16,IL-16,biological_identity_verified_assay_platform_unavailable,UP_Q14005
ASSAY_05,ENT_1c7bf29d33b68948,IL-17A,IL-17A,biological_identity_verified_assay_platform_unavailable,UP_Q16552
ASSAY_06,ENT_11fce20812601278,IL-1α,IL-1α,biological_identity_verified_assay_platform_unavailable,UP_P01583
ASSAY_07,ENT_db48e2e9ec12e60c,IL-5,IL-5,biological_identity_verified_assay_platform_unavailable,UP_P05113
ASSAY_08,ENT_ff24e6b81557dfad,IL-7,IL-7,biological_identity_verified_assay_platform_unavailable,UP_P13232
ASSAY_09,ENT_9a78f9a737146989,TNF-β,TNF-β,biological_identity_verified_assay_platform_unavailable,UP_P01374
ASSAY_10,ENT_e5598617b8bc893c,VEGF,VEGF,unresolved_assay_identity,SPEC_README
ASSAY_11,ENT_2a4303e030327ad6,IFN-γ,IFN-γ,biological_identity_verified_assay_platform_unavailable,UP_P01579
ASSAY_12,ENT_b9593c04ef3c4ada,IL-10,IL-10,biological_identity_verified_assay_platform_unavailable,UP_P22301
ASSAY_13,ENT_fc4758f5b656a1c2,IL-12p70,IL-12p70,complex_identity_assay_platform_unavailable,R023
ASSAY_14,ENT_b68a57fbf39e14f2,IL-13,IL-13,biological_identity_verified_assay_platform_unavailable,UP_P35225
ASSAY_15,ENT_26871fd42dfc89a8,IL-1β,IL-1β,biological_identity_verified_assay_platform_unavailable,UP_P01584
ASSAY_16,ENT_5fe34bc58d70f972,IL-2,IL-2,biological_identity_verified_assay_platform_unavailable,UP_P60568
ASSAY_17,ENT_bfc8af10c594f005,IL-4,IL-4,biological_identity_verified_assay_platform_unavailable,UP_P05112
ASSAY_18,ENT_e7ad5f0c0bdbc662,IL-6,IL-6,biological_identity_verified_assay_platform_unavailable,UP_P05231
ASSAY_19,ENT_aac20750d95ddc6f,IL-8,IL-8,biological_identity_verified_assay_platform_unavailable,UP_P10145
ASSAY_20,ENT_63481bb4a04e1735,TNF-α,TNF-α,biological_identity_verified_assay_platform_unavailable,UP_P01375
ASSAY_21,ENT_5209a3a1a6e87309,Eotaxin,Eotaxin,biological_identity_verified_assay_platform_unavailable,UP_P51671
ASSAY_22,ENT_097dd9d5babcd718,Eotaxin-3,Eotaxin-3,biological_identity_verified_assay_platform_unavailable,UP_Q9Y258
ASSAY_23,ENT_aac20750d95ddc6f,IL-8 high range,IL-8 high range,biological_identity_verified_assay_platform_unavailable,UP_P10145
ASSAY_24,ENT_09a97505ae6a769e,IP-10,IP-10,biological_identity_verified_assay_platform_unavailable,UP_P02778
ASSAY_25,ENT_8f1940684a7a953a,MCP-1,MCP-1,biological_identity_verified_assay_platform_unavailable,UP_P13500
ASSAY_26,ENT_0d8bbf3db272192e,MCP-4,MCP-4,biological_identity_verified_assay_platform_unavailable,UP_Q99616
ASSAY_27,ENT_f38409a9b4ecd1e1,MDC,MDC,biological_identity_verified_assay_platform_unavailable,UP_O00626
ASSAY_28,ENT_4ec703fd743c5e9b,MIP-1α,MIP-1α,biological_identity_verified_assay_platform_unavailable,UP_P10147
ASSAY_29,ENT_f876c10c810517b8,MIP-1β,MIP-1β,biological_identity_verified_assay_platform_unavailable,UP_P13236
ASSAY_30,ENT_a843df3b115de664,TARC,TARC,biological_identity_verified_assay_platform_unavailable,UP_Q92583
