link_id,from_assertion_id,to_assertion_id,status,compatibility_report,bridge_evidence_id
LINK_01d9cf82ea8bbe43,C-A10,C-A11,blocked,"[""C-A10:unknown_disease"",""C-A10:unknown_genomic_background"",""C-A10:unknown_treatment_status"",""C-A11:unknown_disease"",""C-A11:unknown_genomic_background"",""C-A11:unknown_treatment_status"",""incompatible_dose"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_03ac67b2eef47694,XCH_A009,XCH_A011,blocked,"[""XCH_A009:unknown_dose"",""XCH_A009:unknown_duration"",""XCH_A009:unknown_genomic_background"",""XCH_A009:unknown_treatment_status"",""XCH_A011:unknown_genomic_background"",""XCH_A011:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_disease"",""incompatible_stimulation"",""incompatible_time_point"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_14b94c31843282eb,C-A10,C-A25,blocked,"[""C-A10:unknown_disease"",""C-A10:unknown_genomic_background"",""C-A10:unknown_treatment_status"",""C-A25:no_supporting_transition"",""C-A25:unknown_disease"",""C-A25:unknown_genomic_background"",""C-A25:unknown_treatment_status"",""incompatible_dose"",""incompatible_duration"",""incompatible_time_point"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_1929bc3ef7ab4641,G-A010,G-A012,blocked,"[""G-A010:no_supporting_transition"",""G-A010:unknown_cell_state"",""G-A010:unknown_dose"",""G-A010:unknown_duration"",""G-A010:unknown_genomic_background"",""G-A010:unknown_stimulation"",""G-A010:unknown_time_point"",""G-A010:unknown_treatment_status"",""G-A012:unknown_cell_state"",""G-A012:unknown_dose"",""G-A012:unknown_genomic_background"",""G-A012:unknown_time_point"",""G-A012:unknown_treatment_status"",""incompatible_cell_type"",""incompatible_disease"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_1ce8a95cc8c83283,XCH_A022,XCH_A008,blocked,"[""XCH_A008:unknown_genomic_background"",""XCH_A008:unknown_treatment_status"",""XCH_A022:unknown_disease"",""XCH_A022:unknown_dose"",""XCH_A022:unknown_genomic_background"",""XCH_A022:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_duration"",""incompatible_stimulation"",""incompatible_time_point"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_251463491f37e0b8,XCH_A023,XCH_A012,blocked,"[""XCH_A012:not_reviewed"",""XCH_A012:unknown_disease"",""XCH_A012:unknown_dose"",""XCH_A012:unknown_duration"",""XCH_A012:unknown_genomic_background"",""XCH_A012:unknown_time_point"",""XCH_A012:unknown_treatment_status"",""XCH_A023:unknown_genomic_background"",""XCH_A023:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_stimulation"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_2d4da99375fcc920,XCH_A023,XCH_A014,blocked,"[""XCH_A014:not_reviewed"",""XCH_A014:unknown_disease"",""XCH_A014:unknown_dose"",""XCH_A014:unknown_duration"",""XCH_A014:unknown_genomic_background"",""XCH_A014:unknown_time_point"",""XCH_A014:unknown_treatment_status"",""XCH_A023:unknown_genomic_background"",""XCH_A023:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_stimulation"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_45684ab9ee119f84,XCH_A023,XCH_A013,blocked,"[""XCH_A013:no_supporting_transition"",""XCH_A013:not_reviewed"",""XCH_A013:unknown_disease"",""XCH_A013:unknown_dose"",""XCH_A013:unknown_duration"",""XCH_A013:unknown_genomic_background"",""XCH_A013:unknown_time_point"",""XCH_A013:unknown_treatment_status"",""XCH_A023:unknown_genomic_background"",""XCH_A023:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_stimulation"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_493ccce7ed55d537,C-A08,C-A11,blocked,"[""C-A08:unknown_disease"",""C-A08:unknown_genomic_background"",""C-A08:unknown_treatment_status"",""C-A11:unknown_disease"",""C-A11:unknown_genomic_background"",""C-A11:unknown_treatment_status"",""incompatible_dose"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_56e0acd638442e50,XCH_A009,XCH_A019,blocked,"[""XCH_A009:unknown_dose"",""XCH_A009:unknown_duration"",""XCH_A009:unknown_genomic_background"",""XCH_A009:unknown_treatment_status"",""XCH_A019:unknown_genomic_background"",""XCH_A019:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_disease"",""incompatible_stimulation"",""incompatible_time_point"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_6ddf9ae3ce08fc5e,XCH_A024,XCH_A015,blocked,"[""XCH_A015:not_reviewed"",""XCH_A015:unknown_disease"",""XCH_A015:unknown_dose"",""XCH_A015:unknown_duration"",""XCH_A015:unknown_genomic_background"",""XCH_A015:unknown_time_point"",""XCH_A015:unknown_treatment_status"",""XCH_A024:unknown_genomic_background"",""XCH_A024:unknown_treatment_status"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_stimulation"",""incompatible_tissue"",""missing_reviewed_transition_and_temporal_bridge""]",
LINK_8dc7fa339087786a,XCH_A021,XCH_A026,blocked,"[""XCH_A021:unknown_dose"",""XCH_A021:unknown_duration"",""XCH_A021:unknown_genomic_background"",""XCH_A021:unknown_stimulation"",""XCH_A026:no_supporting_transition"",""XCH_A026:unknown_disease"",""XCH_A026:unknown_genomic_background"",""incompatible_cell_state"",""incompatible_cell_type"",""incompatible_time_point"",""incompatible_tissue"",""incompatible_treatment_status"",""missing_reviewed_transition_and_temporal_bridge""]",
