result_id,evidence_id,reported_result,interpretation
QUANT_G-A020,EV_G-A020,"{""comparator"":""rs6897932 CC versus CT/TT"",""donor_sample_basis"":""Two case-control datasets; combined Results analysis1512MS cases/3184controls, distinct from larger recruited totals. Family datasets excluded from this OR."",""locator"":""Table4 and Results Replication of the rs6897932 effect, printed p4"",""uncertainty"":""95%CI1.14-1.46;P=0.00008"",""unit"":""odds ratio"",""value"":1.29}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XCH_A008,EV_XCH_A008,"{""comparator"":""1 ng/mL CCL22 versus100 ng/mL MCP3"",""donor_sample_basis"":""n=7, experimental unit not established as unique donors"",""locator"":""Results sec13 AX347"",""uncertainty"":""±18%; error definition not explicit for this in-text aggregate; Figure7 individual examples use SE"",""unit"":""percent of migration to100 ng/mL MCP3"",""value"":87}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XCH_A018,EV_XCH_A018,"{""comparator"":""Increasing ligand concentration in calcium response assay"",""donor_sample_basis"":""n=3 independent experiments; unique donor count unavailable"",""locator"":""Figure3E legend"",""uncertainty"":""EC50 uncertainty unavailable; plotted data use mean±SEM as generic Methods convention"",""unit"":""nM EC50"",""value"":1.6}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XCH_A019,EV_XCH_A019,"{""comparator"":""Increasing ligand concentration in calcium response assay"",""donor_sample_basis"":""n=3 independent experiments; unique donor count unavailable"",""locator"":""Figure3E legend"",""uncertainty"":""EC50 uncertainty unavailable; plotted data use mean±SEM as generic Methods convention"",""unit"":""nM EC50"",""value"":2.5}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XCH_A023,EV_XCH_A023,"{""comparator"":""No unstimulated concentration reported"",""donor_sample_basis"":""Source PBMC donor number and pooling unavailable"",""locator"":""Methods Chemotaxis AX276"",""uncertainty"":""unavailable"",""unit"":""ng/mL"",""value"":71}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XCH_A024,EV_XCH_A024,"{""comparator"":""No unstimulated concentration reported"",""donor_sample_basis"":""Source PBMC donor number and pooling unavailable"",""locator"":""Methods Chemotaxis AX276"",""uncertainty"":""unavailable"",""unit"":""ng/mL"",""value"":398}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XCI-A03,EV_XCI-A03,"{""comparator"":""78% with CSF2 alone;73% with CSF2 plus sense oligonucleotide"",""donor_sample_basis"":""unavailable"",""locator"":""PMC4465562_survival.txt Results Figure7A"",""uncertainty"":""Figure7 values; donor-level uncertainty not reported in selected passage"",""unit"":""percent viable eosinophils"",""value"":42}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XCI-A04,EV_XCI-A04,"{""comparator"":""2.7% viable cells without cytokine"",""donor_sample_basis"":""six independent experiments with different blood donors"",""locator"":""PMC2198963_selected.txt Figure5A"",""uncertainty"":""SEM 5.6 percentage points for stimulated and 1.7 for unstimulated"",""unit"":""percent viable cells at maximal wild-type IL5 response"",""value"":66}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XCI-A16,EV_XCI-A16,"{""comparator"":""isotype control99.67%"",""donor_sample_basis"":""five amniotic-fluid donors;target-cell unique donor count unavailable"",""locator"":""PMC2673366_selected.txt Results Figure1c"",""uncertainty"":""SEM6.95 vs7.88;P=0.0006"",""unit"":""percent of fluid-alone chemotactic activity remaining"",""value"":42.09}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XCI-A17,EV_XCI-A17,"{""comparator"":""term fluid21.79 cells/field"",""donor_sample_basis"":""six fluid samples per group"",""locator"":""PMC2673366_selected.txt Results Figure1b"",""uncertainty"":""SEM17.67 vs13.53;P=0.0006"",""unit"":""migrated cells per high-power field"",""value"":134.76}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XRE-A05,EV_XRE-A05,"{""comparator"":""untreated approximately 9 sites/µm²"",""interpretation"":""Source wording retained; not a harmonized effect estimate or probability."",""locator"":""Results Figure 1"",""reported_value"":""as high as 111"",""sample_basis"":""at least 3 pooled HUVEC donors; at least triplicate experiments; exact independent pools unavailable"",""uncertainty"":""unavailable"",""unit"":""sites/µm²""}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XRE-A07,EV_XRE-A07,"{""comparator"":""static IL1B-conditioned monolayers at matched 8–24 h"",""locator"":""Figure 3B Results"",""reported_value"":""1.6–2.4"",""sample_basis"":""pooled HUVEC; neutrophil donor count unavailable"",""uncertainty"":""unavailable"",""unit"":""fold higher""}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XRE-A08,EV_XRE-A08,"{""comparator"":""receptor-fusion titration"",""locator"":""Figure 3B Results"",""reported_value"":133,""sample_basis"":""cell-free; replicate number unavailable"",""uncertainty"":""unavailable"",""unit"":""pM ELISA EC50""}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XRE-A09,EV_XRE-A09,"{""comparator"":""receptor-fusion titration"",""locator"":""Figure 3A Results"",""reported_value"":48,""sample_basis"":""cell-free; replicate number unavailable"",""uncertainty"":""unavailable"",""unit"":""pM ELISA EC50""}",Source-reported quantitative observation only; not a calibrated distribution.
QUANT_XRE-A12,EV_XRE-A12,"{""comparator"":""control 21 ± 1"",""locator"":""Table 1"",""reported_value"":""81 ± 4"",""sample_basis"":""experiments in triplicate; donor count unavailable"",""uncertainty"":""SD; Table 1"",""unit"":""migrated monocytes across five oil fields""}",Source-reported quantitative observation only; not a calibrated distribution.
