change_id,record_type,record_id,previous_version,new_version,change_type,old_record,new_record
DELTA_0009f8c9a96d143d,prior_parameters,PRIOR_C-A18_protein_availability,0.1.0,0.2.0,modified,"{""assertion_id"":""C-A18"",""availability"":""withheld"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""protein_availability"",""parameters"":""{}"",""prior_id"":""PRIOR_C-A18_protein_availability"",""rationale"":""Contested/incomplete extraction withheld.""}","{""assertion_id"":""C-A18"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""protein_availability"",""parameters"":""{}"",""prior_id"":""PRIOR_C-A18_protein_availability"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_000ee15095bbf82f,prior_parameters,PRIOR_XRE-A03_temporal,0.1.0,0.2.0,added,,"{""assertion_id"":""XRE-A03"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""temporal"",""parameters"":""{}"",""prior_id"":""PRIOR_XRE-A03_temporal"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_00257402bf0c2aeb,prior_parameters,PRIOR_P_A08_effect_class,0.1.0,0.2.0,modified,"{""assertion_id"":""P_A08"",""availability"":""withheld"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""effect_class"",""parameters"":""{}"",""prior_id"":""PRIOR_P_A08_effect_class"",""rationale"":""Contested/incomplete extraction withheld.""}","{""assertion_id"":""P_A08"",""availability"":""available"",""calibration_status"":""uncalibrated"",""distribution"":""categorical_annotation"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""effect_class"",""parameters"":""{\""observed_direction\"":\""null\""}"",""prior_id"":""PRIOR_P_A08_effect_class"",""rationale"":""Observed annotation only, no numeric distribution inferred.""}"
DELTA_015233879f21ab30,prior_parameters,PRIOR_XCI-A18_context_specific,0.1.0,0.2.0,added,,"{""assertion_id"":""XCI-A18"",""availability"":""available"",""calibration_status"":""uncalibrated"",""distribution"":""categorical_annotation"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":1,""parameter_family"":""context_specific"",""parameters"":""{\""context_id\"":\""CTX_7f7b1f22a4433cb1\""}"",""prior_id"":""PRIOR_XCI-A18_context_specific"",""rationale"":""Observed annotation only, no numeric distribution inferred.""}"
DELTA_015ad3e9b96d4af8,prior_parameters,PRIOR_XRE-A11_direction,0.1.0,0.2.0,added,,"{""assertion_id"":""XRE-A11"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""direction"",""parameters"":""{}"",""prior_id"":""PRIOR_XRE-A11_direction"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_015b50de1198dedc,prior_parameters,PRIOR_XRE-A11_protein_availability,0.1.0,0.2.0,added,,"{""assertion_id"":""XRE-A11"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""protein_availability"",""parameters"":""{}"",""prior_id"":""PRIOR_XRE-A11_protein_availability"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_01a163ced26ce170,prior_parameters,PRIOR_XCI-A02_genetic_modifier,0.1.0,0.2.0,added,,"{""assertion_id"":""XCI-A02"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""genetic_modifier"",""parameters"":""{}"",""prior_id"":""PRIOR_XCI-A02_genetic_modifier"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_01b59b953f1418e7,prior_parameters,PRIOR_XCH_A023_genetic_modifier,0.1.0,0.2.0,added,,"{""assertion_id"":""XCH_A023"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""genetic_modifier"",""parameters"":""{}"",""prior_id"":""PRIOR_XCH_A023_genetic_modifier"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_01c795d141420234,prior_parameters,PRIOR_XRE-A04_expression,0.1.0,0.2.0,added,,"{""assertion_id"":""XRE-A04"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""expression"",""parameters"":""{}"",""prior_id"":""PRIOR_XRE-A04_expression"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_02c69a543cfa97d3,prior_parameters,PRIOR_XRE-A14_direction,0.1.0,0.2.0,added,,"{""assertion_id"":""XRE-A14"",""availability"":""available"",""calibration_status"":""uncalibrated"",""distribution"":""Dirichlet"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":1,""parameter_family"":""direction"",""parameters"":""{\""alpha\"":[1.0,1.0,1.5],\""categories\"":[\""increase\"",\""decrease\"",\""other\""]}"",""prior_id"":""PRIOR_XRE-A14_direction"",""rationale"":""Direction uncertainty is separate from existence and from effect magnitude.""}"
DELTA_02ee3b21a3504147,prior_parameters,PRIOR_XCI-A07_expression,0.1.0,0.2.0,added,,"{""assertion_id"":""XCI-A07"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""expression"",""parameters"":""{}"",""prior_id"":""PRIOR_XCI-A07_expression"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_0305e8cb48f7a85b,prior_parameters,PRIOR_XRE-A08_genetic_modifier,0.1.0,0.2.0,added,,"{""assertion_id"":""XRE-A08"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""genetic_modifier"",""parameters"":""{}"",""prior_id"":""PRIOR_XRE-A08_genetic_modifier"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_0319922487df7532,prior_parameters,PRIOR_XCH_A003_existence,0.1.0,0.2.0,added,,"{""assertion_id"":""XCH_A003"",""availability"":""available"",""calibration_status"":""uncalibrated"",""distribution"":""Beta"",""estimate"":0.6363636363636364,""estimate_without_journal"":0.6363636363636364,""independent_groups"":1,""parameter_family"":""existence"",""parameters"":""{\""alpha\"":1.75,\""beta\"":1.0}"",""prior_id"":""PRIOR_XCH_A003_existence"",""rationale"":""Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth.""}"
DELTA_0332073eb90ea42d,edge_assertions,XRE-A05,0.1.0,0.2.0,added,,"{""assertion_id"":""XRE-A05"",""candidate_path"":""unavailable"",""context_id"":""CTX_d7007697129ae70c"",""contradiction_group"":""unavailable"",""direction"":""increase"",""evidence_tier"":""P2"",""measurement"":""protein_abundance"",""object_id"":""ENT_77c08ccce29531a9"",""predicate"":""increases_surface_protein"",""qualitative_confidence"":""moderate"",""status"":""reviewed"",""subject_id"":""ENT_26871fd42dfc89a8""}"
DELTA_03a94aea90365ca7,prior_parameters,PRIOR_XCI-A17_protein_availability,0.1.0,0.2.0,added,,"{""assertion_id"":""XCI-A17"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""protein_availability"",""parameters"":""{}"",""prior_id"":""PRIOR_XCI-A17_protein_availability"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_03abf841e54a3a18,prior_parameters,PRIOR_XCH_A004_protein_availability,0.1.0,0.2.0,added,,"{""assertion_id"":""XCH_A004"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""protein_availability"",""parameters"":""{}"",""prior_id"":""PRIOR_XCH_A004_protein_availability"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_03dccb692f0a5a74,prior_parameters,PRIOR_XCI-A03_temporal,0.1.0,0.2.0,added,,"{""assertion_id"":""XCI-A03"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""temporal"",""parameters"":""{}"",""prior_id"":""PRIOR_XCI-A03_temporal"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_0442f3fb297b8497,source_registry,P_S03,0.1.0,0.2.0,modified,"{""access_level"":""abstract_and_supplementary_captions"",""authors"":""Marlon Stoeckius et al."",""doi"":""10.1038/nmeth.4380"",""duplicate_of"":""unavailable"",""ingestion_status"":""extracted"",""notes"":""Publisher page contains accessible supplementary captions; main-body access incomplete. Assertions use Supplementary Fig. 6 captions, not uninspected raw count matrices."",""pmid"":""unavailable"",""retrieved_at"":""2026-09-12"",""snapshot_path"":""research/proteomic/snapshots/cite_publisher_page.html"",""snapshot_sha256"":""b5e3ba5a6a270e6fd8181c031641877920d5ce2b2a0724608ccd4b666800dda5"",""source_id"":""P_S03"",""source_type"":""primary_study"",""species"":""Homo sapiens"",""title"":""Simultaneous epitope and transcriptome measurement in single cells"",""url"":""https://www.nature.com/articles/nmeth.4380"",""version"":""version of record 2017; database release unavailable"",""year"":""2017""}","{""access_level"":""full_text_relevant_methods_and_results_via_primary_repository_index"",""authors"":""Marlon Stoeckius et al."",""doi"":""10.1038/nmeth.4380"",""duplicate_of"":""unavailable"",""ingestion_status"":""extracted"",""notes"":""PMC5669064 author manuscript title is Large-scale simultaneous measurement of epitopes and transcriptomes in single cells; DOI and PMID match the final Nature title. Full relevant Methods and NK Results recovered; publisher Supplementary Figure6 caption remains included. No raw matrix reanalysis claimed."",""pmid"":""28759029"",""retrieved_at"":""2026-09-13"",""snapshot_path"":""research/fulltext_followup/proteomic_followup_methods.json"",""snapshot_sha256"":""eb045f5d63885ab3b55909802a521902a35d174a50b0273e639b7efd91492663"",""source_id"":""P_S03"",""source_type"":""primary_study"",""species"":""Homo sapiens"",""title"":""Simultaneous epitope and transcriptome measurement in single cells"",""url"":""https://www.nature.com/articles/nmeth.4380"",""version"":""version of record 2017; database release unavailable"",""year"":""2017""}"
DELTA_0453012d575bc382,prior_parameters,PRIOR_XRE-A01_direction,0.1.0,0.2.0,added,,"{""assertion_id"":""XRE-A01"",""availability"":""available"",""calibration_status"":""uncalibrated"",""distribution"":""Dirichlet"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":1,""parameter_family"":""direction"",""parameters"":""{\""alpha\"":[2.0,1.0,1.0],\""categories\"":[\""increase\"",\""decrease\"",\""other\""]}"",""prior_id"":""PRIOR_XRE-A01_direction"",""rationale"":""Direction uncertainty is separate from existence and from effect magnitude.""}"
DELTA_0477d0e891dc9134,prior_parameters,PRIOR_XCH_A025_protein_availability,0.1.0,0.2.0,added,,"{""assertion_id"":""XCH_A025"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""protein_availability"",""parameters"":""{}"",""prior_id"":""PRIOR_XCH_A025_protein_availability"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_0489f39cf84965a3,prior_parameters,PRIOR_XCH_A015_expression,0.1.0,0.2.0,added,,"{""assertion_id"":""XCH_A015"",""availability"":""withheld"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""expression"",""parameters"":""{}"",""prior_id"":""PRIOR_XCH_A015_expression"",""rationale"":""Contested/incomplete extraction withheld.""}"
DELTA_0514c7c3a8fc9a47,prior_parameters,PRIOR_XCH_A018_temporal,0.1.0,0.2.0,added,,"{""assertion_id"":""XCH_A018"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""temporal"",""parameters"":""{}"",""prior_id"":""PRIOR_XCH_A018_temporal"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_05272e146083e3d3,prior_parameters,PRIOR_XCH_A011_effect_class,0.1.0,0.2.0,added,,"{""assertion_id"":""XCH_A011"",""availability"":""available"",""calibration_status"":""uncalibrated"",""distribution"":""categorical_annotation"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":1,""parameter_family"":""effect_class"",""parameters"":""{\""observed_direction\"":\""increase\""}"",""prior_id"":""PRIOR_XCH_A011_effect_class"",""rationale"":""Observed annotation only, no numeric distribution inferred.""}"
DELTA_0539b0b3af8fd9bf,prior_parameters,PRIOR_XCH_A013_effect_class,0.1.0,0.2.0,added,,"{""assertion_id"":""XCH_A013"",""availability"":""withheld"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""effect_class"",""parameters"":""{}"",""prior_id"":""PRIOR_XCH_A013_effect_class"",""rationale"":""Contested/incomplete extraction withheld.""}"
DELTA_054524581fb8ec40,prior_parameters,PRIOR_XRE-A08_effect_class,0.1.0,0.2.0,added,,"{""assertion_id"":""XRE-A08"",""availability"":""available"",""calibration_status"":""uncalibrated"",""distribution"":""categorical_annotation"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":1,""parameter_family"":""effect_class"",""parameters"":""{\""observed_direction\"":\""association\""}"",""prior_id"":""PRIOR_XRE-A08_effect_class"",""rationale"":""Observed annotation only, no numeric distribution inferred.""}"
DELTA_05ba338ad41ad0a2,prior_parameters,PRIOR_XCI-A10_direction,0.1.0,0.2.0,added,,"{""assertion_id"":""XCI-A10"",""availability"":""available"",""calibration_status"":""uncalibrated"",""distribution"":""Dirichlet"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":1,""parameter_family"":""direction"",""parameters"":""{\""alpha\"":[2.0,1.0,1.0],\""categories\"":[\""increase\"",\""decrease\"",\""other\""]}"",""prior_id"":""PRIOR_XCI-A10_direction"",""rationale"":""Direction uncertainty is separate from existence and from effect magnitude.""}"
DELTA_05d0a03ff3019922,source_registry,XCH_S005,0.1.0,0.2.0,added,,"{""access_level"":""abstract"",""authors"":""DD Taub; K Conlon; AR Lloyd; JJ Oppenheim; DJ Kelvin"",""doi"":""10.1126/science.7682337"",""duplicate_of"":""unavailable"",""ingestion_status"":""extracted"",""notes"":""Complete indexed PubMed abstract was inspected. Activation and subset contrasts are descriptive and condition-bound. A later methods study reports purification-dependent recovery of resting-cell mobility; this limits a general requirement for CD3 activation."",""pmid"":""7682337"",""retrieved_at"":""2026-09-13 17:35:01 UTC"",""snapshot_path"":""research/chemokine_expansion/snapshots/open3.json"",""snapshot_sha256"":""41d43672588a41471e8f6feb0e57e4b386a6ae66457f3e374d9313ae5ecb8a28"",""source_id"":""XCH_S005"",""source_type"":""primary_study"",""species"":""Homo sapiens"",""title"":""Preferential migration of activated CD4+ and CD8+ T cells in response to MIP-1 alpha and MIP-1 beta."",""url"":""https://pubmed.ncbi.nlm.nih.gov/7682337/"",""version"":""published_article; exact source revision unavailable"",""year"":""1993""}"
DELTA_05fedf5da6672215,evidence_instances,EV_XRE-A06,0.1.0,0.2.0,added,,"{""assertion_id"":""XRE-A06"",""causal_directness"":""Direct recorded assay contrast only; no unmeasured molecular transition inferred."",""cohort_id"":""XRE-CO02"",""effect_size"":""unavailable"",""effect_unit"":""unavailable"",""evidence_id"":""EV_XRE-A06"",""evidence_relation"":""supports"",""evidence_summary"":""HUVEC surface E-selectin was higher with simultaneous IL1B and laminar shear than with static IL1B from eight to 24 hours."",""extraction_lane"":""receptor_expansion"",""limitations"":""Conditional co-stimulation contrast; not a ligand-only effect or evidence of receptor binding."",""null_adequacy"":""not_applicable"",""qc_status"":""reviewed_extraction"",""source_id"":""XRE-S02"",""source_locator"":""root_il1_full.json: Methods and Figure 1 Results"",""tested_hypothesis"":""Simultaneous laminar shear increases the IL1B-conditioned HUVEC surface E-selectin response relative to static IL1B at 8–24 h."",""uncertainty"":""At least triplicate experiments; HUVEC pooled from at least three donors. Donor-level numerical precision unavailable.""}"
DELTA_060a5ab7326e77c4,prior_parameters,PRIOR_XCI-A10_magnitude,0.1.0,0.2.0,added,,"{""assertion_id"":""XCI-A10"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""magnitude"",""parameters"":""{}"",""prior_id"":""PRIOR_XCI-A10_magnitude"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_072940d71202ce85,prior_parameters,PRIOR_XCH_A023_temporal,0.1.0,0.2.0,added,,"{""assertion_id"":""XCH_A023"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""temporal"",""parameters"":""{}"",""prior_id"":""PRIOR_XCH_A023_temporal"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_07dc48df43dbcca5,edge_assertions,XCI-A16,0.1.0,0.2.0,added,,"{""assertion_id"":""XCI-A16"",""candidate_path"":""unavailable"",""context_id"":""CTX_b790fad4c54f08c7"",""contradiction_group"":""unavailable"",""direction"":""decrease"",""evidence_tier"":""perturbational"",""measurement"":""cellular_phenotype"",""object_id"":""ENT_8365b3c36a9a939d"",""predicate"":""reduces_amniotic_fluid_induced_migration"",""qualitative_confidence"":""moderate"",""status"":""reviewed"",""subject_id"":""ENT_6c9df7326d297d75""}"
DELTA_08395a7a72a75809,prior_parameters,PRIOR_G-A020_protein_availability,0.1.0,0.2.0,modified,"{""assertion_id"":""G-A020"",""availability"":""withheld"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""protein_availability"",""parameters"":""{}"",""prior_id"":""PRIOR_G-A020_protein_availability"",""rationale"":""Contested/incomplete extraction withheld.""}","{""assertion_id"":""G-A020"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""protein_availability"",""parameters"":""{}"",""prior_id"":""PRIOR_G-A020_protein_availability"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_083aa94a1dcca918,prior_parameters,PRIOR_XCH_A009_expression,0.1.0,0.2.0,added,,"{""assertion_id"":""XCH_A009"",""availability"":""unavailable"",""calibration_status"":""uncalibrated"",""distribution"":""unavailable"",""estimate"":null,""estimate_without_journal"":null,""independent_groups"":0,""parameter_family"":""expression"",""parameters"":""{}"",""prior_id"":""PRIOR_XCH_A009_expression"",""rationale"":""Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.""}"
DELTA_0877334767422450,source_registry,XCH_S001,0.1.0,0.2.0,added,,"{""access_level"":""full_text_methods_results_excerpts"",""authors"":""H Heath; S Qin; P Rao; L Wu; G LaRosa; N Kassam; PD Ponath; CR Mackay"",""doi"":""10.1172/JCI119145"",""duplicate_of"":""unavailable"",""ingestion_status"":""extracted"",""notes"":""Full PDF Methods and the relevant Results/Figures 3–4 inspected; additional end of Figure 4 in followup_search6.json. PDF text extraction renders several microgram symbols as mg, so numeric antibody doses are not imported without visual verification. Human fresh-eosinophil results only; IL5-primed and mouse L1.2 experiments remain separate and unimported."",""pmid"":""9005985"",""retrieved_at"":""2026-09-13 17:44:23 UTC"",""snapshot_path"":""research/chemokine_expansion/snapshots/followup_fullmethods1.json"",""snapshot_sha256"":""2878795f19b69d040debb0a455dc5a71971059d6cd403ace304a1f3c73b4655a"",""source_id"":""XCH_S001"",""source_type"":""primary_study"",""species"":""Homo sapiens"",""title"":""Chemokine receptor usage by human eosinophils. The importance of CCR3 demonstrated using an antagonistic monoclonal antibody."",""url"":""https://pubmed.ncbi.nlm.nih.gov/9005985/"",""version"":""published_article; exact source revision unavailable"",""year"":""1997""}"
