screening_id,source_id,decision,reason,stage,reviewer_role
SCREEN_C-S01,C-S01,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,cytokine_extractor
SCREEN_C-S02,C-S02,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections_via_web_tool,cytokine_extractor
SCREEN_C-S03,C-S03,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections_via_web_tool,cytokine_extractor
SCREEN_C-S04,C-S04,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_OCR,cytokine_extractor
SCREEN_C-S05,C-S05,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_viewed_selected_passages_archived,cytokine_extractor
SCREEN_C-S06,C-S06,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections_via_web_tool,cytokine_extractor
SCREEN_C-S07,C-S07,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_viewed_selected_passages_archived,cytokine_extractor
SCREEN_C-S08,C-S08,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,cytokine_extractor
SCREEN_C-S09,C-S09,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,cytokine_extractor
SCREEN_G01,G01,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G02,G02,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G03,G03,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G04,G04,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G05,G05,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G06,G06,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,abstract_and_metadata,genomic_extractor
SCREEN_G07,G07,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G08,G08,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_primary_article_selected_methods_results,genomic_extractor
SCREEN_G09,G09,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G10,G10,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_P_S01,P_S01,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_selected_methods_and_results_via_primary_paper_copy,proteomic_extractor
SCREEN_P_S02,P_S02,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,proteomic_extractor
SCREEN_P_S03,P_S03,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_relevant_methods_and_results_via_primary_repository_index,proteomic_extractor
SCREEN_P_S04,P_S04,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,proteomic_extractor
SCREEN_P_S05,P_S05,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections,proteomic_extractor
SCREEN_P_S06,P_S06,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections,proteomic_extractor
SCREEN_P_S07,P_S07,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections,proteomic_extractor
SCREEN_P_S08,P_S08,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,proteomic_extractor
SCREEN_XCH_S001,XCH_S001,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_methods_results_excerpts,chemokine_expansion_extractor
SCREEN_XCH_S002,XCH_S002,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_chrome_selected_passages,chemokine_expansion_extractor
SCREEN_XCH_S003,XCH_S003,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_chrome_selected_passages,chemokine_expansion_extractor
SCREEN_XCH_S004,XCH_S004,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_tool_response,chemokine_expansion_extractor
SCREEN_XCH_S005,XCH_S005,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,abstract,chemokine_expansion_extractor
SCREEN_XCH_S006,XCH_S006,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,primary_article_excerpt,chemokine_expansion_extractor
SCREEN_XCH_S007,XCH_S007,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_chrome_selected_passages,chemokine_expansion_extractor
