accession,atlas_cohort_ids,atlas_source_ids,availability,biological_data_downloaded,dataset_id,linkage_status,metadata_snapshot,metadata_snapshot_sha256,original_accession_contexts,record_url,repository_metadata_verified,repository_relations,repository_sample_records,supplementary_file_links,title
E-MTAB-13324,"[""MGCO07"",""MGCO08"",""MGCO09"",""MGCO11""]","[""MG04""]",access_route_recorded; availability_not_independently_verified,False,ATLAS_DATA:E-MTAB-13324,recorded in cohort field; related-data and cell-line caveats apply,,,"[""E-MTAB-13324"",""E-MTAB-13324"",""E-MTAB-13324"",""E-MTAB-13324""]",https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13324,False,[],0,[],Title not independently retrieved
EGAD00001008197,"[""GCO13""]","[""G07""]",access_route_recorded; availability_not_independently_verified,False,ATLAS_DATA:EGAD00001008197,recorded in cohort field; related-data and cell-line caveats apply,,,"[""[\""EGAD00001008197\"",\""EGAD00010002291\""]""]",https://ega-archive.org/datasets/EGAD00001008197,False,[],0,[],Title not independently retrieved
EGAD00001011338,"[""MGCO12"",""MGCO13"",""MGCO14"",""MGCO15""]","[""MG05""]",access_route_recorded; availability_not_independently_verified,False,ATLAS_DATA:EGAD00001011338,recorded in cohort field; related-data and cell-line caveats apply,,,"[""unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338"",""unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338"",""unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338"",""unavailable for these functional/PrimeFlow panels; related edited-cell RNA-seq EGAD00001011338""]",https://ega-archive.org/datasets/EGAD00001011338,False,[],0,[],Title not independently retrieved
EGAD00010002291,"[""GCO13""]","[""G07""]",access_route_recorded; availability_not_independently_verified,False,ATLAS_DATA:EGAD00010002291,recorded in cohort field; related-data and cell-line caveats apply,,,"[""[\""EGAD00001008197\"",\""EGAD00010002291\""]""]",https://ega-archive.org/datasets/EGAD00010002291,False,[],0,[],Title not independently retrieved
EGAS00000000109,"[""GCO01""]","[""G01""]",access_route_recorded; availability_not_independently_verified,False,ATLAS_DATA:EGAS00000000109,recorded in cohort field; related-data and cell-line caveats apply,,,"[""EGAS00000000109 (genotypes); expression ArrayExpress accession unavailable in inspected main text""]",https://ega-archive.org/studies/EGAS00000000109,False,[],0,[],Title not independently retrieved
EGAS00001001456,"[""GCO11""]","[""G05""]",access_route_recorded; availability_not_independently_verified,False,ATLAS_DATA:EGAS00001001456,recorded in cohort field; related-data and cell-line caveats apply,,,"[""EGAS00001001456""]",https://ega-archive.org/studies/EGAS00001001456,False,[],0,[],Title not independently retrieved
GSE100501,"[""P_C04"",""P_C04_PBMC""]","[""P_S04""]",public_record_with_advertised_files,False,ATLAS_DATA:GSE100501,recorded in cohort field; related-data and cell-line caveats apply,data_dictionary/sources/atlas/GSE100501.soft.txt,494155a235e88a793b276831df0fda38537c77c543d7a595b442d91fbe109a36,"[""GSE100501"",""GSE100501""]",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100501,True,"[""BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA391958"",""SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP110537""]",31,"[""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100501/suppl/GSE100501_RAW.tar""]",The dynamics of cellular response to therapeutic perturbation using multiplexed quantification of the proteome and transcriptome at single-cell resolution
GSE100866,"[""P_C03""]","[""P_S03""]",public_record_with_advertised_files,False,ATLAS_DATA:GSE100866,recorded in cohort field; related-data and cell-line caveats apply,data_dictionary/sources/atlas/GSE100866.soft.txt,d180173026e14d231d53df621e15c378b7ec95519f83b284ed97cd139cde89b0,"[""GSE100866""]",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100866,True,"[""BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393315"",""SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP111194""]",12,"[""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100866/suppl/GSE100866_CBMC_8K_13AB_10X-ADT_clr-transformed.csv.gz"",""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100866/suppl/GSE100866_CBMC_8K_13AB_10X-ADT_umi.csv.gz"",""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100866/suppl/GSE100866_CBMC_8K_13AB_10X-RNA_umi.csv.gz"",""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100866/suppl/GSE100866_CD8_merged-ADT_clr-transformed.csv.gz"",""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100866/suppl/GSE100866_CD8_merged-ADT_umi.csv.gz"",""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100866/suppl/GSE100866_CD8_merged-RNA_umi.csv.gz"",""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100866/suppl/GSE100866_PBMC_vs_flow_10X-ADT_clr-transformed.csv.gz"",""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100866/suppl/GSE100866_PBMC_vs_flow_10X-ADT_umi.csv.gz"",""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100866/suppl/GSE100866_PBMC_vs_flow_10X-RNA_umi.csv.gz""]",CITE-seq: Large scale simultaneous measuremnt of epitopes and transcriptomes in single cells
GSE116698,"[""MA-CO01""]","[""MA-S01""]",public_record_with_advertised_files,False,ATLAS_DATA:GSE116698,recorded in cohort field; related-data and cell-line caveats apply,data_dictionary/sources/atlas/GSE116698.soft.txt,836a8995a4511d0ae3dcb955f985287d7de8d859fd4c3194d020e0a7534426fb,"[""GSE116698""]",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116698,True,"[""SuperSeries of: GSE116695"",""SuperSeries of: GSE116696"",""SuperSeries of: GSE116697"",""BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA479881""]",76,"[""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE116nnn/GSE116698/suppl/GSE116698_RAW.tar""]",Co-Stimulation–Induced AP-1 Activity is Required for Chromatin Opening During T Cell Activation.
GSE202186,"[""C-CO01""]","[""C-S01""]",public_record_with_advertised_files,False,ATLAS_DATA:GSE202186,recorded in cohort field; related-data and cell-line caveats apply,data_dictionary/sources/atlas/GSE202186.soft.txt,c7ee64a15236aebce7b0a2246b28c9a88180a8fd24c5b94258e83b7ad619cc6e,"[""GSE202186""]",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202186,True,"[""BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA834959"",""SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP373566""]",88,"[""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202186/suppl/GSE202186_RAW.tar"",""ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE202nnn/GSE202186/suppl/GSE202186_map-scRNAseq-cytokines-dictionary.xlsx""]",Single-cell RNA-seq dictionary of in vivo immune responses to cytokines
