definition,definition_source,field,foreign_key,missingness,primary_key,storage_type,table_id,units
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,adjudication_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:adjudications,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,finding_id,critic_findings.None,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:adjudications,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,adjudicator_role,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:adjudications,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,decision,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:adjudications,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,rationale,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:adjudications,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,human_adjudication_status,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:adjudications,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,run_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,agent_role,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,timestamp_start,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,timestamp_end,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,timezone,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,LLM_provider,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,LLM_model,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,model_snapshot_if_available,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,reasoning_mode,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,protocol_version,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,agent_prompt_version,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,instruction_bundle_hash,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,source_versions,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,retrieval_queries,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,retrieval_dates,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,source_hashes,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,code_commit,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,environment_hash,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,output_hash,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,critic_run_ids,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,human_edits,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,original_metadata,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:agent_runs,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,artifact_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:artifact_hashes,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,path,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:artifact_hashes,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,sha256,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:artifact_hashes,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,hash_scope,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:artifact_hashes,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,original_label,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:assay_coverage,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,entity_id,entities.None,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:assay_coverage,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,mapping_status,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:assay_coverage,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,related_assertion_count,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,INTEGER,ATLAS_TABLE:assay_coverage,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,reviewed_protein_assertion_count,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,INTEGER,ATLAS_TABLE:assay_coverage,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/DATA_DICTIONARY.md,coverage_status,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,False,TEXT,ATLAS_TABLE:assay_coverage,source/measurement dependent; do not infer from storage type
Preserved atlas field; see linked schema and scientific dictionary for interpretation.,atlas/data/CANDIDATE_DATA_DICTIONARY.md,assertion_id,,unavailable marks explicit scientific unknown; SQL NULL follows source table semantics,True,TEXT,ATLAS_TABLE:candidate_assertions,source/measurement dependent; do not infer from storage type
