data_inventory_status,explicit_cohort_accessions,interpretation,local_snapshot_available,source_id,source_key,source_type,source_url,title,unverified_snapshot_accession_mentions
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,SPEC_README,preserved_baseline_0.2.0:SPEC_README,specification,README.md,Greenfield Multi-Omic Immune-System Prior Review specification,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R001,preserved_baseline_0.2.0:R001,resource,https://liana-py.readthedocs.io/en/latest/,LIANA+,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R002,preserved_baseline_0.2.0:R002,resource,https://www.cellphonedb.org/,CellPhoneDB,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R003,preserved_baseline_0.2.0:R003,resource,https://omnipathdb.org/,OmniPath,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R004,preserved_baseline_0.2.0:R004,resource,https://reactome.org/,Reactome,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,False,R005,preserved_baseline_0.2.0:R005,resource,https://signor.uniroma2.it/,SIGNOR,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R006,preserved_baseline_0.2.0:R006,resource,https://www.ebi.ac.uk/gwas/,GWAS Catalog,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R007,preserved_baseline_0.2.0:R007,resource,https://www.ebi.ac.uk/eqtl/,eQTL Catalogue,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R008,preserved_baseline_0.2.0:R008,resource,https://gtexportal.org/home/,GTEx,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R009,preserved_baseline_0.2.0:R009,resource,https://www.ebi.ac.uk/ipd/imgt/hla/,IPD-IMGT/HLA,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R010,preserved_baseline_0.2.0:R010,resource,https://www.ebi.ac.uk/ipd/kir/,IPD-KIR,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R011,preserved_baseline_0.2.0:R011,resource,https://www.encodeproject.org/,ENCODE,[]
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R012,preserved_baseline_0.2.0:R012,resource,https://data.humancellatlas.org/,Human Cell Atlas,"[""EGAD00001006049"",""GSE204684"",""GSE215353"",""GSE225482"",""GSE226451""]"
reference_resource_or_specification,[],A cited or related accession is not automatically the original data for every assay in a paper.,True,R013,preserved_baseline_0.2.0:R013,resource,https://cellxgene.cziscience.com/,CELLxGENE,[]
