access_level,declared_snapshot_path,doi,hash_matched_local_snapshot,matching_local_paths,raw_biological_data_claim,scope,snapshot_sha256,source_id,source_key,source_type,title,url
local_specification,README.md,,True,"[""atlas/releases/0.2.0/input_snapshot/README.md""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,1156d269207a7f896a5eb147d4000574e2758428b100739b47c8611894a4f1c9,SPEC_README,preserved_baseline_0.2.0:SPEC_README,specification,Greenfield Multi-Omic Immune-System Prior Review specification,README.md
resource_landing_page,research/references/resource_01.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_01.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_01.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_01.html"",""atlas/research/references/resource_01.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,511207a03fe6f8a2d8e02c4bda8d85a68cbaae5609ec4023b2ae632021ef9231,R001,preserved_baseline_0.2.0:R001,resource,LIANA+,https://liana-py.readthedocs.io/en/latest/
resource_landing_page,research/references/resource_02.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_02.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_02.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_02.html"",""atlas/research/references/resource_02.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,9f759d28535cb6639733ea1d8de8ff59e244bb979e0b8ddda5948bd71ef8ea45,R002,preserved_baseline_0.2.0:R002,resource,CellPhoneDB,https://www.cellphonedb.org/
resource_landing_page,research/references/resource_03.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_03.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_03.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_03.html"",""atlas/research/references/resource_03.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,b3d2c99b8dd47fcc8f8443c81c687ceb2bc24a9f24d3aa1fd9c93e6f48a43831,R003,preserved_baseline_0.2.0:R003,resource,OmniPath,https://omnipathdb.org/
resource_landing_page,research/references/resource_04.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_04.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_04.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_04.html"",""atlas/research/references/resource_04.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,407c216919d76e93c20766b1b118a2b42f2e972eed88da53cf8a65173fad9637,R004,preserved_baseline_0.2.0:R004,resource,Reactome,https://reactome.org/
retrieval_failed,unavailable,unavailable,False,[],"Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,unavailable,R005,preserved_baseline_0.2.0:R005,resource,SIGNOR,https://signor.uniroma2.it/
resource_landing_page,research/references/resource_06.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_06.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_06.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_06.html"",""atlas/research/references/resource_06.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,73543cbf5f0339a3a0fe272f5ef2e59b18feccec644a28578776e4f82e594a91,R006,preserved_baseline_0.2.0:R006,resource,GWAS Catalog,https://www.ebi.ac.uk/gwas/
resource_landing_page,research/references/resource_07.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_07.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_07.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_07.html"",""atlas/research/references/resource_07.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,4184d91c72132b407ef17a7914250a9f9b0ac7481a81aecae852d0cb7c154fe3,R007,preserved_baseline_0.2.0:R007,resource,eQTL Catalogue,https://www.ebi.ac.uk/eqtl/
resource_landing_page,research/references/resource_08.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_08.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_08.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_08.html"",""atlas/research/references/resource_08.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,4e1380746cec86eca3a6c5dd3e65fbeab58a2d8758539a6ea4dc2c98c5a88f0f,R008,preserved_baseline_0.2.0:R008,resource,GTEx,https://gtexportal.org/home/
resource_landing_page,research/references/resource_09.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_09.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_09.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_09.html"",""atlas/research/references/resource_09.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,0f49da29417cae73bf867332e049b2286c38424d2c26977f7e1384dfb09a350d,R009,preserved_baseline_0.2.0:R009,resource,IPD-IMGT/HLA,https://www.ebi.ac.uk/ipd/imgt/hla/
resource_landing_page,research/references/resource_10.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_10.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_10.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_10.html"",""atlas/research/references/resource_10.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,13ceafe512d6f8dc557bd48b13394fabeab743acd832068c4ee58d86b6eb88b3,R010,preserved_baseline_0.2.0:R010,resource,IPD-KIR,https://www.ebi.ac.uk/ipd/kir/
resource_landing_page,research/references/resource_11.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_11.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_11.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_11.html"",""atlas/research/references/resource_11.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,bffdedbde05ae0788290da20a8eaa43b4aa926f341f0728b773cc376d8e75c86,R011,preserved_baseline_0.2.0:R011,resource,ENCODE,https://www.encodeproject.org/
resource_landing_page,research/references/resource_12.html,unavailable,True,"[""atlas/releases/0.1.0/input_snapshot/research/references/resource_12.html"",""atlas/releases/0.2.0/input_snapshot/releases/0.1.0/input_snapshot/research/references/resource_12.html"",""atlas/releases/0.2.0/input_snapshot/research/references/resource_12.html"",""atlas/research/references/resource_12.html""]","Source registry records document evidence access, not raw biological file availability.",preserved_baseline_0.2.0,c5d8d124691dc870f34d7ce74e77a4b047fccc8b76249c6489c5e29456f29b9e,R012,preserved_baseline_0.2.0:R012,resource,Human Cell Atlas,https://data.humancellatlas.org/
