data_level,database_path,name,review_scope,rows,sql_schema,table_id
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,adjudications,see_preserved_release_review_status,24,"CREATE TABLE adjudications (adjudication_id TEXT PRIMARY KEY, finding_id TEXT REFERENCES critic_findings, adjudicator_role TEXT, decision TEXT, rationale TEXT, human_adjudication_status TEXT)",ATLAS_TABLE:adjudications
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,agent_runs,see_preserved_release_review_status,7,"CREATE TABLE agent_runs (run_id TEXT PRIMARY KEY, agent_role TEXT, timestamp_start TEXT, timestamp_end TEXT, timezone TEXT, LLM_provider TEXT, LLM_model TEXT, model_snapshot_if_available TEXT, reasoning_mode TEXT, protocol_version TEXT, agent_prompt_version TEXT, instruction_bundle_hash TEXT, source_versions TEXT, retrieval_queries TEXT, retrieval_dates TEXT, source_hashes TEXT, code_commit TEXT, environment_hash TEXT, output_hash TEXT, critic_run_ids TEXT, human_edits TEXT, original_metadata TEXT)",ATLAS_TABLE:agent_runs
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,artifact_hashes,see_preserved_release_review_status,867,"CREATE TABLE artifact_hashes (artifact_id TEXT PRIMARY KEY, path TEXT NOT NULL, sha256 TEXT NOT NULL, hash_scope TEXT)",ATLAS_TABLE:artifact_hashes
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,assay_coverage,see_preserved_release_review_status,30,"CREATE TABLE assay_coverage (original_label TEXT PRIMARY KEY, entity_id TEXT REFERENCES entities, mapping_status TEXT, related_assertion_count INTEGER, reviewed_protein_assertion_count INTEGER, coverage_status TEXT)",ATLAS_TABLE:assay_coverage
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,candidate_assertions,pending,76,"CREATE TABLE candidate_assertions (assertion_id TEXT PRIMARY KEY, subject_id TEXT REFERENCES candidate_entities, predicate TEXT, object_id TEXT REFERENCES candidate_entities, context_id TEXT REFERENCES candidate_contexts, source_id TEXT REFERENCES candidate_sources, cohort_id TEXT REFERENCES candidate_cohorts, measurement TEXT, direction TEXT, qc_status TEXT, lane TEXT, source_locator TEXT, evidence_summary TEXT, limitations TEXT, source_dependencies TEXT, payload TEXT)",ATLAS_TABLE:candidate_assertions
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,candidate_bridges,pending,47,"CREATE TABLE candidate_bridges (bridge_id TEXT PRIMARY KEY, mechanism_id TEXT, from_assertion_id TEXT REFERENCES candidate_assertions, to_assertion_id TEXT REFERENCES candidate_assertions, bridge_type TEXT, bridge_relation TEXT, classification TEXT, review_status TEXT, production_approved INTEGER CHECK(production_approved=0), reasons TEXT, source_dependencies TEXT, payload TEXT)",ATLAS_TABLE:candidate_bridges
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,candidate_cohorts,pending,42,"CREATE TABLE candidate_cohorts (cohort_id TEXT PRIMARY KEY, source_id TEXT, lane TEXT, payload TEXT)",ATLAS_TABLE:candidate_cohorts
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,candidate_contexts,pending,72,"CREATE TABLE candidate_contexts (context_id TEXT PRIMARY KEY, species TEXT, ancestry TEXT, age TEXT, sex TEXT, tissue TEXT, disease TEXT, disease_severity TEXT, treatment_status TEXT, cell_type TEXT, cell_state TEXT, developmental_state TEXT, stimulation TEXT, dose TEXT, duration TEXT, assay TEXT, genomic_background TEXT, time_point TEXT)",ATLAS_TABLE:candidate_contexts
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,candidate_entities,pending,123,"CREATE TABLE candidate_entities (entity_id TEXT PRIMARY KEY, name TEXT, entity_type TEXT, layer TEXT, species TEXT, mapping_status TEXT)",ATLAS_TABLE:candidate_entities
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,candidate_gaps,pending,21,"CREATE TABLE candidate_gaps (gap_id TEXT PRIMARY KEY, lane TEXT, description TEXT, status TEXT, payload TEXT)",ATLAS_TABLE:candidate_gaps
