column,definition,sql_type,structured_values,table
accession,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_accession_mentions
canonical_record_url,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_accession_mentions
line,"Literal catalog/source field; see README, schema conventions and source provenance.",INTEGER,JSON encoded in TEXT where a source field contains a list/object,atlas_accession_mentions
source_file,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_accession_mentions
source_sha256,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_accession_mentions
status,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_accession_mentions
all_paths,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_assets
asset_id,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_assets
bytes,"Literal catalog/source field; see README, schema conventions and source provenance.",INTEGER,JSON encoded in TEXT where a source field contains a list/object,atlas_assets
copy_count,"Literal catalog/source field; see README, schema conventions and source provenance.",INTEGER,JSON encoded in TEXT where a source field contains a list/object,atlas_assets
data_level,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_assets
format,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_assets
preferred_path,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_assets
sha256,"Literal catalog/source field; see README, schema conventions and source provenance.",TEXT,JSON encoded in TEXT where a source field contains a list/object,atlas_assets
