accession,decision,locator,reason,title
GSE342810,adjacent_vaccination_title,snapshots/gds_summaries.json result.200342810,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Isoform-level analysis reveals conserved early changes in transcript usage during human vaccine responses
GSE307315,title_screened_not_selected,snapshots/gds_summaries.json result.200307315,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Clade 2.3.4.4b H5N1 Influenza A Virus Exhibits High Infectivity in Human Respiratory Tract Models
GSE319537,adjacent_vaccination_title,snapshots/gds_summaries.json result.200319537,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Terminally Differentiated Influenza-Specific Effector Memory B Cells Circulate after Live Attenuated Influenza Vaccination
GSE319534,adjacent_vaccination_title,snapshots/gds_summaries.json result.200319534,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Terminally Differentiated Influenza-Specific Effector Memory B Cells Circulate after Live Attenuated Influenza Vaccination [BCR-Seq]
GSE319406,adjacent_vaccination_title,snapshots/gds_summaries.json result.200319406,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Terminally Differentiated Influenza-Specific Effector Memory B Cells Circulate after Live Attenuated Influenza Vaccination [scRNA-Seq]
GSE314199,adjacent_vaccination_title,snapshots/gds_summaries.json result.200314199,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Transcriptional profile of Influenza H3-specific memory B cells following LAIV vaccination [LAIV.bulkRNAseq]
GSE286042,adjacent_vaccination_title,snapshots/gds_summaries.json result.200286042,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Transcriptomic and Proteomic Signatures Following AS03-adjuvanted Influenza A/H7N9 Vaccine
GSE309595,title_screened_not_selected,snapshots/gds_summaries.json result.200309595,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Longitudinal Analysis of Multiple Myeloma: Therapeutic Response and Immune Microenvironment Dynamics in the Context of Tumor Heterogeneity [scRNA-seq]
GSE309593,title_screened_not_selected,snapshots/gds_summaries.json result.200309593,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Longitudinal Analysis of Multiple Myeloma: Therapeutic Response and Immune Microenvironment Dynamics in the Context of Tumor Heterogeneity [CITE-Seq]
GSE325987,title_screened_not_selected,snapshots/gds_summaries.json result.200325987,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Potent type-specific de novo antibodies complement broadly reactive imprinted antibodies in immune responses to SARS-CoV-2 variants
GSE335087,title_screened_not_selected,snapshots/gds_summaries.json result.200335087,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Causal splicing variants revealed by deep-learning integration of single-cell sQTL mapping under influenza infection
GSE305372,title_screened_not_selected,snapshots/gds_summaries.json result.200305372,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Human lungs maintain tissue-resident memory T cells against a broad spectrum of pathogens.
GSE303324,title_screened_not_selected,snapshots/gds_summaries.json result.200303324,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,SARS-CoV-2 Variant Boosters and Breakthrough Infections Drive Functional Differences in the Memory B Cell Repertoire
GSE306043,adjacent_cell_or_ex_vivo_title,snapshots/gds_summaries.json result.200306043,"Cell, tissue, organoid, or in vitro experiment title; not deliberate human participant inoculation.",Cattle and human organoids recapitulate the trans-species transmission of H5N1 2.3.4.4b virus and reveal cross-reactive neutralizing antibodies in humans
GSE328165,adjacent_vaccination_title,snapshots/gds_summaries.json result.200328165,Vaccination-focused title; not evidence of wild-type human influenza challenge.,mRNA-based influenza vaccine expands the breadth of the B cell response in humans
GSE327614,adjacent_cell_or_ex_vivo_title,snapshots/gds_summaries.json result.200327614,"Cell, tissue, organoid, or in vitro experiment title; not deliberate human participant inoculation.",Early cell autonomous and niche-mediated alveolar epithelial response to influenza infection in primary lung organoids
GSE306406,title_screened_not_selected,snapshots/gds_summaries.json result.200306406,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Ex vivo modelling of lung tissue resident antimicrobial responses
GSE309140,adjacent_vaccination_title,snapshots/gds_summaries.json result.200309140,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Enhanced interferon-stimulated gene signatures in B cells following influenza B virus infection compared to influenza vaccination
GSE299820,include_for_source_verification,snapshots/gds_summaries.json result.200299820,Explicit human influenza challenge lead; series metadata inspected.,Innate immune epigenomic landscape following controlled human influenza virus infection
GSE301348,adjacent_cell_or_ex_vivo_title,snapshots/gds_summaries.json result.200301348,"Cell, tissue, organoid, or in vitro experiment title; not deliberate human participant inoculation.",Contemporary highly pathogenic avian influenza (H5N1) viruses retain neurotropism in human cerebral organoids
GSE310641,title_screened_not_selected,snapshots/gds_summaries.json result.200310641,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,FluPRINT Study: Characterisation of the Immune and Transcriptional Response to LAIV
GSE282172,title_screened_not_selected,snapshots/gds_summaries.json result.200282172,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,SLAMF7 Defines Subsets of Human Effector CD8 T Cells.
GSE306525,title_screened_not_selected,snapshots/gds_summaries.json result.200306525,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Dissecting the epigenome dynamics in human immune cells upon viral and chemical exposure by multimodal single-cell profiling
GSE271896,title_screened_not_selected,snapshots/gds_summaries.json result.200271896,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Deep longitudinal immune profiling reveals reprogramming of memory T cells that links to B cell dysregulation with age
GSE230785,title_screened_not_selected,snapshots/gds_summaries.json result.200230785,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,"Transcriptomic Profiling of SARS-CoV-2 Spike Protein S1 Subunit Mediated Changes in Human Vascular -Pericytes, -Endothelial cells (ECs), -Smooth Muscle Cells and Lymphatic ECs: Evidence for Differential Gene Regulation"
GSE271520,adjacent_vaccination_title,snapshots/gds_summaries.json result.200271520,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Obese individuals exhibit distinct temporal gene expression dynamics in response to influenza vaccination
GSE294364,adjacent_vaccination_title,snapshots/gds_summaries.json result.200294364,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Antibiotics driven gut microbiome perturbation alters the immune response to the rabies vaccine
GSE286979,title_screened_not_selected,snapshots/gds_summaries.json result.200286979,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,The Inflammaging Microenvironment Induces Dysfunctional Rewiring of Tfh Cell Differentiation
GSE288251,title_screened_not_selected,snapshots/gds_summaries.json result.200288251,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,"Human long noncoding RNA, VILMIR, is induced by major respiratory viral infections and modulates the host interferon response"
GSE260941,adjacent_vaccination_title,snapshots/gds_summaries.json result.200260941,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Long-lasting B cell convergence to distinct broadly reactive epitopes following vaccination with chimeric influenza virus hemagglutinins II
GSE260836,adjacent_vaccination_title,snapshots/gds_summaries.json result.200260836,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Long-lasting B cell convergence to distinct broadly reactive epitopes following vaccination with chimeric influenza virus hemagglutinins
GSE226633,adjacent_vaccination_title,snapshots/gds_summaries.json result.200226633,Vaccination-focused title; not evidence of wild-type human influenza challenge.,B cell convergence to distinct broadly reactive epitopes following vaccination with chimeric influenza virus hemagglutinins
GSE283403,adjacent_vaccination_title,snapshots/gds_summaries.json result.200283403,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Influenza virus exposure shapes the B cell response to influenza vaccination fifty years later
GSE266907,title_screened_not_selected,snapshots/gds_summaries.json result.200266907,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Optimization of a Micro-scale Air-Liquid-Interface Model of Human Proximal Airway Epithelium for Moderate Throughput Drug Screening for SARS-CoV-2 
GSE261278,adjacent_vaccination_title,snapshots/gds_summaries.json result.200261278,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Maintenance and functional regulation of immune memory to COVID-19 vaccines in tissues
GSE112293,adjacent_vaccination_title,snapshots/gds_summaries.json result.200112293,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Characterization of innate immune responses to AS03 adjuvanted H5N1 vaccine compared to non-adjuvanted H5N1 vaccine.
GSE274606,adjacent_vaccination_title,snapshots/gds_summaries.json result.200274606,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Differential Induction of Interferon-Stimulated Genes by Cell-Based Versus Egg-Based Quadrivalent Influenza Vaccines in Children During the 2018-2019 Season
GSE261277,title_screened_not_selected,snapshots/gds_summaries.json result.200261277,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Inflammation of the Nasal Mucosa is Associated with Susceptibility to Experimental Pneumococcal Challenge in Older Adults
GSE211869,adjacent_vaccination_title,snapshots/gds_summaries.json result.200211869,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Affinity maturation broadens influenza vaccine-induced antibody responses in humans [bcr]
GSE211865,adjacent_vaccination_title,snapshots/gds_summaries.json result.200211865,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Affinity maturation broadens influenza vaccine-induced antibody responses in humans [gex]
GSE263782,adjacent_vaccination_title,snapshots/gds_summaries.json result.200263782,Vaccination-focused title; not evidence of wild-type human influenza challenge.,The response to influenza vaccination is associated with DNA methylation-driven regulation of T cell innate antiviral pathways
GSE261920,title_screened_not_selected,snapshots/gds_summaries.json result.200261920,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,"Human long noncoding RNA, VILMIR, is induced by major respiratory viral infections and modulates the host interferon response"
GSE235604,title_screened_not_selected,snapshots/gds_summaries.json result.200235604,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Single-cell transcriptome and TCR analysis of human Cytomegalovirus (hCMV)-specific T cell memory reveals effector and pre-effectors of CD8+ and CD4+ cytotoxic T cells
GSE233315,title_screened_not_selected,snapshots/gds_summaries.json result.200233315,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Immune landscape of PBMC based on single-cell rna sequancing in End Stage Renal Disease
GSE230494,adjacent_vaccination_title,snapshots/gds_summaries.json result.200230494,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Mucosal immune responses to live attenuated influenza vaccine in young adults
GSE175524,adjacent_vaccination_title,snapshots/gds_summaries.json result.200175524,Vaccination-focused title; not evidence of wild-type human influenza challenge.,High-throughput Single-cell Profiling of B cell Responses Following Inactivated Influenza Vaccination in Young and Older Adults
GSE175523,adjacent_vaccination_title,snapshots/gds_summaries.json result.200175523,Vaccination-focused title; not evidence of wild-type human influenza challenge.,High-throughput Single-cell Profiling of B cell Responses Following Inactivated Influenza Vaccination in Young and Older Adults (single-cell BCR)
GSE175522,adjacent_vaccination_title,snapshots/gds_summaries.json result.200175522,Vaccination-focused title; not evidence of wild-type human influenza challenge.,High-throughput Single-cell Profiling of B cell Responses Following Inactivated Influenza Vaccination in Young and Older Adults (single-cell Gene Expression)
GSE215157,adjacent_vaccination_title,snapshots/gds_summaries.json result.200215157,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Longitudinal Analysis of Influenza Vaccines on DNA methylation Identifies the RIG-I Signaling Pathway
GSE178158,adjacent_vaccination_title,snapshots/gds_summaries.json result.200178158,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Bulk RNA-seq of Human Platelets Before and After Flu Vaccination
GSE223316,adjacent_vaccination_title,snapshots/gds_summaries.json result.200223316,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Transcriptional profiling of immunity to the MF-59 – adjuvanted influenza vaccine in children
GSE206677,title_screened_not_selected,snapshots/gds_summaries.json result.200206677,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Senescent endothelial cells are predisposed to SARS-CoV-2 infection and subsequent endothelial dysfunction
GSE202262,title_screened_not_selected,snapshots/gds_summaries.json result.200202262,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Antigen-specific CD8 T cells against SARS-CoV-2
GSE222888,adjacent_vaccination_title,snapshots/gds_summaries.json result.200222888,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Influenza-specific effector memory B cells predict long-lived antibody responses to vaccination in humans [scRNA-Seq]
GSE222476,adjacent_vaccination_title,snapshots/gds_summaries.json result.200222476,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Influenza-specific effector memory B cells predict long-lived antibody responses to vaccination in humans
GSE222474,adjacent_vaccination_title,snapshots/gds_summaries.json result.200222474,Vaccination-focused title; not evidence of wild-type human influenza challenge.,Influenza-specific effector memory B cells predict long-lived antibody responses to vaccination in humans [Rep-Seq]
GSE203112,title_screened_not_selected,snapshots/gds_summaries.json result.200203112,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Accessible chromatin differences in FCRL5 positive and negative influenza-specific memory B cells
GSE163989,title_screened_not_selected,snapshots/gds_summaries.json result.200163989,No explicit human influenza inoculation cohort in title; further abstract screening may recover additional eligible datasets.,Transcriptome differences in FCRL5 positive and negative Influenza-specific memory B cells
