author_count,caution,measure,observed_count,status,study_ID
880,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,880,match,GSE68310
133,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,133,match,GSE68310
412,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,412,match,GSE194378
75,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,75,match,GSE194378
83,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,83,match,GSE74811
28,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,28,match,GSE74811
286,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,286,match,GSE74813
63,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,63,match,GSE74813
75,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,75,match,GSE74815
26,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,26,match,GSE74815
177,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,177,match,GSE74816
72,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,72,match,GSE74816
417,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,417,match,GSE48023
110,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,110,match,GSE48023
431,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,431,match,GSE48018
116,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,116,match,GSE48018
91,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,91,match,GSE41080
91,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,91,match,GSE41080
120,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,120,match,GSE59743
30,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,30,match,GSE59743
156,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,156,match,GSE59654
39,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,39,match,GSE59654
98,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,98,match,GSE101709
26,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,26,match,GSE101709
72,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,72,match,GSE59635
19,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,19,match,GSE59635
79,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,79,match,GSE101710
20,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,20,match,GSE101710
292,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,292,match,GSE47353
63,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,63,match,GSE47353
213,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,213,match,GSE190001_PRIME
23,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,23,match,GSE190001_PRIME
226,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,226,match,GSE190001_BOOST
23,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,23,match,GSE190001_BOOST
73,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,73,match,SDY311
63,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,63,match,SDY311
89,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,89,match,SDY112
89,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,89,match,SDY112
71,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,71,match,SDY315
71,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,71,match,SDY315
271,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,271,match,GSE207750
271,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,271,match,GSE207750
38,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,38,match,GSE246525
10,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,10,match,GSE246525
161,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,161,match,GSE201533
43,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,43,match,GSE201533
115,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,115,match,GSE190747
30,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,30,match,GSE190747
260,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,260,match,GSE199750
86,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,86,match,GSE199750
185,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,185,match,GSE169159
32,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,32,match,GSE169159
27,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,27,match,GSE29614
9,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,9,match,GSE29614
83,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,83,match,GSE29615
28,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,28,match,GSE29615
80,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,80,match,GSE29617
28,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,28,match,GSE29617
621,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,621,match,GSE48762
34,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,46,difference_requires_interpretation,GSE48762
54,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,54,match,GSE45735
5,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,5,match,GSE45735
48,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,48,match,GSE201642
15,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,15,match,GSE201642
75,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,75,match,GSE250023
18,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,18,match,GSE250023
96,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,96,match,E_MTAB_12993_nose
19,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,19,match,E_MTAB_12993_nose
374,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,374,match,E_MTAB_12993_blood
35,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_subjects,35,match,E_MTAB_12993_blood
93,"Observed IDs/rows describe this table, not deduplicated people across cohorts.",num_observations,93,match,GSE11348
