bytes_listed,candidate_study_IDs,canonical_download_url,content_inspection,data_level,file_id,file_listing_verified,filename_study_label,git_oid,instrument_raw_claim,lfs_metadata,local_snapshot,local_snapshot_sha256,path_in_resource,resource_revision,study_ID,study_linkage_status
19885,[],https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/.gitattributes,listing_and_author_documentation_only,resource_documentation_or_metadata,HF:.gitattributes,True,.gitattributes,5fb8556e82db5352a3ee02d7f7619e5b74e15af1,False,,,,.gitattributes,c68349578b97af04d1102eac5ad9f30f85362c53,,no_single_study_link_established
10411845,[],https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/Flowchart.png,listing_and_author_documentation_only,resource_documentation_or_metadata,HF:Flowchart.png,True,Flowchart.png,0446a0061755ffa323c6eb7ba3b2d9337c59008a,False,"{""oid"":""e336ba9dbc94c48e55a03d60a2ceb6f62f6579c119485e799d93ee1480722782"",""pointerSize"":133,""size"":10411845}",,,Flowchart.png,c68349578b97af04d1102eac5ad9f30f85362c53,,no_single_study_link_established
3387,[],https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/Meta_variable_description.csv,local_metadata_or_antibody_table,resource_documentation_or_metadata,HF:Meta_variable_description.csv,True,Meta_variable_description.csv,4dd6fd6eb07cdfffe853bcf87088f60459f7aa37,False,,data_dictionary/sources/hr_vilage/Meta_variable_description.csv,aa561def597fee0e3ec0c04cd7ab71f470ec83babfcadf145f0a63c3b0c98b17,Meta_variable_description.csv,c68349578b97af04d1102eac5ad9f30f85362c53,,no_single_study_link_established
14103,[],https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/README.md,local_metadata_or_antibody_table,resource_documentation_or_metadata,HF:README.md,True,README.md,2e2682c70efbeee60709a682364a6b5dead1c788,False,,data_dictionary/sources/hr_vilage/README.md,ec16930681a332e7e0512042ff59ff15fe4a6b40b6cad92f6a613dbf2e99c827,README.md,c68349578b97af04d1102eac5ad9f30f85362c53,,no_single_study_link_established
2751,"[""GSE101709""]",https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE101709_antibody.csv,local_metadata_or_antibody_table,reported_antibody_measurements_with_derived_summary_columns,HF:antibody/GSE101709_antibody.csv,True,GSE101709,0aacbf73c70a09f80e3b97fde1b9fa5cb759f2f1,False,,data_dictionary/sources/hr_vilage/antibody/GSE101709_antibody.csv,2072e630a3711e9dc3d9e145b9a86b96500cf307b80e1eb8a4a2e45814318dc2,antibody/GSE101709_antibody.csv,c68349578b97af04d1102eac5ad9f30f85362c53,GSE101709,exact_study_label
2664,"[""GSE101710""]",https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE101710_antibody.csv,local_metadata_or_antibody_table,reported_antibody_measurements_with_derived_summary_columns,HF:antibody/GSE101710_antibody.csv,True,GSE101710,020fd4863d86757a0f0d214fe70c453edd734b02,False,,data_dictionary/sources/hr_vilage/antibody/GSE101710_antibody.csv,6a90dd31b8e3d56d4e80dc3f6d64d1280ee4bffcdd27315e1be489939dfd9033,antibody/GSE101710_antibody.csv,c68349578b97af04d1102eac5ad9f30f85362c53,GSE101710,exact_study_label
2082,"[""GSE169159""]",https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE169159_antibody.csv,local_metadata_or_antibody_table,reported_antibody_measurements_with_derived_summary_columns,HF:antibody/GSE169159_antibody.csv,True,GSE169159,814da3c4db95923195d6c7df98b9315b615ac121,False,,data_dictionary/sources/hr_vilage/antibody/GSE169159_antibody.csv,cdb0ddb3ae0786c989070990fc8762fbe0cfb69374fe87923fa87f68156b0cf6,antibody/GSE169159_antibody.csv,c68349578b97af04d1102eac5ad9f30f85362c53,GSE169159,exact_study_label
28251,"[""GSE190001_BOOST"",""GSE190001_PRIME""]",https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE190001_antibody.csv,local_metadata_or_antibody_table,reported_antibody_measurements_with_derived_summary_columns,HF:antibody/GSE190001_antibody.csv,True,GSE190001,e563a782dce5fb83f284b936fa7b20172c925c57,False,,data_dictionary/sources/hr_vilage/antibody/GSE190001_antibody.csv,31aec26fe17b2cb5944343658be1054181603bcf9033ceab790a11017878585c,antibody/GSE190001_antibody.csv,c68349578b97af04d1102eac5ad9f30f85362c53,,split_cohort_label_requires_mapping
2821,"[""GSE190747""]",https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE190747_antibody.csv,local_metadata_or_antibody_table,reported_antibody_measurements_with_derived_summary_columns,HF:antibody/GSE190747_antibody.csv,True,GSE190747,0ff090a4fd05a6217fa7635abda09aecab3603df,False,,data_dictionary/sources/hr_vilage/antibody/GSE190747_antibody.csv,9703bf76884ea08c6feef6daef0a28127ecd7925c5f661230e7d00165b3d06db,antibody/GSE190747_antibody.csv,c68349578b97af04d1102eac5ad9f30f85362c53,GSE190747,exact_study_label
7659,"[""GSE194378""]",https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/resolve/c68349578b97af04d1102eac5ad9f30f85362c53/antibody/GSE194378_antibody.csv,local_metadata_or_antibody_table,reported_antibody_measurements_with_derived_summary_columns,HF:antibody/GSE194378_antibody.csv,True,GSE194378,5e67d7d9d0af6d4200d327fc80a47c8d9a575b2c,False,,data_dictionary/sources/hr_vilage/antibody/GSE194378_antibody.csv,15d7d4d8b9a896298091dfd83e3dd6adac68eb91e7ddcec8fe2822ea3abe82c6,antibody/GSE194378_antibody.csv,c68349578b97af04d1102eac5ad9f30f85362c53,GSE194378,exact_study_label
