column_position_1based,definition,gene_label,schema_role,source_path,units
1,Source-provided gene/feature label; no independent ontology verification.,A1BG,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
2,Source-provided gene/feature label; no independent ontology verification.,A1BG-AS1,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
3,Source-provided gene/feature label; no independent ontology verification.,A1CF,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
4,Source-provided gene/feature label; no independent ontology verification.,A2M,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
5,Source-provided gene/feature label; no independent ontology verification.,A2M-AS1,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
6,Source-provided gene/feature label; no independent ontology verification.,A2ML1,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
7,Source-provided gene/feature label; no independent ontology verification.,A2ML1-AS1,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
8,Source-provided gene/feature label; no independent ontology verification.,A2ML1-AS2,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
9,Source-provided gene/feature label; no independent ontology verification.,A2MP1,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
10,Source-provided gene/feature label; no independent ontology verification.,A3GALT2,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
11,Source-provided gene/feature label; no independent ontology verification.,A4GALT,author_common_bulk_expression_feature,data_dictionary/sources/hr_vilage/gene_expr_colnames.txt,matrix-specific scale; not a protein or secretion measurement
