antibody_distinct_subjects,antibody_ids_absent_from_metadata,caution,metadata_distinct_subjects,shared_subject_ids,status,study_ID
26,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,26,26,all_antibody_subjects_match_metadata,GSE101709
20,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,20,20,all_antibody_subjects_match_metadata,GSE101710
32,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,32,32,all_antibody_subjects_match_metadata,GSE169159
23,,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,,,metadata_table_not_inspected,GSE190001
30,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,30,30,all_antibody_subjects_match_metadata,GSE190747
73,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,75,73,all_antibody_subjects_match_metadata,GSE194378
99,17,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,86,82,requires_join_review,GSE199750
43,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,43,43,all_antibody_subjects_match_metadata,GSE201533
15,15,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,15,0,requires_join_review,GSE201642
275,4,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,271,271,requires_join_review,GSE207750
40,5,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,39,35,requires_join_review,GSE230494
10,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,10,10,all_antibody_subjects_match_metadata,GSE246525
10,,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,,,metadata_table_not_inspected,GSE246937
17,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,18,17,all_antibody_subjects_match_metadata,GSE250023
9,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,9,9,all_antibody_subjects_match_metadata,GSE29614
28,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,28,28,all_antibody_subjects_match_metadata,GSE29615
28,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,28,28,all_antibody_subjects_match_metadata,GSE29617
89,7,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,91,82,requires_join_review,GSE41080
5,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,5,5,all_antibody_subjects_match_metadata,GSE45735
63,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,63,63,all_antibody_subjects_match_metadata,GSE47353
116,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,116,116,all_antibody_subjects_match_metadata,GSE48018
110,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,110,110,all_antibody_subjects_match_metadata,GSE48023
13,13,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,46,0,requires_join_review,GSE48762
19,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,19,19,all_antibody_subjects_match_metadata,GSE59635
69,30,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,39,39,requires_join_review,GSE59654
30,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,30,30,all_antibody_subjects_match_metadata,GSE59743
133,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,133,133,all_antibody_subjects_match_metadata,GSE68310
28,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,28,28,all_antibody_subjects_match_metadata,GSE74811
63,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,63,63,all_antibody_subjects_match_metadata,GSE74813
26,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,26,26,all_antibody_subjects_match_metadata,GSE74815
72,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,72,72,all_antibody_subjects_match_metadata,GSE74816
91,2,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,89,89,requires_join_review,SDY112
63,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,63,63,all_antibody_subjects_match_metadata,SDY311
73,,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,,,metadata_table_not_inspected,SDY312
90,,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,,,metadata_table_not_inspected,SDY314
69,0,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,71,69,all_antibody_subjects_match_metadata,SDY315
16,,Subject-level agreement does not verify visit/antigen alignment or cross-study independence.,,,metadata_table_not_inspected,challenge_covid19
