antibody,antibody_link,canonical_source_accessions,data_citation,dataset_id,eligibility_reason,influenza_challenge_eligibility,meta_variable_list,metadata_link,num_cells,num_observations,num_observed_genes,num_subjects,"number_of_timepoints median(min, max)",observed_timepoints,participant_count_interpretation,pathogen,platform,platform_detail,raw_data,raw_data_flag_interpretation,resource_revision,source_paper_citation,source_snapshot,source_snapshot_sha256,study_ID,study_type,tissue,transcriptomic_data_link,vaccine
yes,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68310,"[""GSE68310""]","Zhai, Y., Franco, L.M., Belmont, J.W., et al. GEO. https://identifiers.org/geo/GSE68310 (2015)",HR:GSE68310,Prospective natural acute respiratory illness surveillance; baseline before illness does not mean challenge.,adjacent_excluded,geo_accession;ID;study_ID;platform;pathogen;title;timepoint;MFC;responder;Enrollment_year;sex;age;Medications;Duration_of_symptoms,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68310,NA,880,18755,133,"7 (4, 7)","Baseline, 0.0, 2.0, 4.0, 6.0, 21.0",Within-study author count; not independent subjects across studies.,influenza_A_virus; influenza_B_virus; enterovirus; human_coronavirus; human_rhinovirus; respiratory_syncytial_virus,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Zhai Y, Franco LM, Atmar RL, Quarles JM, et al. Host Transcriptional Response to Influenza and Other Acute Respiratory Viral Infections--A Prospective Cohort Study. PLoS Pathog. 2015 Jun;11(6):e1004869. PMID: 26070066.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE68310,mixed exposure,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68310,
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC10481789/ (Supplementary Table 8),"[""GSE194378""]","Sparks, R., Lau, W.W., Liu, C., et al. GEO. https://identifiers.org/geo/GSE194378 (2022)",HR:GSE194378,"Influenza vaccination following prior COVID-19, not influenza inoculation.",adjacent_excluded,geo_accession;ID;study_ID;tissue;platform;title;timepoint;MFC;responder;study_group;vaccine;sex;age;ethnicity;race;symptom_group_previous_covid;side_effect;Duration_of_symptoms;days.since.covid.19.diagnosis;influenza.vaccination.count..previous.10.years.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194378,NA,412,21690,75,"5 (0, 9)"," -7.0, 0.0, 1.0, 7.0, 28.0",Within-study author count; not independent subjects across studies.,influenza,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Sparks R, Lau WW, Liu C, Han KL, et al. Influenza vaccination reveals sex dimorphic imprints of prior mild COVID-19. Nature. 2023 Feb;614(7949):752-761. PMID: 36599369.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE194378,mixed exposure,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194378,Influenza QIV
yes,https://doi.org/10.21430/M3H9N1SFLO,"[""GSE74811""]","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE74811 (2015)",HR:GSE74811,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;Enrollment_year;vaccine,https://doi.org/10.21430/M3H9N1SFLO,NA,83,18319,28,"3 (2, 3)","0.0, 3.0, 7.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL13158; [HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Nakaya HI, Hagan T, Duraisingham SS, Lee EK, et al. Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures. Immunity. 2015 Dec 15;43(6):1186-98. PMID: 26682988.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE74811,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74811,Influenza TIV
yes,https://doi.org/10.21430/M3X9SKF8RQ,"[""GSE74813""]","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE74813 (2015)",HR:GSE74813,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;Enrollment_year;vaccine;sex;age;race,https://doi.org/10.21430/M3X9SKF8RQ,NA,286,18319,63,"5 (1, 5)","0.0, 1.0, 3.0, 7.0, 14.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL13158; [HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Nakaya HI, Hagan T, Duraisingham SS, Lee EK, et al. Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures. Immunity. 2015 Dec 15;43(6):1186-98. PMID: 26682988.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE74813,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74813,Influenza TIV
yes,https://doi.org/10.21430/M3X9SKF8RQ,"[""GSE74815""]","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE74815 (2015)",HR:GSE74815,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;Enrollment_year;vaccine,https://doi.org/10.21430/M3X9SKF8RQ,NA,75,18319,26,"3 (2, 3)","0.0, 3.0, 7.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL13158; [HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Nakaya HI, Hagan T, Duraisingham SS, Lee EK, et al. Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures. Immunity. 2015 Dec 15;43(6):1186-98. PMID: 26682988.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE74815,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74815,Influenza TIV
yes,https://doi.org/10.21430/M3ZU72TO6V,"[""GSE74816""]","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE74816 (2016)",HR:GSE74816,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;tissue;pathogen;title;timepoint;MFC;responder;study_group;Enrollment_year;sex;age,https://doi.org/10.21430/M3ZU72TO6V,NA,177,18319,72,"2 (2, 3)","0.0, 3.0, 7.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL13158; [HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Nakaya HI, Hagan T, Duraisingham SS, Lee EK, et al. Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures. Immunity. 2015 Dec 15;43(6):1186-98. PMID: 26682988.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE74816,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74816,Influenza TIV
yes,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48023,"[""GSE48023""]","Franco, L.M., Shaw, C.A., Belmont, J.W., et al. GEO. https://identifiers.org/geo/GSE48023 (2013)",HR:GSE48023,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48023,NA,417,20514,110,"4 (3, 4)","0.0, 1.0, 3.0, 14.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL10558; Illumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Franco LM, Bucasas KL, Wells JM, Nino D, et al. Integrative genomic analysis of the human immune response to influenza vaccination. Elife. 2013 Jul 16;2:e00299. PMID: 23878721; Bucasas KL, Franco LM, Shaw CA, Bray MS, et al. Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. 2011 Apr 1;203(7):921-9. PMID: 21357945.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE48023,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48023,Influenza TIV
yes,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48018,"[""GSE48018""]","Franco, L.M., Shaw, C.A., Belmont, J.W., et al. GEO. https://identifiers.org/geo/GSE48018 (2013)",HR:GSE48018,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48018,NA,431,18736,116,"4 (1, 4)","0.0, 1.0, 3.0, 14.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL6947; Illumina HumanHT-12 V3.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Franco LM, Bucasas KL, Wells JM, Nino D, et al. Integrative genomic analysis of the human immune response to influenza vaccination. Elife. 2013 Jul 16;2:e00299. PMID: 23878721; Bucasas KL, Franco LM, Shaw CA, Bray MS, et al. Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. 2011 Apr 1;203(7):921-9. PMID: 21357945.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE48018,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48018,Influenza TIV
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC3658270/ (Supplementary data),"[""GSE41080""]","Furman, D. GEO. https://identifiers.org/geo/GSE41080 (2013)",HR:GSE41080,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age;BMI,https://pmc.ncbi.nlm.nih.gov/articles/PMC3658270/ (Supplementary data),NA,91,18761,91,"1 (1, 1)",0,Within-study author count; not independent subjects across studies.,influenza,microarray,GPL6947; Illumina HumanHT-12 V3.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Furman D, Jojic V, Kidd B, Shen-Orr S, et al. Apoptosis and other immune biomarkers predict influenza vaccine responsiveness. Mol Syst Biol. 2013 Apr 16;9:659. PMID: 23591775; Furman D, Hejblum BP, Simon N, Jojic V, et al. Systems analysis of sex differences reveals an immunosuppressive role for testosterone in the response to influenza vaccination. Proc Natl Acad Sci U S A. 2014 Jan 14;111(2):869-74. PMID: 24367114; Furman D, Jojic V, Sharma S, Shen-Orr SS, et al. Cytomegalovirus infection enhances the immune response to influenza. Sci Transl Med. 2015 Apr 1;7(281):281ra43. PMID: 25834109.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE41080,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41080,Influenza TIV
yes,https://doi.org/10.21430/M3U7GDOFIT,"[""GSE59743""]","Shaw, A.C., Mohanty, S., Joshi, S.R., et al. GEO. https://identifiers.org/geo/GSE59743 (2017)",HR:GSE59743,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;responder_original;vaccine;age_group;immport_expsamp_acc,https://doi.org/10.21430/M3U7GDOFIT,NA,120,20402,30,"4 (4, 4)","0.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0, 28.0, 36.0",Within-study author count; not independent subjects across studies.,influenza,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Avey S, Mohanty S, Chawla DG, Meng H, et al. Seasonal Variability and Shared Molecular Signatures of Inactivated Influenza Vaccination in Young and Older Adults. J Immunol. 2020 Mar 15;204(6):1661-1673. PMID: 32060136; Avey S, Mohanty S, Wilson J, Zapata H, Joshi SR, Siconolfi B, Tsang S, Shaw AC, Kleinstein SH. Multiple network-constrained regressions expand insights into influenza vaccination responses. Bioinformatics. 2017 Jul 15;33(14):i208-i216. doi: 10.1093/bioinformatics/btx260. PMID: 28881994; PMCID: PMC5870750.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE59743,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59743,Influenza TIV
