basis,evidence_record,from_id,interpretation,relationship,source_path,source_statement,to_id
HR study_citations transcriptomic_data_link,,HR:GSE68310,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE68310
HR study_citations transcriptomic_data_link,,HR:GSE194378,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE194378
HR study_citations transcriptomic_data_link,,HR:GSE74811,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE74811
HR study_citations transcriptomic_data_link,,HR:GSE74813,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE74813
HR study_citations transcriptomic_data_link,,HR:GSE74815,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE74815
HR study_citations transcriptomic_data_link,,HR:GSE74816,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE74816
HR study_citations transcriptomic_data_link,,HR:GSE48023,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE48023
HR study_citations transcriptomic_data_link,,HR:GSE48018,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE48018
HR study_citations transcriptomic_data_link,,HR:GSE41080,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE41080
HR study_citations transcriptomic_data_link,,HR:GSE59743,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE59743
HR study_citations transcriptomic_data_link,,HR:GSE59654,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE59654
HR study_citations transcriptomic_data_link,,HR:GSE101709,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE101709
HR study_citations transcriptomic_data_link,,HR:GSE59635,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE59635
HR study_citations transcriptomic_data_link,,HR:GSE101710,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE101710
HR study_citations transcriptomic_data_link,,HR:GSE47353,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE47353
HR study_citations transcriptomic_data_link,,HR:GSE190001_PRIME,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE190001
HR study_citations transcriptomic_data_link,,HR:GSE190001_BOOST,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE190001
HR study_citations transcriptomic_data_link,,HR:SDY311,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,SDY311
HR study_citations transcriptomic_data_link,,HR:SDY112,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,SDY112
HR study_citations transcriptomic_data_link,,HR:SDY315,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,SDY315
HR study_citations transcriptomic_data_link,,HR:GSE207750,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE207750
HR study_citations transcriptomic_data_link,,HR:GSE246525,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE246525
HR study_citations transcriptomic_data_link,,HR:GSE201533,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE201533
HR study_citations transcriptomic_data_link,,HR:GSE190747,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE190747
HR study_citations transcriptomic_data_link,,HR:GSE199750,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE199750
HR study_citations transcriptomic_data_link,,HR:GSE169159,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE169159
HR study_citations transcriptomic_data_link,,HR:GSE29614,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE29614
HR study_citations transcriptomic_data_link,,HR:GSE29615,,derived_study_subset_of_source_record,data_dictionary/sources/hr_vilage/study_citations.csv,,GSE29615
