additional_known_accessions,database,final_retrieval_cap,initial_cap,initial_page_size,limitations,metadata_summarized,query,raw_path,retrieval_cap,returned_ids,returned_records,screened_title_count,screening,screening_path,search_id,searched_on,total_hits,translated_query
"[""GSE73072"",""GSE111368""]",NCBI GEO DataSets via Entrez skill,,,10,"[""Query expansion maps inoculation to vaccination, increasing irrelevant vaccine hits."",""All returned titles screened, but not every unselected title underwent full summary/paper review."",""GSE73072 was not recovered by broad query and was added as an explicit known lead; query sensitivity is imperfect.""]",,GSE[ETYP] AND Homo sapiens[Organism] AND influenza AND (challenge OR inoculation OR experimentally),data_dictionary/sources/influenza/snapshots/gds_search_all.json,200,200,,200,,data_dictionary/sources/influenza/geo_screening.json,FLU_GEO_001,2026-09-14,200,"GSE[ETYP] AND ""Homo sapiens""[Organism] AND (""influenza, human""[MeSH Terms] OR influenza[All Fields]) AND (challenge[All Fields] OR (""vaccination""[MeSH Terms] OR inoculation[All Fields]) OR experimentally[All Fields])"
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"site.ncbi.nlm.nih.gov/geo influenza human challenge ""GSE""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_001,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,influenza human challenge study raw data proteomics metabolomics ImmPort dataset,,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_002,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""influenza"" ""human challenge"" ""GSE""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_003,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""influenza"" ""challenge"" ""GSE73072""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_004,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""influenza"" ""challenge"" ""GSE61754""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_005,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""GSE111368""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_006,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""influenza"" ""challenge"" ""single-cell"" ""data availability""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_007,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""influenza"" ""challenge"" ""metabolomics"" ""data availability""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_008,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""influenza"" ""challenge"" ""ImmPort"" ""SDY""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_009,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""influenza"" ""challenge"" ""E-MTAB""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_010,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""Rahil"" ""influenza"" ""data"" ""FlowRepository""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_011,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""Nasopharyngeal Protein Biomarkers"" ""MassIVE""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_012,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""human influenza challenge"" ""metabolomic"" dataset",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_013,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""GSE299820"" ""epigenomic""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_014,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""Innate immune molecular landscape"" ""data""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_015,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""Human influenza virus challenge identifies cellular correlates"" ""data""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_016,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""Nasopharyngeal Protein Biomarkers of Acute Respiratory Virus Infection"" ""data""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_017,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""Innate immune molecular landscape following controlled human influenza virus infection""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_018,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""influenza"" ""challenge"" ""data"" ""ImmPort""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_019,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""influenza"" ""challenge"" ""metabolomics"" ""MetaboLights""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_020,2026-09-14,,
,web search,,,,"[""Not an exhaustive database census; no search-total denominator available.""]",,"""influenza"" ""challenge"" ""ProteomeXchange""",,tool-ranked results; no numerical cap exposed,,,,Primary repository and original paper hits followed. Secondary aggregators used only as discovery leads.,,FLU_WEB_021,2026-09-14,,
