catalog_record_id,evidence_status,retrieved_on,sha256,snapshot_path,source_group,source_id,url,url_role
,inspected_document,2026-09-14,a06475222d88fa97b219980f7e54ed3f2de47791bc6c22f6b38459445f97e713,data_dictionary/sources/hr_vilage_audit/snapshots/paper_v2.html,HR documentation audit,paper_v2,https://arxiv.org/html/2505.14725v2,
,inspected_document,2026-09-14,d50b2f0bec09ee531c3474c7262873776c9ec49d4b5aa2d6805cf8fc4b6513d1,data_dictionary/sources/hr_vilage_audit/snapshots/github_readme.md,HR documentation audit,github_readme,https://github.com/XuejunSun98/HR-VILAGE-3K3M/blob/716c27dccba847875f85be63103e2245acaa3320/README.md,
,inspected_document,2026-09-14,ec16930681a332e7e0512042ff59ff15fe4a6b40b6cad92f6a613dbf2e99c827,data_dictionary/sources/hr_vilage_audit/snapshots/hf_readme.md,HR documentation audit,hf_card,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/blob/c68349578b97af04d1102eac5ad9f30f85362c53/README.md,
,inspected_small_table,2026-09-14,0f97323e1a2e817c593d3e2829c6f55ea4a44f0efe6c52b073a3dc0528aa4e55,data_dictionary/sources/hr_vilage_audit/snapshots/hf__Meta_variable_description.csv,HR documentation audit,hf_variables,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/blob/c68349578b97af04d1102eac5ad9f30f85362c53/Meta_variable_description.csv,
,inspected_small_table,2026-09-14,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,data_dictionary/sources/hr_vilage_audit/snapshots/hf__study_meta.csv,HR documentation audit,hf_studies,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/blob/c68349578b97af04d1102eac5ad9f30f85362c53/study_meta.csv,
,inspected_small_table,2026-09-14,b660876c34c8b59253ba2f960ad8dc8c6cee3ba7b922e9b5c288d0fe9fd089a1,data_dictionary/sources/hr_vilage_audit/snapshots/study_meta.csv,HR documentation audit,gh_studies,https://github.com/XuejunSun98/HR-VILAGE-3K3M/blob/716c27dccba847875f85be63103e2245acaa3320/study_meta.csv,
,inspected_small_table,2026-09-14,778a24884e106d3b3b52256a0360ef469d5df63cb3d65d1fbbb8ce711471c51f,data_dictionary/sources/hr_vilage_audit/snapshots/hf__study_citations.csv,HR documentation audit,hf_citations,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/blob/c68349578b97af04d1102eac5ad9f30f85362c53/study_citations.csv,
,inspected_small_table,2026-09-14,88030ed454fd6fc65b4adb41f7faa4a305e37866494abe6d8481417a0ff1b347,data_dictionary/sources/hr_vilage_audit/snapshots/hf__example_dataset__GSE194378_meta_sample.csv,HR documentation audit,hf_example_meta,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/blob/c68349578b97af04d1102eac5ad9f30f85362c53/example_dataset/GSE194378_meta_sample.csv,
,inspected_small_table,2026-09-14,15d7d4d8b9a896298091dfd83e3dd6adac68eb91e7ddcec8fe2822ea3abe82c6,data_dictionary/sources/hr_vilage_audit/snapshots/hf__example_dataset__GSE194378_antibody_sample.csv,HR documentation audit,hf_example_antibody,https://huggingface.co/datasets/xuejun72/HR-VILAGE-3K3M/blob/c68349578b97af04d1102eac5ad9f30f85362c53/example_dataset/GSE194378_antibody_sample.csv,
,inspected_document,2026-09-14,ebd972a29660ff07b267e71a3425bb1aefe682a0f0d332f901857b24a664f99f,data_dictionary/sources/hr_vilage_audit/snapshots/docs__Affymetrix_microarray_process.qmd,HR documentation audit,Affymetrix_microarray_process,https://github.com/XuejunSun98/HR-VILAGE-3K3M/blob/716c27dccba847875f85be63103e2245acaa3320/docs/Affymetrix_microarray_process.qmd,
