study_ID,source_paper_citation,data_citation,transcriptomic_data_link,metadata_link,antibody_link
GSE68310,"Zhai Y, Franco LM, Atmar RL, Quarles JM, et al. Host Transcriptional Response to Influenza and Other Acute Respiratory Viral Infections--A Prospective Cohort Study. PLoS Pathog. 2015 Jun;11(6):e1004869. PMID: 26070066.","Zhai, Y., Franco, L.M., Belmont, J.W., et al. GEO. https://identifiers.org/geo/GSE68310 (2015)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68310,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68310,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68310
GSE194378,"Sparks R, Lau WW, Liu C, Han KL, et al. Influenza vaccination reveals sex dimorphic imprints of prior mild COVID-19. Nature. 2023 Feb;614(7949):752-761. PMID: 36599369.","Sparks, R., Lau, W.W., Liu, C., et al. GEO. https://identifiers.org/geo/GSE194378 (2022)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194378,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE194378,https://pmc.ncbi.nlm.nih.gov/articles/PMC10481789/ (Supplementary Table 8)
GSE74811,"Nakaya HI, Hagan T, Duraisingham SS, Lee EK, et al. Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures. Immunity. 2015 Dec 15;43(6):1186-98. PMID: 26682988.","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE74811 (2015)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74811,https://doi.org/10.21430/M3H9N1SFLO,https://doi.org/10.21430/M3H9N1SFLO
GSE74813,"Nakaya HI, Hagan T, Duraisingham SS, Lee EK, et al. Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures. Immunity. 2015 Dec 15;43(6):1186-98. PMID: 26682988.","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE74813 (2015)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74813,https://doi.org/10.21430/M3X9SKF8RQ,https://doi.org/10.21430/M3X9SKF8RQ
GSE74815,"Nakaya HI, Hagan T, Duraisingham SS, Lee EK, et al. Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures. Immunity. 2015 Dec 15;43(6):1186-98. PMID: 26682988.","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE74815 (2015)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74815,https://doi.org/10.21430/M3X9SKF8RQ,https://doi.org/10.21430/M3X9SKF8RQ
GSE74816,"Nakaya HI, Hagan T, Duraisingham SS, Lee EK, et al. Systems Analysis of Immunity to Influenza Vaccination across Multiple Years and in Diverse Populations Reveals Shared Molecular Signatures. Immunity. 2015 Dec 15;43(6):1186-98. PMID: 26682988.","Nakaya, H.I., Pulendran, B. GEO. https://identifiers.org/geo/GSE74816 (2016)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74816,https://doi.org/10.21430/M3ZU72TO6V,https://doi.org/10.21430/M3ZU72TO6V
GSE48023,"Franco LM, Bucasas KL, Wells JM, Nino D, et al. Integrative genomic analysis of the human immune response to influenza vaccination. Elife. 2013 Jul 16;2:e00299. PMID: 23878721; Bucasas KL, Franco LM, Shaw CA, Bray MS, et al. Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. 2011 Apr 1;203(7):921-9. PMID: 21357945.","Franco, L.M., Shaw, C.A., Belmont, J.W., et al. GEO. https://identifiers.org/geo/GSE48023 (2013)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48023,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48023,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48023
GSE48018,"Franco LM, Bucasas KL, Wells JM, Nino D, et al. Integrative genomic analysis of the human immune response to influenza vaccination. Elife. 2013 Jul 16;2:e00299. PMID: 23878721; Bucasas KL, Franco LM, Shaw CA, Bray MS, et al. Early patterns of gene expression correlate with the humoral immune response to influenza vaccination in humans. J Infect Dis. 2011 Apr 1;203(7):921-9. PMID: 21357945.","Franco, L.M., Shaw, C.A., Belmont, J.W., et al. GEO. https://identifiers.org/geo/GSE48018 (2013)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48018
GSE41080,"Furman D, Jojic V, Kidd B, Shen-Orr S, et al. Apoptosis and other immune biomarkers predict influenza vaccine responsiveness. Mol Syst Biol. 2013 Apr 16;9:659. PMID: 23591775; Furman D, Hejblum BP, Simon N, Jojic V, et al. Systems analysis of sex differences reveals an immunosuppressive role for testosterone in the response to influenza vaccination. Proc Natl Acad Sci U S A. 2014 Jan 14;111(2):869-74. PMID: 24367114; Furman D, Jojic V, Sharma S, Shen-Orr SS, et al. Cytomegalovirus infection enhances the immune response to influenza. Sci Transl Med. 2015 Apr 1;7(281):281ra43. PMID: 25834109.","Furman, D. GEO. https://identifiers.org/geo/GSE41080 (2013)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41080,https://pmc.ncbi.nlm.nih.gov/articles/PMC3658270/ (Supplementary data),https://pmc.ncbi.nlm.nih.gov/articles/PMC3658270/ (Supplementary data)
GSE59743,"Avey S, Mohanty S, Chawla DG, Meng H, et al. Seasonal Variability and Shared Molecular Signatures of Inactivated Influenza Vaccination in Young and Older Adults. J Immunol. 2020 Mar 15;204(6):1661-1673. PMID: 32060136; Avey S, Mohanty S, Wilson J, Zapata H, Joshi SR, Siconolfi B, Tsang S, Shaw AC, Kleinstein SH. Multiple network-constrained regressions expand insights into influenza vaccination responses. Bioinformatics. 2017 Jul 15;33(14):i208-i216. doi: 10.1093/bioinformatics/btx260. PMID: 28881994; PMCID: PMC5870750.","Shaw, A.C., Mohanty, S., Joshi, S.R., et al. GEO. https://identifiers.org/geo/GSE59743 (2017)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59743,https://doi.org/10.21430/M3U7GDOFIT,https://doi.org/10.21430/M3U7GDOFIT
GSE59654,"Thakar J, Mohanty S, West AP, Joshi SR, et al. Aging-dependent alterations in gene expression and a mitochondrial signature of responsiveness to human influenza vaccination. Aging (Albany NY). 2015 Jan;7(1):38-52. PMID: 25596819.","Shaw, A.C., Mohanty, S., Joshi, S.R., et al. GEO. https://identifiers.org/geo/GSE59654 (2015)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59654,https://doi.org/10.21430/M3GWQRC8DT,https://doi.org/10.21430/M3GWQRC8DT
