study_ID,platform,platform_detail,study_type,pathogen,vaccine,tissue,raw_data,antibody,num_subjects,num_observations,num_cells,num_observed_genes,"number_of_timepoints median(min, max)",observed_timepoints,meta_variable_list
GSE68310,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,mixed exposure,influenza_A_virus; influenza_B_virus; enterovirus; human_coronavirus; human_rhinovirus; respiratory_syncytial_virus,,whole blood,yes,yes,133,880,NA,18755,"7 (4, 7)","Baseline, 0.0, 2.0, 4.0, 6.0, 21.0",geo_accession;ID;study_ID;platform;pathogen;title;timepoint;MFC;responder;Enrollment_year;sex;age;Medications;Duration_of_symptoms
GSE194378,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),mixed exposure,influenza,Influenza QIV,whole blood,yes,yes,75,412,NA,21690,"5 (0, 9)"," -7.0, 0.0, 1.0, 7.0, 28.0",geo_accession;ID;study_ID;tissue;platform;title;timepoint;MFC;responder;study_group;vaccine;sex;age;ethnicity;race;symptom_group_previous_covid;side_effect;Duration_of_symptoms;days.since.covid.19.diagnosis;influenza.vaccination.count..previous.10.years.
GSE74811,microarray,GPL13158; [HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,vaccine,influenza,Influenza TIV,whole blood,yes,yes,28,83,NA,18319,"3 (2, 3)","0.0, 3.0, 7.0",geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;Enrollment_year;vaccine
GSE74813,microarray,GPL13158; [HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,vaccine,influenza,Influenza TIV,whole blood,yes,yes,63,286,NA,18319,"5 (1, 5)","0.0, 1.0, 3.0, 7.0, 14.0",geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;Enrollment_year;vaccine;sex;age;race
GSE74815,microarray,GPL13158; [HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,vaccine,influenza,Influenza TIV,whole blood,yes,yes,26,75,NA,18319,"3 (2, 3)","0.0, 3.0, 7.0",geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;Enrollment_year;vaccine
GSE74816,microarray,GPL13158; [HT_HG-U133_Plus_PM] Affymetrix HT HG-U133+ PM Array Plate,vaccine,influenza,Influenza TIV,whole blood,yes,yes,72,177,NA,18319,"2 (2, 3)","0.0, 3.0, 7.0",geo_accession;ID;tissue;pathogen;title;timepoint;MFC;responder;study_group;Enrollment_year;sex;age
GSE48023,microarray,GPL10558; Illumina HumanHT-12 V4.0 expression beadchip,vaccine,influenza,Influenza TIV,whole blood,yes,yes,110,417,NA,20514,"4 (3, 4)","0.0, 1.0, 3.0, 14.0",geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age
GSE48018,microarray,GPL6947; Illumina HumanHT-12 V3.0 expression beadchip,vaccine,influenza,Influenza TIV,whole blood,yes,yes,116,431,NA,18736,"4 (1, 4)","0.0, 1.0, 3.0, 14.0",geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age
GSE41080,microarray,GPL6947; Illumina HumanHT-12 V3.0 expression beadchip,vaccine,influenza,Influenza TIV,whole blood,yes,yes,91,91,NA,18761,"1 (1, 1)",0,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age;BMI
GSE59743,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,vaccine,influenza,Influenza TIV,PBMC,yes,yes,30,120,NA,20402,"4 (4, 4)","0.0, 2.0, 3.0, 4.0, 7.0, 8.0, 9.0, 28.0, 36.0",geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;responder_original;vaccine;age_group;immport_expsamp_acc
