study_ID,platform,platform_detail,study_type,pathogen,vaccine,tissue,raw_data,antibody,num_subjects,num_observations,num_cells,meta_variable_list
E_MTAB_12993_nose,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),inoculation,SARS-CoV-2,,nasal swab,no,no,19,96,,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;study_group;sex;age
E_MTAB_12993_blood,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),inoculation,SARS-CoV-2,,whole blood,no,no,35,374,,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;study_group;sex;age
GSE11348,microarray,GPL570; [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,inoculation,HRV,,nasal swab,yes,no,31,93,,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;study_group;sex;age;sham
GSE61754,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,inoculation,H3N2,,whole blood,yes,no,22,88,,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;symptom_group_original;study_group;seroconversion;viral_shedding
GSE90732,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,inoculation,H1N1,,whole blood,yes,no,21,108,,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;Total_DSS;study_group;sex;age
GSE155237,RNA-seq,GPL16791; Illumina HiSeq 2500 (Homo sapiens),inoculation,RSV,,nasal swab,yes,no,40,78,,geo_accession;ID;study_ID;tissue;platform;pathogen;batch;title;timepoint;infection_group;symptom_group
GSE73072_H1N1_DEE4,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",inoculation,H1N1,,whole blood,yes,no,19,386,,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group
GSE73072_H1N1_DEE3,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",inoculation,H1N1,,whole blood,yes,no,24,477,,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group
GSE73072_H3N2_DEE2,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",inoculation,H3N2,,whole blood,yes,no,17,355,,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group
GSE73072_H3N2_DEE5,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",inoculation,H3N2,,whole blood,yes,no,21,482,,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group
