assertion_id,subject_id,predicate,object_id,context_id,measurement,direction,evidence_tier,status,qualitative_confidence,contradiction_group,candidate_path
C-A01,ENT_1e2accf01ed4751c,increases_transcript_abundance,ENT_d44f897924c1c649,CTX_cb7b3069ec44579a,RNA_abundance,increase,perturbational,reviewed,moderate,unavailable,unavailable
C-A02,ENT_4b238b68f6a36eb1,increases_transcript_abundance,ENT_85a6d880a40f326f,CTX_b782d5a6330f6966,RNA_abundance,increase,perturbational,reviewed,moderate,unavailable,unavailable
C-A03,ENT_bfc8af10c594f005,increases_transcript_abundance,ENT_01b80a2dd31fefd8,CTX_1891c32fe94ea351,RNA_abundance,increase,perturbational,reviewed,moderate,unavailable,unavailable
C-A04,ENT_bfc8af10c594f005,increases_transcript_abundance,ENT_ad7a9dd7822061c1,CTX_1891c32fe94ea351,RNA_abundance,increase,perturbational,reviewed,moderate,unavailable,unavailable
C-A05,ENT_bfc8af10c594f005,increases_transcript_abundance,ENT_48a526b55aa1c253,CTX_1891c32fe94ea351,RNA_abundance,increase,perturbational,reviewed,moderate,unavailable,unavailable
C-A06,ENT_455d79d0bd6edd5f,decreases_secreted_protein,ENT_aac20750d95ddc6f,CTX_9f06eda20f5542b6,secreted_protein,decrease,P2,reviewed,moderate,C-CG01,unavailable
C-A07,ENT_455d79d0bd6edd5f,decreases_secreted_protein,ENT_8f1940684a7a953a,CTX_9f06eda20f5542b6,secreted_protein,decrease,P2,reviewed,moderate,C-CG01,unavailable
C-A08,ENT_e13517a21490eac4,secretes,ENT_b9593c04ef3c4ada,CTX_3c31409e36d4dc06,secreted_protein,increase,P1,reviewed,moderate,unavailable,unavailable
C-A09,ENT_b9593c04ef3c4ada,decreases_secreted_protein,ENT_63481bb4a04e1735,CTX_40392127839de0b7,secreted_protein,decrease,P2,reviewed,moderate,unavailable,unavailable
C-A10,ENT_bfc8af10c594f005,decreases_secreted_protein,ENT_b9593c04ef3c4ada,CTX_b4e83cbed949d2c2,secreted_protein,decrease,P2,reviewed,moderate,unavailable,unavailable
C-A11,ENT_b9593c04ef3c4ada,decreases_transcript_abundance,ENT_af9e80b37704b4e4,CTX_18d2ba6c1ac37ada,RNA_abundance,decrease,P2,reviewed,moderate,C-CG06_IL10_autoregulation_time,unavailable
C-A12,ENT_b0e6f455e91bb71c,does_not_reduce_protein_production,ENT_63481bb4a04e1735,CTX_249772f7fca08ab4,protein_abundance,null,perturbational,needs_full_text,low,C-CG02,unavailable
C-A13,ENT_e7d9d3b7a2fb6017,secretes,ENT_c80734d70dcceaa3,CTX_d796ed621a19482c,secreted_protein,increase,P1,reviewed,moderate,unavailable,unavailable
C-A14,ENT_ae1235eb5c454b5a,does_not_increase_surface_protein,ENT_c80734d70dcceaa3,CTX_f3e507c8140ad4af,protein_abundance,null,perturbational,reviewed,moderate,C-CG03,unavailable
C-A15,ENT_26323584816f8eed,increases_surface_protein,ENT_c80734d70dcceaa3,CTX_9d934e5df1446240,protein_abundance,increase,perturbational,reviewed,moderate,C-CG03,unavailable
C-A16,ENT_802c565982ce6871,increases,ENT_85673a3194ae7657,CTX_1ec0509ad81b415c,cellular_phenotype,increase,P4,reviewed,moderate,unavailable,C-S06 engineered DC surface IL15/IL15RA -> autologous NK cytotoxicity; proximal signaling unmeasured
C-A17,ENT_802c565982ce6871,increases_intracellular_protein,ENT_2a4303e030327ad6,CTX_a6d731c93600752c,protein_abundance,increase,perturbational,reviewed,moderate,unavailable,unavailable
C-A18,ENT_9afc33de7d5c782e,decreases_protein_production,ENT_2a4303e030327ad6,CTX_6fc05347a830d933,protein_abundance,decrease,perturbational,needs_full_text,low,unavailable,unavailable
C-A19,ENT_0b2883c54ef93018,decreases,ENT_23734a3336aa1319,CTX_c5793002d6e18cb5,cellular_phenotype,decrease,perturbational,needs_full_text,low,unavailable,unavailable
C-A20,ENT_4c182f0101f9b526,lacks_detectable_surface_protein,ENT_c80734d70dcceaa3,CTX_5857d138d0d86131,protein_abundance,null,observational,needs_full_text,low,C-CG03,unavailable
C-A21,ENT_0f3634a190e187f9,increases_secreted_protein,ENT_2a4303e030327ad6,CTX_1b5c3d1313ec7ad8,secreted_protein,increase,P2,reviewed,moderate,C-CG04,unavailable
C-A22,ENT_0f3634a190e187f9,does_not_increase_secreted_protein,ENT_2a4303e030327ad6,CTX_a220d0b83932c1f7,secreted_protein,null,P2,reviewed,moderate,C-CG04,unavailable
C-A23,ENT_0f3634a190e187f9,does_not_induce,ENT_e09152e8c4ddcab6,CTX_6af433622b38141d,protein_activity,null,P3,reviewed,moderate,C-CG05,unavailable
C-A24,ENT_0f3634a190e187f9,induces,ENT_e09152e8c4ddcab6,CTX_e4ef32a8a7bccc61,protein_activity,increase,P3,reviewed,moderate,C-CG05,unavailable
C-A25,ENT_b9593c04ef3c4ada,has_no_or_minimal_inhibitory_effect_on_transcript_abundance,ENT_af9e80b37704b4e4,CTX_da77ab5e2087543b,RNA_abundance,null,P2,reviewed,low,C-CG06_IL10_autoregulation_time,unavailable
G-A001,ENT_792b9003ca77a35c,has_context_dependent_eQTL,ENT_122580d5af3d26e4,CTX_7d613a90b6edd110,RNA_abundance,mixed,G2,reviewed,moderate,G-CX-HIP1-context,unavailable
G-A002,ENT_1529d1ab67eb3792,is_associated_with_increased_RNA,ENT_f8695e78998ab710,CTX_82e7e21289fdd9eb,RNA_abundance,increase,G2,reviewed,moderate,unavailable,unavailable
G-A003,ENT_8f0d851284637a44,has_no_detected_eQTL_after_IFNG,ENT_8340e2eb12afa7e7,CTX_75630eed91819500,RNA_abundance,null,G2,reviewed,moderate,G-CX-GDPD5-stimulation,unavailable
G-A004,ENT_a179b17c94f6069d,has_late_LPS_eQTL,ENT_cb86356b563fe9a9,CTX_fbceb088983b9d2c,RNA_abundance,association,G2,reviewed,moderate,G-CX-TNF-LPS-time,unavailable
G-A005,ENT_6ce40d6dbdfb3126,reduces_stimulation_dependent_reporter_activity,ENT_86e2db569151aca0,CTX_d1fce06434a21107,protein_activity,decrease,G4,reviewed,moderate,unavailable,unavailable
G-A006,ENT_739c3ea3751d38a4,is_associated_with_reduced_RNA,ENT_4253513bcf8b7966,CTX_8d9c6d575f19e6c3,RNA_abundance,decrease,G2,reviewed,moderate,unavailable,unavailable
G-A007,ENT_36b6e058ede9db91,reduces_early_surface_abundance,ENT_7f51448c358ce873,CTX_f0266b3c6e6ce874,protein_abundance,decrease,G4,reviewed,moderate,G-CX-IL2RA-time-species,unavailable
G-A008,ENT_1e0119e5c30f74eb,increases_exon6_skipping_relative_to_T,ENT_cbb9130d1c6b4bf6,CTX_9cb8e83add8a2819,splicing,increase,G4,reviewed,moderate,G-CX-DDX39B-IL7R-context,unavailable
G-A009,ENT_2fdfad319350f8bc,reduces_5UTR_reporter_translation_readout,ENT_871fc15775c83f06,CTX_4f993ef7c92b8077,protein_activity,decrease,G4,reviewed,moderate,unavailable,unavailable
G-A010,ENT_8e71685f79d67bb6,has_no_detected_RNA_association,ENT_ef4c894e824dfedb,CTX_3134732bc8052fc1,RNA_abundance,null,G1,reviewed,moderate,G-CX-DDX39B-layer,unavailable
G-A011,ENT_ef4c894e824dfedb,depletion_increases_exon6_skipping,ENT_cbb9130d1c6b4bf6,CTX_f084ceabfafbb9bf,splicing,increase,perturbational,reviewed,moderate,G-CX-DDX39B-IL7R-context,unavailable
G-A012,ENT_ef4c894e824dfedb,depletion_changes_supernatant_IL7R,ENT_c88d1e5e3d2d4db0,CTX_bde6c84fe6d47fe3,secreted_protein,association,perturbational,reviewed,moderate,G-CX-DDX39B-protein-shRNA,unavailable
G-A013,ENT_933152b32102e8e6,is_associated_with_lower_RNA,ENT_b7f2228fe3fc668e,CTX_49ec2e87da99aa79,RNA_abundance,decrease,G2,reviewed,moderate,G-CX-GAB2-cell-type,unavailable
G-A014,ENT_933152b32102e8e6,is_associated_with_higher_RNA,ENT_b7f2228fe3fc668e,CTX_9ab3419a34684c47,RNA_abundance,increase,G2,reviewed,moderate,G-CX-GAB2-cell-type,unavailable
G-A015,ENT_d18931cd0cba5b5d,is_associated_with_more_surface_positive_cells,ENT_65e629cd13524598,CTX_c3f02f7f07d62123,protein_abundance,increase,G1,reviewed,moderate,unavailable,unavailable
G-A016,ENT_7a6675876c542fd6,colocalizes_with_splicing_QTL,ENT_2c6be02c33c9dd31,CTX_4c9462b72a11696e,splicing,association,G3,reviewed,moderate,unavailable,unavailable
G-A017,ENT_09b01b901444c61a,is_associated_with_isoform_switch,ENT_0a833e7f0956d6e8,CTX_f06f874d93de1468,splicing,association,G2,reviewed,moderate,unavailable,unavailable
G-A018,ENT_7e40a64d355b15d6,has_TCM_specific_eQTL,ENT_2cd3b4cc8c682086,CTX_6509627fa9e77b28,RNA_abundance,association,G2,reviewed,moderate,unavailable,unavailable
G-A019,ENT_cb0c5bd63c605a68,has_TCM_specific_eQTL,ENT_78d02fac5056ea39,CTX_b2eeeacb0fb9b2e1,RNA_abundance,association,G2,reviewed,moderate,unavailable,unavailable
G-A020,ENT_a2943607c9485d43,is_associated_with_disease_susceptibility,ENT_b752306aa7e3264f,CTX_66d5aceebe972f65,association,association,G1,needs_full_text,low,unavailable,unavailable
G-A021,ENT_ce955b5431fb0f6e,has_IFNB_specific_eQTL,ENT_3f9b0b6a9cc7f93e,CTX_6514df7e7dbb898b,RNA_abundance,association,G2,reviewed,moderate,G-CX-IRF7-stimulation,unavailable
G-A022,ENT_bfc35c75c6e3ce2a,has_influenza_specific_trans_eQTL,ENT_97ae9323f2ac4612,CTX_00524ee757c3594a,RNA_abundance,association,G2,reviewed,moderate,unavailable,unavailable
G-A023,ENT_20ba1de6e5d8ef11,is_associated_with_lower_surface_abundance,ENT_50077e6edf47f2d5,CTX_f02abebab5d48215,protein_abundance,decrease,G2,reviewed,moderate,G-CX-IL7R-layer-context,unavailable
G-A024,ENT_1e0119e5c30f74eb,is_associated_with_more_supernatant_protein,ENT_c88d1e5e3d2d4db0,CTX_38e93c4e948c305e,secreted_protein,increase,G2,reviewed,moderate,G-CX-IL7R-layer-context,unavailable
