record_id,evidence_id,variant_entity_id,trait_entity_id,grade,effect_size,effect_unit,genome_build,causal_gene_status
GA_G-A001,EV_G-A001,ENT_792b9003ca77a35c,ENT_122580d5af3d26e4,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A002,EV_G-A002,ENT_1529d1ab67eb3792,ENT_f8695e78998ab710,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A003,EV_G-A003,ENT_8f0d851284637a44,ENT_8340e2eb12afa7e7,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A005,EV_G-A005,ENT_6ce40d6dbdfb3126,ENT_86e2db569151aca0,G4,unavailable,unavailable,unavailable,limited_to_asserted_measured_effect
GA_G-A006,EV_G-A006,ENT_739c3ea3751d38a4,ENT_4253513bcf8b7966,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A007,EV_G-A007,ENT_36b6e058ede9db91,ENT_7f51448c358ce873,G4,approximately 50% of wild-type surface expression,relative surface IL2RA,unavailable,limited_to_asserted_measured_effect
GA_G-A008,EV_G-A008,ENT_1e0119e5c30f74eb,ENT_cbb9130d1c6b4bf6,G4,unavailable,unavailable,unavailable,limited_to_asserted_measured_effect
GA_G-A009,EV_G-A009,ENT_2fdfad319350f8bc,ENT_871fc15775c83f06,G4,approximately 20–30% reduction,normalized reporter activity per RNA,unavailable,limited_to_asserted_measured_effect
GA_G-A010,EV_G-A010,ENT_8e71685f79d67bb6,ENT_ef4c894e824dfedb,G1,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A013,EV_G-A013,ENT_933152b32102e8e6,ENT_b7f2228fe3fc668e,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A014,EV_G-A014,ENT_933152b32102e8e6,ENT_b7f2228fe3fc668e,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A015,EV_G-A015,ENT_d18931cd0cba5b5d,ENT_65e629cd13524598,G1,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A016,EV_G-A016,ENT_7a6675876c542fd6,ENT_2c6be02c33c9dd31,G3,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A017,EV_G-A017,ENT_09b01b901444c61a,ENT_0a833e7f0956d6e8,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A020,EV_G-A020,ENT_a2943607c9485d43,ENT_b752306aa7e3264f,G1,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A021,EV_G-A021,ENT_ce955b5431fb0f6e,ENT_3f9b0b6a9cc7f93e,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A022,EV_G-A022,ENT_bfc35c75c6e3ce2a,ENT_97ae9323f2ac4612,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A023,EV_G-A023,ENT_20ba1de6e5d8ef11,ENT_50077e6edf47f2d5,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_G-A024,EV_G-A024,ENT_1e0119e5c30f74eb,ENT_c88d1e5e3d2d4db0,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
GA_P_A14,EV_P_A14,ENT_4ef3e5bae2c77085,ENT_d00fa27e685171e9,G2,-2.23,SD of normalized signal per effect allele,unavailable,not_established_by_association_alone
GA_P_A17,EV_P_A17,ENT_95fba28cf68386f8,ENT_e3e64decadf38f83,G2,unavailable,unavailable,unavailable,not_established_by_association_alone
