change_id,prior_id,previous_version,new_version,previous_parameters,new_parameters,reason
CHANGE_PRIOR_C-A01_context_specific,PRIOR_C-A01_context_specific,unavailable,0.1.0,unavailable,"{""context_id"":""CTX_cb7b3069ec44579a""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A01_direction,PRIOR_C-A01_direction,unavailable,0.1.0,unavailable,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A01_effect_class,PRIOR_C-A01_effect_class,unavailable,0.1.0,unavailable,"{""observed_direction"":""increase""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A01_existence,PRIOR_C-A01_existence,unavailable,0.1.0,unavailable,"{""alpha"":2.0,""beta"":1.0}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A01_expression,PRIOR_C-A01_expression,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A01_genetic_modifier,PRIOR_C-A01_genetic_modifier,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A01_human_transportability,PRIOR_C-A01_human_transportability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A01_magnitude,PRIOR_C-A01_magnitude,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A01_protein_availability,PRIOR_C-A01_protein_availability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A01_temporal,PRIOR_C-A01_temporal,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A02_context_specific,PRIOR_C-A02_context_specific,unavailable,0.1.0,unavailable,"{""context_id"":""CTX_b782d5a6330f6966""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A02_direction,PRIOR_C-A02_direction,unavailable,0.1.0,unavailable,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A02_effect_class,PRIOR_C-A02_effect_class,unavailable,0.1.0,unavailable,"{""observed_direction"":""increase""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A02_existence,PRIOR_C-A02_existence,unavailable,0.1.0,unavailable,"{""alpha"":2.0,""beta"":1.0}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A02_expression,PRIOR_C-A02_expression,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A02_genetic_modifier,PRIOR_C-A02_genetic_modifier,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A02_human_transportability,PRIOR_C-A02_human_transportability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A02_magnitude,PRIOR_C-A02_magnitude,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A02_protein_availability,PRIOR_C-A02_protein_availability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A02_temporal,PRIOR_C-A02_temporal,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A03_context_specific,PRIOR_C-A03_context_specific,unavailable,0.1.0,unavailable,"{""context_id"":""CTX_1891c32fe94ea351""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A03_direction,PRIOR_C-A03_direction,unavailable,0.1.0,unavailable,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A03_effect_class,PRIOR_C-A03_effect_class,unavailable,0.1.0,unavailable,"{""observed_direction"":""increase""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A03_existence,PRIOR_C-A03_existence,unavailable,0.1.0,unavailable,"{""alpha"":2.0,""beta"":1.0}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A03_expression,PRIOR_C-A03_expression,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A03_genetic_modifier,PRIOR_C-A03_genetic_modifier,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A03_human_transportability,PRIOR_C-A03_human_transportability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A03_magnitude,PRIOR_C-A03_magnitude,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A03_protein_availability,PRIOR_C-A03_protein_availability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A03_temporal,PRIOR_C-A03_temporal,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A04_context_specific,PRIOR_C-A04_context_specific,unavailable,0.1.0,unavailable,"{""context_id"":""CTX_1891c32fe94ea351""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A04_direction,PRIOR_C-A04_direction,unavailable,0.1.0,unavailable,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A04_effect_class,PRIOR_C-A04_effect_class,unavailable,0.1.0,unavailable,"{""observed_direction"":""increase""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A04_existence,PRIOR_C-A04_existence,unavailable,0.1.0,unavailable,"{""alpha"":2.0,""beta"":1.0}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A04_expression,PRIOR_C-A04_expression,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A04_genetic_modifier,PRIOR_C-A04_genetic_modifier,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A04_human_transportability,PRIOR_C-A04_human_transportability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A04_magnitude,PRIOR_C-A04_magnitude,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A04_protein_availability,PRIOR_C-A04_protein_availability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A04_temporal,PRIOR_C-A04_temporal,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A05_context_specific,PRIOR_C-A05_context_specific,unavailable,0.1.0,unavailable,"{""context_id"":""CTX_1891c32fe94ea351""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A05_direction,PRIOR_C-A05_direction,unavailable,0.1.0,unavailable,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A05_effect_class,PRIOR_C-A05_effect_class,unavailable,0.1.0,unavailable,"{""observed_direction"":""increase""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A05_existence,PRIOR_C-A05_existence,unavailable,0.1.0,unavailable,"{""alpha"":2.0,""beta"":1.0}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A05_expression,PRIOR_C-A05_expression,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A05_genetic_modifier,PRIOR_C-A05_genetic_modifier,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A05_human_transportability,PRIOR_C-A05_human_transportability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A05_magnitude,PRIOR_C-A05_magnitude,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A05_protein_availability,PRIOR_C-A05_protein_availability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A05_temporal,PRIOR_C-A05_temporal,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A06_context_specific,PRIOR_C-A06_context_specific,unavailable,0.1.0,unavailable,"{""context_id"":""CTX_9f06eda20f5542b6""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A06_direction,PRIOR_C-A06_direction,unavailable,0.1.0,unavailable,"{""alpha"":[1.0,2.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A06_effect_class,PRIOR_C-A06_effect_class,unavailable,0.1.0,unavailable,"{""observed_direction"":""decrease""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A06_existence,PRIOR_C-A06_existence,unavailable,0.1.0,unavailable,"{""alpha"":2.0,""beta"":1.0}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A06_expression,PRIOR_C-A06_expression,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A06_genetic_modifier,PRIOR_C-A06_genetic_modifier,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A06_human_transportability,PRIOR_C-A06_human_transportability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A06_magnitude,PRIOR_C-A06_magnitude,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A06_protein_availability,PRIOR_C-A06_protein_availability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A06_temporal,PRIOR_C-A06_temporal,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A07_context_specific,PRIOR_C-A07_context_specific,unavailable,0.1.0,unavailable,"{""context_id"":""CTX_9f06eda20f5542b6""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A07_direction,PRIOR_C-A07_direction,unavailable,0.1.0,unavailable,"{""alpha"":[1.0,2.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A07_effect_class,PRIOR_C-A07_effect_class,unavailable,0.1.0,unavailable,"{""observed_direction"":""decrease""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A07_existence,PRIOR_C-A07_existence,unavailable,0.1.0,unavailable,"{""alpha"":2.0,""beta"":1.0}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A07_expression,PRIOR_C-A07_expression,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A07_genetic_modifier,PRIOR_C-A07_genetic_modifier,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A07_human_transportability,PRIOR_C-A07_human_transportability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A07_magnitude,PRIOR_C-A07_magnitude,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A07_protein_availability,PRIOR_C-A07_protein_availability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A07_temporal,PRIOR_C-A07_temporal,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A08_context_specific,PRIOR_C-A08_context_specific,unavailable,0.1.0,unavailable,"{""context_id"":""CTX_3c31409e36d4dc06""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A08_direction,PRIOR_C-A08_direction,unavailable,0.1.0,unavailable,"{""alpha"":[1.5,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A08_effect_class,PRIOR_C-A08_effect_class,unavailable,0.1.0,unavailable,"{""observed_direction"":""increase""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A08_existence,PRIOR_C-A08_existence,unavailable,0.1.0,unavailable,"{""alpha"":1.5,""beta"":1.0}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A08_expression,PRIOR_C-A08_expression,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A08_genetic_modifier,PRIOR_C-A08_genetic_modifier,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A08_human_transportability,PRIOR_C-A08_human_transportability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A08_magnitude,PRIOR_C-A08_magnitude,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A08_protein_availability,PRIOR_C-A08_protein_availability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A08_temporal,PRIOR_C-A08_temporal,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A09_context_specific,PRIOR_C-A09_context_specific,unavailable,0.1.0,unavailable,"{""context_id"":""CTX_40392127839de0b7""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A09_direction,PRIOR_C-A09_direction,unavailable,0.1.0,unavailable,"{""alpha"":[1.0,2.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A09_effect_class,PRIOR_C-A09_effect_class,unavailable,0.1.0,unavailable,"{""observed_direction"":""decrease""}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A09_existence,PRIOR_C-A09_existence,unavailable,0.1.0,unavailable,"{""alpha"":2.0,""beta"":1.0}",Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A09_expression,PRIOR_C-A09_expression,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A09_genetic_modifier,PRIOR_C-A09_genetic_modifier,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A09_human_transportability,PRIOR_C-A09_human_transportability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A09_magnitude,PRIOR_C-A09_magnitude,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
CHANGE_PRIOR_C-A09_protein_availability,PRIOR_C-A09_protein_availability,unavailable,0.1.0,unavailable,{},Greenfield initial evidence-derived parameter record; no inherited statistical prior.
