record_id,evidence_id,target_entity_id,measurement,platform,biological_matrix,reagent,isoform,limit_of_detection,normalization,peptide_uniqueness,localization,cross_reactivity
PROT_C-A06,EV_C-A06,ENT_aac20750d95ddc6f,secreted_protein,supernatant ELISA,lung,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Transformed epithelial cells; not primary immune cells or human donors.
PROT_C-A07,EV_C-A07,ENT_8f1940684a7a953a,secreted_protein,supernatant ELISA,lung,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Transformed epithelial cells; not primary immune cells or human donors.
PROT_C-A08,EV_C-A08,ENT_b9593c04ef3c4ada,secreted_protein,cytokine-specific supernatant ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Donor count unavailable; OCR checked against abstract; exact numeric effects not transcribed.
PROT_C-A09,EV_C-A09,ENT_63481bb4a04e1735,secreted_protein,cytokine-specific supernatant ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Donor count unavailable; OCR checked against abstract; exact numeric effects not transcribed.
PROT_C-A10,EV_C-A10,ENT_b9593c04ef3c4ada,secreted_protein,cytokine-specific supernatant ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Donor count unavailable; OCR checked against abstract; exact numeric effects not transcribed.
PROT_C-A12,EV_C-A12,ENT_63481bb4a04e1735,protein_abundance,unavailable,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Abstract only; adenoviral transduction efficiency and dose unresolved.
PROT_C-A13,EV_C-A13,ENT_c80734d70dcceaa3,secreted_protein,supernatant IL15 ELISA; eBioscience 88-7158-88,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Engineered human cells; total unique donors and natural exposure equivalence unavailable.
PROT_C-A14,EV_C-A14,ENT_c80734d70dcceaa3,protein_abundance,surface flow cytometry; anti-IL15-PE,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Engineered human cells; total unique donors and natural exposure equivalence unavailable.
PROT_C-A15,EV_C-A15,ENT_c80734d70dcceaa3,protein_abundance,surface flow cytometry; anti-IL15-PE,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Engineered human cells; total unique donors and natural exposure equivalence unavailable.
PROT_C-A17,EV_C-A17,ENT_2a4303e030327ad6,protein_abundance,intracellular IFNG flow cytometry with GolgiPlug,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Engineered human cells; total unique donors and natural exposure equivalence unavailable.
PROT_C-A18,EV_C-A18,ENT_2a4303e030327ad6,protein_abundance,unavailable,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Abstract plus figure search excerpts; protein compartment unavailable. Do not infer extracellular secretion or intracellular localization until full methods are verified. Withhold from mechanistic paths; requires full-text review.
PROT_C-A20,EV_C-A20,ENT_c80734d70dcceaa3,protein_abundance,surface staining; total-protein Western blot comparison,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Abstract plus figure search excerpts; requires full-text review.
PROT_C-A21,EV_C-A21,ENT_2a4303e030327ad6,secreted_protein,supernatant IFNG ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,Expanded clones from 2 patients; not resting T cells or all IL12RB1 deficiency.
PROT_C-A22,EV_C-A22,ENT_2a4303e030327ad6,secreted_protein,supernatant IFNG ELISA,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,extracellular,"Expanded clones from 2 patients; not resting T cells or all IL12RB1 deficiency. Study defined a response as >50% increase; null means no response by this criterion, not exact zero effect."
PROT_C-A23,EV_C-A23,ENT_e09152e8c4ddcab6,protein_activity,EMSA with STAT4 supershift,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Natural receptor deficiency; linked background differences; PHA blasts differ from T-cell clone secretion assay.
PROT_C-A24,EV_C-A24,ENT_e09152e8c4ddcab6,protein_activity,EMSA with STAT4 supershift,peripheral blood,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Natural receptor deficiency; linked background differences; PHA blasts differ from T-cell clone secretion assay.
