context_id,species,ancestry,age,sex,tissue,disease,disease_severity,treatment_status,cell_type,cell_state,developmental_state,stimulation,dose,duration,assay,genomic_background,time_point
CTX_00524ee757c3594a,Homo sapiens,"295 Caucasians, 122 African-Americans, 117 East Asians (original study labels)",unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,monocyte-derived dendritic cell,unavailable,unavailable,influenza infection,unavailable,10 h infection time used in study response design,NanoString expression/differential-expression QTL mapping,unavailable,unavailable
CTX_0972aa9f934bb892,Homo sapiens,unavailable,unavailable,unavailable,bone marrow,healthy,unavailable,unavailable,T lymphocyte,unavailable,unavailable,IL7,unavailable,unavailable,CyTOF phospho-antibody readout,unavailable,unavailable
CTX_1891c32fe94ea351,Homo sapiens,unavailable,34–75 years,6 male; 6 female donors,peripheral blood,healthy,unavailable,in-vitro cytokine exposure,B cell (naive and intermediate pooled),unavailable,unavailable,IL4,unavailable,24 hours,Parse GigaLab scRNA-seq; donor-level pseudobulk consensus,unavailable,24 hours
CTX_18d2ba6c1ac37ada,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,elutriated monocyte,LPS activated,unavailable,LPS,LPS 1 µg/mL; IL10 100 U/mL,24 hours,Northern blot; RT-PCR followed by Southern blot confirmation,unavailable,24 hours
CTX_1b5c3d1313ec7ad8,Homo sapiens,unavailable,P1:27 years; P3:4 years,female,peripheral blood,IL12RB1 deficiency,unavailable,unavailable,expanded mycobacterium-specific CD4 Th1 T-cell clone,mitogen activated,unavailable,anti-CD2 plus anti-CD28 with or without IL12,IL12 5 U/mL or 2.5 ng/mL,72 hours,supernatant IFNG ELISA,biallelic IL12RB1 loss-of-function; P1/P3,72 hours
CTX_1d43a1281f8690bd,Homo sapiens,unavailable,unavailable,unavailable,blood-derived culture,unavailable,unavailable,unavailable,umbilical-vein endothelial cell; neutrophil,unavailable,unavailable,platelet microvesicle transfer,unavailable,4 h endothelial exposure; 30 min adhesion,111In-labeled neutrophil adhesion,unavailable,unavailable
CTX_1eb909bfb38bec10,Homo sapiens,unavailable,unavailable,unavailable,bone marrow,healthy,unavailable,unavailable,monocyte,unavailable,unavailable,LPS,unavailable,unavailable,CyTOF phospho-antibody readout,unavailable,unavailable
CTX_1ec0509ad81b415c,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,autologous NK cell with engineered DC,resting NK cells before coculture,unavailable,mRNA electroporation,10 µg IL15 mRNA with or without 10 µg IL15RA mRNA,44-hour priming then 4-hour killing assay,flow cytometric Daudi-cell killing,unavailable,48 hours
CTX_249772f7fca08ab4,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,monocyte,unavailable,unavailable,LPS; adenoviral STAT3 overexpression,unavailable,unavailable,unavailable,unavailable,unavailable
CTX_3134732bc8052fc1,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,relapsing-remitting multiple sclerosis and healthy controls,unavailable,unavailable,PBMC,unavailable,unavailable,unavailable,unavailable,unavailable,"RT-qPCR, genotype-stratified PBMC samples",unavailable,unavailable
CTX_333007ffb4149300,Homo sapiens,European (inherited only from explicitly reused GCO01 cohort),unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD14+ monocyte,unavailable,unavailable,LPS,20 ng/mL,24 h,supernatant ELISA with candidate genotype interaction analysis,unavailable,unavailable
CTX_38e93c4e948c305e,Homo sapiens,European (inherited only from explicitly reused GCO01 cohort),unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,CD14+ monocyte,unavailable,unavailable,LPS,20 ng/mL,24 h,"supernatant sandwich ELISA; CD127 polyclonal antibodies, Fc-chimera standard",unavailable,24 h
CTX_3c31409e36d4dc06,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,elutriated monocyte,LPS activated,unavailable,LPS,LPS 1 µg/mL,24 hours,cytokine-specific supernatant ELISA,unavailable,24 hours
CTX_40392127839de0b7,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,elutriated monocyte,LPS activated,unavailable,LPS,LPS 1 µg/mL; IL10 100 U/mL,24 hours,cytokine-specific supernatant ELISA,unavailable,24 hours
CTX_49ec2e87da99aa79,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,B cell,ex vivo,unavailable,unavailable,unavailable,unavailable,purified-cell RNA-seq; cis-eQTL mapping,unavailable,unavailable
CTX_4c9462b72a11696e,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,monocyte and neutrophil,baseline purified cells,unavailable,unavailable,unavailable,unavailable,RNA-seq sQTL mapping and disease-QTL colocalization,unavailable,unavailable
CTX_4cb9108b6921df35,Homo sapiens,unavailable,unavailable,unavailable,blood-derived culture,unavailable,unavailable,unavailable,umbilical-vein endothelial cell; neutrophil,unavailable,unavailable,TNF ± receptor antagonist,TNF 100 U/ml,4 h endothelial exposure,neutrophil adhesion,unavailable,unavailable
CTX_4f993ef7c92b8077,Homo sapiens,unavailable,unavailable,unavailable,cell culture,unavailable,unavailable,unavailable,HeLa,unavailable,unavailable,unavailable,unavailable,unavailable,dual luciferase activity divided by reporter RNA quantified by RT-qPCR,unavailable,unavailable
CTX_50bea541b6d024a5,Homo sapiens,East Asian,mean 57.3 years; SD11.7 (whole study),53.7% female (whole study),plasma,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Olink Explore 3072 and SomaScan v4.1,rs76863441; effect allele unavailable,unavailable
CTX_5857d138d0d86131,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,unavailable,unavailable,unavailable,immature monocyte-derived DC,immature,unavailable,unavailable,unavailable,unavailable,surface staining; total-protein Western blot comparison,unavailable,unavailable
CTX_64a063ce3c126d9d,Homo sapiens,Central/South Asian,unavailable,unavailable,plasma,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,Olink Explore 3072; inverse-rank-normalized NPX,rs202092481; effect allele nucleotide unavailable,unavailable
CTX_6509627fa9e77b28,Homo sapiens,British ancestry (author wording),unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,central-memory CD4+ T cell,unavailable,unavailable,CD3/CD28 activation study,1:2 Dynabead:cell ratio,"study spans resting control, 16 h, 40 h and 5 d; exact VAMP8 subcluster time unavailable",single-cell RNA-seq aggregated per donor/cluster; tensorQTL,unavailable,unavailable
CTX_6514df7e7dbb898b,Homo sapiens,Caucasian (author label; Figure 6A n=184),unavailable,unavailable,peripheral blood,healthy,unavailable,unavailable,monocyte-derived dendritic cell,unavailable,unavailable,IFNB versus resting,unavailable,unavailable,NanoString 415-gene panel; genotype association,unavailable,unavailable
CTX_66d5aceebe972f65,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,multiple sclerosis and comparison participants,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,family-based and case-control association,unavailable,unavailable
CTX_6af433622b38141d,Homo sapiens,unavailable,unavailable,unavailable,peripheral blood,IL12RB1 deficiency,unavailable,unavailable,PHA-activated T-cell blast,day3 after PHA stimulation,unavailable,IL12,2.5 ng/mL IL12,20 minutes,EMSA with STAT4 supershift,biallelic IL12RB1 loss-of-function,20 minutes
