prior_id,assertion_id,parameter_family,distribution,parameters,estimate,estimate_without_journal,independent_groups,calibration_status,availability,rationale
PRIOR_C-A01_context_specific,C-A01,context_specific,categorical_annotation,"{""context_id"":""CTX_cb7b3069ec44579a""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A01_direction,C-A01,direction,Dirichlet,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A01_effect_class,C-A01,effect_class,categorical_annotation,"{""observed_direction"":""increase""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A01_existence,C-A01,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A01_expression,C-A01,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A01_genetic_modifier,C-A01,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A01_human_transportability,C-A01,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A01_magnitude,C-A01,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A01_protein_availability,C-A01,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A01_temporal,C-A01,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A02_context_specific,C-A02,context_specific,categorical_annotation,"{""context_id"":""CTX_b782d5a6330f6966""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A02_direction,C-A02,direction,Dirichlet,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A02_effect_class,C-A02,effect_class,categorical_annotation,"{""observed_direction"":""increase""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A02_existence,C-A02,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A02_expression,C-A02,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A02_genetic_modifier,C-A02,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A02_human_transportability,C-A02,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A02_magnitude,C-A02,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A02_protein_availability,C-A02,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A02_temporal,C-A02,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A03_context_specific,C-A03,context_specific,categorical_annotation,"{""context_id"":""CTX_1891c32fe94ea351""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A03_direction,C-A03,direction,Dirichlet,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
PRIOR_C-A03_effect_class,C-A03,effect_class,categorical_annotation,"{""observed_direction"":""increase""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A03_existence,C-A03,existence,Beta,"{""alpha"":2.0,""beta"":1.0}",0.6666666666666666,0.6666666666666666,1,uncalibrated,available,"Tier/access/confidence weights, biological cohort cap; not calibrated probability of truth."
PRIOR_C-A03_expression,C-A03,expression,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A03_genetic_modifier,C-A03,genetic_modifier,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A03_human_transportability,C-A03,human_transportability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A03_magnitude,C-A03,magnitude,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A03_protein_availability,C-A03,protein_availability,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A03_temporal,C-A03,temporal,unavailable,{},,,0,uncalibrated,unavailable,Quantitative parameterization requires compatible effect/uncertainty data or validated calibration; unavailable in this release.
PRIOR_C-A04_context_specific,C-A04,context_specific,categorical_annotation,"{""context_id"":""CTX_1891c32fe94ea351""}",,,1,uncalibrated,available,"Observed annotation only, no numeric distribution inferred."
PRIOR_C-A04_direction,C-A04,direction,Dirichlet,"{""alpha"":[2.0,1.0,1.0],""categories"":[""increase"",""decrease"",""other""]}",,,1,uncalibrated,available,Direction uncertainty is separate from existence and from effect magnitude.
