screening_id,source_id,decision,reason,stage,reviewer_role
SCREEN_C-S01,C-S01,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,cytokine_extractor
SCREEN_C-S02,C-S02,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections_via_web_tool,cytokine_extractor
SCREEN_C-S03,C-S03,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections_via_web_tool,cytokine_extractor
SCREEN_C-S04,C-S04,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_OCR,cytokine_extractor
SCREEN_C-S05,C-S05,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,abstract_metadata,cytokine_extractor
SCREEN_C-S06,C-S06,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections_via_web_tool,cytokine_extractor
SCREEN_C-S07,C-S07,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,abstract_plus_search_excerpts,cytokine_extractor
SCREEN_C-S08,C-S08,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,cytokine_extractor
SCREEN_C-S09,C-S09,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,cytokine_extractor
SCREEN_G01,G01,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G02,G02,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G03,G03,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G04,G04,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G05,G05,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G06,G06,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,abstract_and_metadata,genomic_extractor
SCREEN_G07,G07,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G08,G08,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,abstract_and_metadata,genomic_extractor
SCREEN_G09,G09,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_G10,G10,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,genomic_extractor
SCREEN_P_S01,P_S01,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,abstract_and_supplementary_captions,proteomic_extractor
SCREEN_P_S02,P_S02,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,proteomic_extractor
SCREEN_P_S03,P_S03,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,abstract_and_supplementary_captions,proteomic_extractor
SCREEN_P_S04,P_S04,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,proteomic_extractor
SCREEN_P_S05,P_S05,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections,proteomic_extractor
SCREEN_P_S06,P_S06,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections,proteomic_extractor
SCREEN_P_S07,P_S07,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text_sections,proteomic_extractor
SCREEN_P_S08,P_S08,included_in_bounded_corpus,Purposive anchor/primary evidence selected for pilot; not exhaustive screening,full_text,proteomic_extractor
