Entry	Entry Name	Reviewed	Gene Names (primary)	Gene Names	Protein names	Organism (ID)	Keyword ID	Gene Ontology IDs
A0A384N611	A0A384N611_HUMAN	unreviewed			Protein Wnt	9606	KW-0217; KW-1015; KW-0272; KW-0325; KW-0449; KW-0964; KW-0732; KW-0879	GO:0003138; GO:0003139; GO:0003281; GO:0003283; GO:0005109; GO:0005125; GO:0007223; GO:0008595; GO:0009986; GO:0010976; GO:0019904; GO:0021891; GO:0031012; GO:0032729; GO:0032731; GO:0032755; GO:0032757; GO:0032760; GO:0035022; GO:0036517; GO:0036518; GO:0043122; GO:0045893; GO:0046330; GO:0048022; GO:0051885; GO:0051964; GO:0071219; GO:0090090; GO:0097325; GO:0098685; GO:0098794; GO:0098978; GO:0099170; GO:0150012; GO:1902379; GO:1904934; GO:1904948; GO:2000052; GO:2001235
A8K571	A8K571_HUMAN	unreviewed	BMP7	BMP7 hCG_40100	Bone morphogenetic protein 7 (Osteogenic protein 1)	9606	KW-0891; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0339; KW-0892; KW-0964; KW-0732	GO:0001501; GO:0001654; GO:0001657; GO:0003272; GO:0003344; GO:0008083; GO:0008201; GO:0008285; GO:0010718; GO:0021502; GO:0030509; GO:0030902; GO:0031012; GO:0031982; GO:0032355; GO:0033280; GO:0043434; GO:0045665; GO:0045893; GO:0048738; GO:0048812; GO:0060037; GO:0060391; GO:0060411; GO:0060710; GO:0061384; GO:0070700; GO:0072133; GO:0072134; GO:0072136; GO:1905069; GO:1905312; GO:2000026
C1K3N5	C1K3N5_HUMAN	unreviewed	TNF	TNF	Tumor necrosis factor (TNF-a) (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) [Cleaved into: Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	9606	KW-1003; KW-0202; KW-1015; KW-0449; KW-0472; KW-0519; KW-0597; KW-0964; KW-0735; KW-0812; KW-1133	GO:0002700; GO:0005125; GO:0005164; GO:0005576; GO:0005886; GO:0010573; GO:0031349; GO:0033209; GO:0043123; GO:0045087; GO:0050678; GO:0050793; GO:0050804; GO:0051046; GO:0051239; GO:0072659; GO:0097527; GO:1903829
Q53XC5	Q53XC5_HUMAN	unreviewed	BMP4	BMP4 hCG_20967	Bone morphogenetic protein 4	9606	KW-0891; KW-0165; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0339; KW-0892; KW-0964; KW-0732	GO:0001649; GO:0001938; GO:0001958; GO:0002062; GO:0002573; GO:0003129; GO:0003148; GO:0003149; GO:0003180; GO:0003184; GO:0003197; GO:0005125; GO:0005576; GO:0008083; GO:0008201; GO:0010467; GO:0010628; GO:0010718; GO:0021537; GO:0022408; GO:0030501; GO:0030513; GO:0035990; GO:0035993; GO:0039706; GO:0043065; GO:0045603; GO:0048662; GO:0048745; GO:0048863; GO:0055007; GO:0060391; GO:0060426; GO:0060441; GO:0060976; GO:0061036; GO:0061047; GO:0061626; GO:0070700; GO:0071773; GO:0072104; GO:0072197; GO:0090191; GO:1900745; GO:1901331; GO:1902895; GO:1905312; GO:2000725; GO:2001237
Q53ZZ1	Q53ZZ1_HUMAN	unreviewed	TNFSF6	TNFSF6 FASLG TNLG1A hCG_37643	Tumor necrosis factor ligand superfamily member 6 (CD95 ligand) (Fas antigen ligand)	9606	KW-0053; KW-1003; KW-0202; KW-0968; KW-1015; KW-0325; KW-0458; KW-0472; KW-0539; KW-0678; KW-0964; KW-0735; KW-0804; KW-0805; KW-0812; KW-1133; KW-0832	GO:0005123; GO:0005164; GO:0005576; GO:0005634; GO:0005886; GO:0005901; GO:0006925; GO:0008284; GO:0008625; GO:0009897; GO:0030644; GO:0032496; GO:0043202; GO:0043525; GO:0045742; GO:0048388; GO:0048471; GO:0060205; GO:0070848; GO:0071346
Q5STB3	Q5STB3_HUMAN	unreviewed	TNF	TNF TNLG1F hCG_43716	Tumor necrosis factor (TNF-a) (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) [Cleaved into: Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	9606	KW-1003; KW-0202; KW-1015; KW-0449; KW-0472; KW-0519; KW-0597; KW-0964; KW-0735; KW-0812; KW-1133	GO:0001666; GO:0001774; GO:0001891; GO:0001937; GO:0001975; GO:0002020; GO:0002037; GO:0002281; GO:0002639; GO:0003009; GO:0003085; GO:0005125; GO:0005164; GO:0005576; GO:0007259; GO:0007623; GO:0009410; GO:0009750; GO:0009897; GO:0010459; GO:0010573; GO:0014823; GO:0019722; GO:0031622; GO:0031642; GO:0031663; GO:0031667; GO:0032724; GO:0032741; GO:0033209; GO:0034116; GO:0034138; GO:0035900; GO:0036005; GO:0042311; GO:0043025; GO:0043066; GO:0043123; GO:0043525; GO:0045121; GO:0045471; GO:0045599; GO:0045668; GO:0045760; GO:0045840; GO:0045930; GO:0045944; GO:0046325; GO:0046677; GO:0050806; GO:0050807; GO:0050966; GO:0051222; GO:0051798; GO:0051897; GO:0055037; GO:0071300; GO:0071346; GO:0072577; GO:0090324; GO:0090594; GO:0097237; GO:0097421; GO:0097527; GO:0120190; GO:0140072; GO:0140460; GO:1900222; GO:1901224; GO:1902004; GO:1902065; GO:1902565; GO:1903078; GO:1904638; GO:1904646; GO:1904707; GO:1904880; GO:1905235; GO:1905242; GO:1990268; GO:2000347; GO:2000573; GO:2001238
Q6FGW4	Q6FGW4_HUMAN	unreviewed	IL10	IL10 hCG_22208	Interleukin family protein	9606	KW-0202; KW-1015; KW-0325; KW-0964; KW-0732	GO:0001938; GO:0005125; GO:0005141; GO:0005576; GO:0006955; GO:0009410; GO:0014823; GO:0014854; GO:0032496; GO:0032692; GO:0032695; GO:0032701; GO:0032715; GO:0032717; GO:0032720; GO:0032868; GO:0034115; GO:0034465; GO:0043032; GO:0045019; GO:0045787; GO:0045944; GO:0050807; GO:0051384; GO:0071392; GO:0071650; GO:0097421; GO:1903034; GO:1903377; GO:1903672; GO:1904706; GO:2000352
A0A140T922	A0A140T922_HUMAN	unreviewed	TNF	TNF	Tumor necrosis factor (TNF-a) (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) [Cleaved into: Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	9606	KW-1003; KW-0202; KW-1015; KW-0449; KW-0472; KW-0519; KW-0597; KW-1267; KW-1185; KW-0964; KW-0735; KW-0812; KW-1133	GO:0002700; GO:0005125; GO:0005164; GO:0005576; GO:0005886; GO:0010573; GO:0031349; GO:0033209; GO:0043123; GO:0045087; GO:0050678; GO:0050793; GO:0050804; GO:0051046; GO:0051239; GO:0097527; GO:1903829
A0A2U3TZU2	A0A2U3TZU2_HUMAN	unreviewed	GPI	GPI pgi	Glucose-6-phosphate isomerase (EC 5.3.1.9)	9606	KW-0007; KW-0202; KW-0963; KW-0312; KW-0324; KW-0413; KW-0597; KW-1267; KW-1185; KW-0964; KW-0832	GO:0004347; GO:0005576; GO:0005737; GO:0006094; GO:0006096; GO:0047938; GO:0051156; GO:0097367
A0A977WMN2	A0A977WMN2_HUMAN	unreviewed	TNF	TNF	Tumor necrosis factor (TNF-a) (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) [Cleaved into: Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	9606	KW-1003; KW-0202; KW-1015; KW-0449; KW-0472; KW-0519; KW-0597; KW-0964; KW-0735; KW-0812; KW-1133	GO:0002700; GO:0005125; GO:0005164; GO:0005576; GO:0005886; GO:0010573; GO:0031349; GO:0033209; GO:0043123; GO:0045087; GO:0050678; GO:0050793; GO:0050804; GO:0051046; GO:0051239; GO:0097527; GO:1903829
B5BUQ6	B5BUQ6_HUMAN	unreviewed	TNF	TNF	Tumor necrosis factor (TNF-a) (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) [Cleaved into: Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	9606	KW-1003; KW-0202; KW-1015; KW-0449; KW-0472; KW-0519; KW-0597; KW-0964; KW-0735; KW-0812; KW-1133	GO:0002700; GO:0005125; GO:0005164; GO:0005576; GO:0005886; GO:0010573; GO:0031349; GO:0033209; GO:0043123; GO:0045087; GO:0050678; GO:0050793; GO:0050804; GO:0051046; GO:0051239; GO:0097527; GO:1903829
C1L3E0	C1L3E0_HUMAN	unreviewed	CD40LG	CD40LG	CD40 ligand (CD40-L) (Tumor necrosis factor ligand superfamily member 5)	9606	KW-1003; KW-0202; KW-1015; KW-0325; KW-0472; KW-0964; KW-0735; KW-0812; KW-1133	GO:0002682; GO:0005164; GO:0005174; GO:0005576; GO:0005886; GO:0006954; GO:0006955; GO:0007154; GO:0009986; GO:0010468; GO:0023052; GO:0030168; GO:0042100
C8C061	C8C061_HUMAN	unreviewed	BMP2	BMP2 hCG_39524	Bone morphogenetic protein 2	9606	KW-0891; KW-0165; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0339; KW-0892; KW-0964; KW-0732	GO:0001649; GO:0002573; GO:0003007; GO:0003129; GO:0005125; GO:0005576; GO:0008083; GO:0021537; GO:0022408; GO:0030501; GO:0030509; GO:0039706; GO:0043065; GO:0045597; GO:0048662; GO:0060391; GO:0060426; GO:0060537; GO:0061036; GO:0070700; GO:1900745; GO:2000725
I4AY87	I4AY87_HUMAN	unreviewed			Macrophage migration inhibitory factor (EC 5.3.2.1) (EC 5.3.3.12) (L-dopachrome isomerase) (L-dopachrome tautomerase) (Phenylpyruvate tautomerase)	9606	KW-0202; KW-0963; KW-0391; KW-0395; KW-0399; KW-0413; KW-0964	GO:0002020; GO:0002906; GO:0004167; GO:0005125; GO:0005576; GO:0005829; GO:0031666; GO:0032308; GO:0033033; GO:0043518; GO:0045089; GO:0048146; GO:0050178; GO:0061081; GO:0070374; GO:0090238; GO:2000343
Q13169	Q13169_HUMAN	unreviewed	IL2	IL2	Interleukin-2 (IL-2)	9606	KW-1064; KW-0202; KW-1015; KW-0325; KW-0339; KW-0391; KW-0964; KW-0732	GO:0005125; GO:0005134; GO:0005576; GO:0006955; GO:0007267; GO:0008083; GO:0008284; GO:0019209; GO:0030101; GO:0030217; GO:0030307; GO:0042102; GO:0043066; GO:0045621
Q3L8U2	Q3L8U2_HUMAN	unreviewed	TNFSF5	TNFSF5	CD40 ligand (CD40-L) (Tumor necrosis factor ligand superfamily member 5)	9606	KW-1003; KW-0202; KW-1015; KW-0325; KW-0472; KW-0964; KW-0735; KW-0812; KW-1133	GO:0002682; GO:0005164; GO:0005174; GO:0005576; GO:0005886; GO:0006954; GO:0006955; GO:0007154; GO:0009986; GO:0010468; GO:0023052; GO:0030168; GO:0042100
A0A0A6YY99	A0A0A6YY99_HUMAN	unreviewed	TNFSF12-TNFSF13	TNFSF12-TNFSF13	Tumor necrosis factor ligand superfamily member 13 (A proliferation-inducing ligand)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0391; KW-1267; KW-1185; KW-0964	GO:0005164; GO:0005576; GO:0006955; GO:0007154; GO:0008284; GO:0016020; GO:0023052; GO:0048298
A0A0C4DGX3	A0A0C4DGX3_HUMAN	unreviewed	EDA	EDA	Ectodysplasin-A	9606	KW-1003; KW-0165; KW-0176; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0472; KW-1267; KW-1185; KW-0964; KW-0735; KW-0812; KW-1133	GO:0005164; GO:0005576; GO:0005886; GO:0006955; GO:0007154; GO:0023052; GO:0042475; GO:0043123; GO:1901222
A0A0H3VB22	A0A0H3VB22_HUMAN	unreviewed	FASLG	FASLG	Tumor necrosis factor ligand superfamily member 6 (CD95 ligand) (Fas antigen ligand)	9606	KW-0053; KW-1003; KW-0202; KW-0968; KW-1015; KW-0325; KW-0458; KW-0472; KW-0539; KW-0678; KW-0964; KW-0735; KW-0804; KW-0805; KW-0812; KW-1133; KW-0832	GO:0005164; GO:0005576; GO:0005634; GO:0005886; GO:0006955; GO:0008625; GO:0043202; GO:0060205
A0A0U5EM55	A0A0U5EM55_HUMAN	unreviewed	TNLG6A	TNLG6A	Tumor necrosis factor ligand superfamily member	9606	KW-0053; KW-1003; KW-0202; KW-0472; KW-0479; KW-0597; KW-0964; KW-0735; KW-0812; KW-1133; KW-0862	GO:0005125; GO:0005164; GO:0005576; GO:0005886; GO:0006955; GO:2001238
A0A0U5EM56	A0A0U5EM56_HUMAN	unreviewed	TNLG7B	TNLG7B	Tumor necrosis factor ligand superfamily member 13 (A proliferation-inducing ligand)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0391; KW-0472; KW-0964; KW-0812; KW-1133	GO:0005164; GO:0005576; GO:0006955; GO:0007154; GO:0008284; GO:0016020; GO:0023052; GO:0048298
A0A0U5J5F5	A0A0U5J5F5_HUMAN	unreviewed	TNLG4A	TNLG4A hCG_1991317	Tumor necrosis factor ligand superfamily member 12 (TNF-related weak inducer of apoptosis)	9606	KW-0037; KW-0053; KW-1003; KW-0165; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0472; KW-0964; KW-0735; KW-0812; KW-1133	GO:0005164; GO:0005576; GO:0005886; GO:0006915; GO:0006955; GO:0007165
A0A0U5J797	A0A0U5J797_HUMAN	unreviewed	TNLG7C	TNLG7C	Ectodysplasin-A	9606	KW-1003; KW-0165; KW-0176; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0472; KW-0964; KW-0735; KW-0812; KW-1133	GO:0005164; GO:0005576; GO:0005886; GO:0006955; GO:0007154; GO:0023052; GO:0042475; GO:0043123; GO:1901222
A0A0U5JA32	A0A0U5JA32_HUMAN	unreviewed	TNLG8A	TNLG8A	CD70 antigen (CD27 ligand) (Tumor necrosis factor ligand superfamily member 7)	9606	KW-1003; KW-0202; KW-1015; KW-0325; KW-0472; KW-0735; KW-0812; KW-1133	GO:0005164; GO:0005886; GO:0006955; GO:0033209; GO:0042098; GO:0048018
A0A0U5JXL4	A0A0U5JXL4_HUMAN	unreviewed	TNLG2A	TNLG2A	Tumor necrosis factor ligand superfamily member 18 (Glucocorticoid-induced TNF-related ligand)	9606	KW-1064; KW-1003; KW-0202; KW-1015; KW-0325; KW-0391; KW-0472; KW-0735; KW-0812; KW-1133	GO:0002309; GO:0002687; GO:0005164; GO:0005886; GO:0033209; GO:0042802; GO:0045785
A0A224B028	A0A224B028_HUMAN	unreviewed	IL-21	IL-21 IL21 hCG_38188	Interleukin	9606	KW-0202; KW-1015; KW-0964; KW-0732	GO:0001819; GO:0002314; GO:0002639; GO:0005126; GO:0005576; GO:0045954; GO:0051251; GO:0061470; GO:0098586
A0A7P0T862	A0A7P0T862_HUMAN	unreviewed	NAMPT	NAMPT	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12) (Visfatin)	9606	KW-0007; KW-0090; KW-0202; KW-0963; KW-0328; KW-0539; KW-0597; KW-1267; KW-0662; KW-1185; KW-0964; KW-0808	GO:0005576; GO:0005634; GO:0005737; GO:0009435; GO:0042802; GO:0047280
A0A7P0T895	A0A7P0T895_HUMAN	unreviewed	NAMPT	NAMPT	Nicotinamide phosphoribosyltransferase (NAmPRTase) (EC 2.4.2.12)	9606	KW-0007; KW-0090; KW-0202; KW-0963; KW-0328; KW-0539; KW-0597; KW-1267; KW-0662; KW-1185; KW-0964; KW-0808	GO:0005125; GO:0005576; GO:0005634; GO:0005737; GO:0009435; GO:0032922; GO:0042802; GO:0047280
A0A7P0T8L3	A0A7P0T8L3_HUMAN	unreviewed	NAMPT	NAMPT	Nicotinamide phosphoribosyltransferase (NAmPRTase) (EC 2.4.2.12)	9606	KW-0007; KW-0090; KW-0202; KW-0963; KW-0328; KW-0539; KW-0597; KW-1267; KW-0662; KW-1185; KW-0964; KW-0808	GO:0005125; GO:0005576; GO:0005634; GO:0005737; GO:0009435; GO:0032922; GO:0042802; GO:0047280
A0A7P0T931	A0A7P0T931_HUMAN	unreviewed	NAMPT	NAMPT	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12) (Visfatin)	9606	KW-0007; KW-0090; KW-0202; KW-0963; KW-0328; KW-0539; KW-0597; KW-1267; KW-0662; KW-1185; KW-0964; KW-0808	GO:0005576; GO:0005634; GO:0005737; GO:0009435; GO:0042802; GO:0047280
A0A7P0T9I9	A0A7P0T9I9_HUMAN	unreviewed	NAMPT	NAMPT	Nicotinamide phosphoribosyltransferase (NAmPRTase) (EC 2.4.2.12)	9606	KW-0007; KW-0090; KW-0202; KW-0963; KW-0328; KW-0539; KW-0597; KW-1267; KW-0662; KW-1185; KW-0964; KW-0808	GO:0005125; GO:0005576; GO:0005634; GO:0005737; GO:0009435; GO:0032922; GO:0042802; GO:0047280
A0A7P0TAS5	A0A7P0TAS5_HUMAN	unreviewed	NAMPT	NAMPT	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12) (Visfatin)	9606	KW-0007; KW-0090; KW-0202; KW-0963; KW-0328; KW-0539; KW-0597; KW-1267; KW-0662; KW-1185; KW-0964; KW-0808	GO:0005576; GO:0005634; GO:0005737; GO:0009435; GO:0042802; GO:0047280
A0A8C8KBU6	A0A8C8KBU6_HUMAN	unreviewed	IL16	IL16	Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)]	9606	KW-0145; KW-0202; KW-0963; KW-0539; KW-0597; KW-1267; KW-1185; KW-0677; KW-0964; KW-0804; KW-0805	GO:0002376; GO:0005102; GO:0005125; GO:0005576; GO:0005829; GO:0016607; GO:0050930
A0A8V8TNL2	A0A8V8TNL2_HUMAN	unreviewed	TNF	TNF	Tumor necrosis factor (TNF-a) (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) [Cleaved into: Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	9606	KW-1003; KW-0202; KW-1015; KW-0449; KW-0472; KW-0519; KW-0597; KW-1267; KW-1185; KW-0964; KW-0735; KW-0812; KW-1133	GO:0005125; GO:0005164; GO:0005576; GO:0005886; GO:0006955; GO:0010573; GO:0097527
A0A8V8TP82	A0A8V8TP82_HUMAN	unreviewed	TNFSF12	TNFSF12	Tumor necrosis factor ligand superfamily member 12 (TNF-related weak inducer of apoptosis)	9606	KW-0037; KW-0053; KW-1003; KW-0165; KW-0202; KW-0217; KW-0221; KW-1015; KW-0325; KW-0472; KW-1267; KW-1185; KW-0964; KW-0735; KW-0812; KW-1133	GO:0005164; GO:0005576; GO:0005886; GO:0006915; GO:0006955; GO:0007165
A0ACI8PSL2	A0ACI8PSL2_HUMAN	unreviewed	FASLG	FASLG	Tumor necrosis factor ligand superfamily member 6 (CD95 ligand) (Fas antigen ligand)	9606	KW-0053; KW-1003; KW-0202; KW-0968; KW-1015; KW-0325; KW-0458; KW-0472; KW-0539; KW-1267; KW-1185; KW-0678; KW-0964; KW-0735; KW-0804; KW-0805; KW-0812; KW-1133; KW-0832	
A0ACI8RLY7	A0ACI8RLY7_HUMAN	unreviewed	GPI	GPI pgi	Glucose-6-phosphate isomerase (EC 5.3.1.9)	9606	KW-0007; KW-0202; KW-0963; KW-0312; KW-0324; KW-0413; KW-0597; KW-1267; KW-1185; KW-0964; KW-0832	
A0ACI8RZX5	A0ACI8RZX5_HUMAN	unreviewed	GPI	GPI pgi	Glucose-6-phosphate isomerase (EC 5.3.1.9)	9606	KW-0007; KW-0202; KW-0963; KW-0312; KW-0324; KW-0413; KW-0597; KW-1267; KW-1185; KW-0964; KW-0832	
A1C2E7	A1C2E7_HUMAN	unreviewed	GDF8	GDF8	Growth/differentiation factor 8 (GDF-8) (Myostatin)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0358; KW-0964; KW-0732	GO:0005102; GO:0005125; GO:0005576; GO:0008083; GO:0048632; GO:1902723; GO:1902725; GO:2000818
A1C2E8	A1C2E8_HUMAN	unreviewed	GDF8	GDF8	Growth/differentiation factor 8 (GDF-8) (Myostatin)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0358; KW-0964; KW-0732	GO:0005102; GO:0005125; GO:0005576; GO:0008083; GO:0048632; GO:1902723; GO:1902725; GO:2000818
A1C2F0	A1C2F0_HUMAN	unreviewed	GDF8	GDF8	Growth/differentiation factor 8 (GDF-8) (Myostatin)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0358; KW-0964; KW-0732	GO:0005102; GO:0005125; GO:0005576; GO:0008083; GO:0048632; GO:1902723; GO:1902725; GO:2000818
A1C2F2	A1C2F2_HUMAN	unreviewed	GDF8	GDF8	Growth/differentiation factor 8 (GDF-8) (Myostatin)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0358; KW-0964; KW-0732	GO:0005102; GO:0005125; GO:0005576; GO:0008083; GO:0048632; GO:1902723; GO:1902725; GO:2000818
A1C2F7	A1C2F7_HUMAN	unreviewed	GDF8	GDF8	Growth/differentiation factor 8 (GDF-8) (Myostatin)	9606	KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0358; KW-0964; KW-0732	GO:0005102; GO:0005125; GO:0005576; GO:0008083; GO:0048632; GO:1902723; GO:1902725; GO:2000818
