inventory_id,uniprot_accession,entry_name,gene_symbol,gene_aliases,protein_names,species,taxon_id,resource_annotation_status,inventory_status,query_id,keyword_ids,go_ids,source_url,snapshot_path,snapshot_sha256,biological_evidence_status
CYT_A0A024R937,A0A024R937,A0A024R937_HUMAN,TNLG2B,TNLG2B,Tumor necrosis factor ligand superfamily member 4 (OX40 ligand),Homo sapiens,9606,unreviewed,unreviewed_discovery_candidate,CYTINV_UNREVIEWED,KW-0202; KW-1015; KW-0325; KW-0472; KW-0735; KW-0812; KW-1133,GO:0005125; GO:0005164; GO:0006955; GO:0016020,https://www.uniprot.org/uniprotkb/A0A024R937,research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv,51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852,inventory_only_no_assertion_or_prior
CYT_A0A075B7C5,A0A075B7C5,A0A075B7C5_HUMAN,CCL5,CCL5,C-C motif chemokine ligand 5,Homo sapiens,9606,unreviewed,unreviewed_discovery_candidate,CYTINV_UNREVIEWED,KW-0202; KW-1267; KW-1185; KW-0732,GO:0005576; GO:0006955; GO:0008009,https://www.uniprot.org/uniprotkb/A0A075B7C5,research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv,51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852,inventory_only_no_assertion_or_prior
CYT_A0A077CY02,A0A077CY02,A0A077CY02_HUMAN,BMP7,BMP7,Bone morphogenetic protein 7,Homo sapiens,9606,unreviewed,unreviewed_discovery_candidate,CYTINV_UNREVIEWED,KW-0891; KW-0202; KW-1015; KW-0325; KW-0339; KW-0892; KW-0964; KW-0732,GO:0005576; GO:0008083; GO:0009888; GO:0030509; GO:0042127; GO:0048468; GO:0051094; GO:0060391; GO:0070700,https://www.uniprot.org/uniprotkb/A0A077CY02,research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv,51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852,inventory_only_no_assertion_or_prior
CYT_A0A087WUE5,A0A087WUE5,A0A087WUE5_HUMAN,CCL16,CCL16,C-C motif chemokine,Homo sapiens,9606,unreviewed,unreviewed_discovery_candidate,CYTINV_UNREVIEWED,KW-0145; KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732,GO:0005576; GO:0006955; GO:0008009,https://www.uniprot.org/uniprotkb/A0A087WUE5,research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv,51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852,inventory_only_no_assertion_or_prior
CYT_A0A087WWS6,A0A087WWS6,IFNAD_HUMAN,IFNA13,IFNA13,Interferon alpha-13,Homo sapiens,9606,reviewed,resource_annotated_candidate,CYTINV_REVIEWED,KW-0051; KW-0202; KW-1015; KW-1185; KW-0964; KW-0732,GO:0005126; GO:0005576; GO:0006952,https://www.uniprot.org/uniprotkb/A0A087WWS6,research/cytokine_inventory/snapshots/uniprot_reviewed.tsv,27e647ab7eec68643294c2c8815bf8109612fb0196fd4861053951913a888d6c,inventory_only_no_assertion_or_prior
CYT_A0A087WWX8,A0A087WWX8,A0A087WWX8_HUMAN,IL4,IL4,Interleukin-4 (B-cell stimulatory factor 1) (Lymphocyte stimulatory factor 1),Homo sapiens,9606,unreviewed,unreviewed_discovery_candidate,CYTINV_UNREVIEWED,KW-0075; KW-0202; KW-1015; KW-0325; KW-0339; KW-1185; KW-0964; KW-0732,,https://www.uniprot.org/uniprotkb/A0A087WWX8,research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv,51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852,inventory_only_no_assertion_or_prior
CYT_A0A087X089,A0A087X089,A0A087X089_HUMAN,CCL14,CCL14,C-C motif chemokine,Homo sapiens,9606,unreviewed,unreviewed_discovery_candidate,CYTINV_UNREVIEWED,KW-0145; KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732,GO:0005576; GO:0006955; GO:0008009,https://www.uniprot.org/uniprotkb/A0A087X089,research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv,51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852,inventory_only_no_assertion_or_prior
CYT_A0A087X1J9,A0A087X1J9,A0A087X1J9_HUMAN,CCL15,CCL15,C-C motif chemokine ligand 15,Homo sapiens,9606,unreviewed,unreviewed_discovery_candidate,CYTINV_UNREVIEWED,KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732,GO:0005576; GO:0006955; GO:0008009,https://www.uniprot.org/uniprotkb/A0A087X1J9,research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv,51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852,inventory_only_no_assertion_or_prior
CYT_A0A096LNH9,A0A096LNH9,A0A096LNH9_HUMAN,GDF9,GDF9,Growth/differentiation factor 9,Homo sapiens,9606,unreviewed,unreviewed_discovery_candidate,CYTINV_UNREVIEWED,KW-0165; KW-0202; KW-1015; KW-0325; KW-0339; KW-0597; KW-1267; KW-1185; KW-0964; KW-0732,,https://www.uniprot.org/uniprotkb/A0A096LNH9,research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv,51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852,inventory_only_no_assertion_or_prior
CYT_A0A0A0MQU8,A0A0A0MQU8,A0A0A0MQU8_HUMAN,IFNA6,IFNA6,Interferon alpha 6,Homo sapiens,9606,unreviewed,unreviewed_discovery_candidate,CYTINV_UNREVIEWED,KW-0051; KW-0202; KW-1015; KW-1267; KW-1185; KW-0964; KW-0732,GO:0005126; GO:0005576; GO:0006952,https://www.uniprot.org/uniprotkb/A0A0A0MQU8,research/cytokine_inventory/snapshots/uniprot_unreviewed.tsv,51186f59c5601c902169958ce636bd0615785a5191221b57c998ea9c0d892852,inventory_only_no_assertion_or_prior
